Headlines,Descriptions,Authors,Published_Dates,Publication,Articles,category,Keywords,Summaries,Source_URLs
Drug â€˜can greatly reduce risk of HIV infectionâ€™,The largest online news service for Afghanistan,Khaama Press,25-11-2010,The Khaama Press News Agency,"A drug used to treat HIV-positive patients may offer gay and bisexual men some protection against contracting the virus, the authors of a new study say. Trials of the combination drug Truvada among nearly 2,500 men suggested it could reduce the chances of male-to-male HIV infection by 44%. Those using the drug regularly could further reduce the risk of infection, it was claimed. The study is published in the New England Journal of Medicine. Pills and condoms Truvada is the trade name of a drug manufactured by the California-based company Gilead Sciences Inc which combines two antiretroviral drugs, used to treat Aids. But this new study looks at whether it could be used to prevent HIV infection in the first place. Almost 2,500 gay or bisexual men were randomly selected in Peru, Ecuador, Brazil, South Africa, Thailand and the United States. Half were given the pill, half were given dummy tablets. All the men were also given condoms and counselling on safe sex. What the researchers found after about a year of testing was that the drug appeared to cut male-to-male HIV transmission by 44%, when the group taking the pill was compared with the placebo group. Those who took the pill regularly were deemed to have reduced their risk of infection further, by up to 73%, and blood tests were run to confirm this relationship between pill-usage and protection levels. The research was funded by the Bill & Melinda Gates Foundation, and the federal US body, the National Institute of Allergy and Infectious Diseases (NIAID). The pills were donated by their manufacturer. NIAID director, Dr Anthony Fauci, conceded more work needed to be done, but called the results impressive. â€œThis has been done in men who have sex with men. We need to know if we get similar results in women as well as in heterosexual men, which we have reason to believe we will,â€� he told the BBC. â€œWe also need to get a long term view of were there any toxicities. We didnâ€™t see anything that was significant but we need to follow that for a long period of time.â€� Questions and concerns The trial does of course raise questions and concerns. Is it possible, for instance, that the results were skewed by greater condom use in the group that took the pill; and wonâ€™t such findings encourage some men to dispense with condoms altogether in favour of a drug? There is also the issue of prohibitive cost of Truvada, which retails in the US for around $36 a day, and which makes the drug unaffordable to many possible users. Dr Fauci argues that the two groups were fully randomised and says that drugs can only play a complementary role in the war on HIV. Condoms and fewer partners, he said, remain the first line of defence. â€œWeâ€™re hoping that if this does become a useable tool in prevention, then the associated counselling will complement the effect of the drug and stop people becoming cavalier about it and say â€˜now I have a pill I donâ€™t have to worryâ€™. â€œThatâ€™s exactly the opposite of what we want to happen. We want to add something rather than have it replace something.â€� Sir Nick Partridge, chief executive of the Terrence Higgins Trust, called the trial results â€œpotentially significantâ€�. â€œItâ€™s vital that we expand the ways we can prevent HIV transmission, particularly amongst those most at risk,â€� he said in a statement. â€œThis trial proves that HIV treatment will have an impact on prevention, but that itâ€™s not ready for widespread use yet. â€œThree major hurdles are still going to be its cost, the risks of drug-resistant strains of HIV developing and taking a drug treatment every day.â€� _____________________ Source: BBC",{},"['drug', 'reduce', 'infection', 'results', 'used', 'men', 'trial', 'risk', 'study', 'hiv', 'pill', 'greatly']","A drug used to treat HIV-positive patients may offer gay and bisexual men some protection against contracting the virus, the authors of a new study say. Trials of the combination drug Truvada among nearly 2,500 men suggested it could reduce the chances of male-to-male HIV infection by 44%. Those using the drug regularly could further reduce the risk of infection, it was claimed. But this new study looks at whether it could be used to prevent HIV infection in the first place. We want to add something rather than have it replace something.â€�Sir Nick Partridge, chief executive of the Terrence Higgins Trust, called the trial results â€œpotentially significantâ€�.",https://www.khaama.com/drug-can-greatly-reduce-risk-of-hiv-infection/
Afghanistan recorded 1367 HIV/AIDS positive cases in 2011,The largest online news service for Afghanistan,Ahmad Shah Ghanizada,06-07-2013,The Khaama Press News Agency,"At least 1,367 positive cases of Human immunodeficiency virus (HIV) have been recorded in Afghanistan, according to the public health ministry of Afghanistan. Public health officials called the latest statistics as worrying and said that majority of the individuals using syringes to inject drugs are affected from HIV virus. Head of the Human immunodeficiency virus (HIV) department in public health ministry of Afghanistan, Dr. Fida Mohammad Paikan said majority of HIV positive cases have been recorded in capital Kabul while the lowest number of HIV postive cases have been recorded in western Badghis province of Afghanistan. Dr. Paikan further added that the public health ministry of Afghanistan in cooperation with the UN World Health Organization and United Nations Office on Drugs and Crime provide latest statistic on HIV positive cases annually. He said at least 1,367 positive cases of HIV have been recorded until the end of 2011, Dr. Paikan said adding that the number could be more than this as the statistics include only those individuals who have volunteerly done the HIV tests. Dr. Fida Mohammad Paikan said the latest data on 2012 will be released by the end of 2013. According to public health officials, the first HIV positive case was recorded in Afghanistan earlier in 1989, and the virus is mainly transferred to Afghansitan by migrants who are coming to Afghanistan from the neighboring countries. The officials are also saying that individuals addicted to drugs are mainly transferring the virus by using the single syringe for injecting drugs. Around 5,000 drug affected individuals are currently treated across the country in a bid to prevent the flow of HIV virus.",{},"['afghanistan', 'paikan', 'positive', '2011', 'virus', 'hivaids', 'recorded', '1367', 'hiv', 'cases', 'public', 'individuals', 'health']","At least 1,367 positive cases of Human immunodeficiency virus (HIV) have been recorded in Afghanistan, according to the public health ministry of Afghanistan. Head of the Human immunodeficiency virus (HIV) department in public health ministry of Afghanistan, Dr. Fida Mohammad Paikan said majority of HIV positive cases have been recorded in capital Kabul while the lowest number of HIV postive cases have been recorded in western Badghis province of Afghanistan. Dr. Paikan further added that the public health ministry of Afghanistan in cooperation with the UN World Health Organization and United Nations Office on Drugs and Crime provide latest statistic on HIV positive cases annually. According to public health officials, the first HIV positive case was recorded in Afghanistan earlier in 1989, and the virus is mainly transferred to Afghansitan by migrants who are coming to Afghanistan from the neighboring countries. Around 5,000 drug affected individuals are currently treated across the country in a bid to prevent the flow of HIV virus.",https://www.khaama.com/afghanistan-recorded-1367-hivaids-positive-cases-in-2011-1633/
Afghanistan sees 38 percent increase in HIV/AIDS cases,The largest online news service for Afghanistan,Ahmad Shah Ghanizada,01-12-2013,The Khaama Press News Agency,"Officials in the ministry of public health of Afghanistan informed of an increase in HIV/AIDS positive cases in the country. Deputy public health minister Najia Tariq said Sunday that the HIV/AIDS cases have increased by 38 percent as compared to last year. While speaking on the eve of World Aids Day, Najria Tariq said at least 162 HIV/AIDS positive cases have been recorded across the country during the current year, while around 117 HIV positive cases were recorded last year. The World Health Organization (WHO) estimates around 5,000 people are affected with HIV/AIDS virus across the country, and only 30 percent of HIV positive cases have been recorded so far. According to public health officials, the first HIV positive case was recorded in Afghanistan earlier in 1989, and the virus is mainly transferred to Afghansitan by migrants who are coming to Afghanistan from the neighboring countries. The officials are also saying that individuals addicted to drugs are mainly transferring the virus by using the single syringe for injecting drugs.",{},"['afghanistan', 'positive', 'sees', 'virus', '38', 'officials', 'increase', 'hivaids', 'recorded', 'hiv', 'public', 'cases', 'health']","Officials in the ministry of public health of Afghanistan informed of an increase in HIV/AIDS positive cases in the country. Deputy public health minister Najia Tariq said Sunday that the HIV/AIDS cases have increased by 38 percent as compared to last year. While speaking on the eve of World Aids Day, Najria Tariq said at least 162 HIV/AIDS positive cases have been recorded across the country during the current year, while around 117 HIV positive cases were recorded last year. The World Health Organization (WHO) estimates around 5,000 people are affected with HIV/AIDS virus across the country, and only 30 percent of HIV positive cases have been recorded so far. According to public health officials, the first HIV positive case was recorded in Afghanistan earlier in 1989, and the virus is mainly transferred to Afghansitan by migrants who are coming to Afghanistan from the neighboring countries.",https://www.khaama.com/afghanistan-sees-38-percent-increase-in-hivaids-cases-3131/
"Over 1,200 people live with HIV in Afghanistan: Officials",The largest online news service for Afghanistan,Sayed Jawad,01-12-2012,The Khaama Press News Agency,"Today marks World AIDS Day, a time for the global community to recognize the widespread impact of HIV/AIDS. Right now, around 1,200 people in Afghanistan and 33.4 million people around the world live with HIV/AIDS, according to the Afghan Public Health Ministry. AIDS, or acquired immunodeficiency syndrome, is caused by HIV, or the human immunodeficiency virus, and is considered the last step of the infection. AIDS has killed 25 million people around the world since 1981, the Department of Health reported. A spokesman for the Afghan Public Health Ministry Dr. Kaneshka Baktash over 10 people have died due to HIV/AIDS in Afghanistan. He said majority of the men addicted to drugs are infected with HIV and there are around 23,000 addicted individuals who are using syringe to injection drugs in their body. Even though there has yet to be a definitive cure for AIDS, there is a lot of progress in terms of controlling infection, preventing its spread, and decreasing deaths from AIDS. Despite the advances in medical technology and the reduction of new HIV infections annually due to antiretroviral drugs, the number of people worldwide living with HIV has risen considerably, from around 8 million in 1990 to 33 million at the end of 2009. Approximately 2.6 million people are infected with HIV annually, and 1.8 million die from AIDS.",{},"['immunodeficiency', '1200', 'aids', 'afghanistan', 'infection', 'drugs', 'world', 'live', 'officials', 'hiv', 'public', 'infected', 'health', 'million']","Today marks World AIDS Day, a time for the global community to recognize the widespread impact of HIV/AIDS. Right now, around 1,200 people in Afghanistan and 33.4 million people around the world live with HIV/AIDS, according to the Afghan Public Health Ministry. AIDS, or acquired immunodeficiency syndrome, is caused by HIV, or the human immunodeficiency virus, and is considered the last step of the infection. A spokesman for the Afghan Public Health Ministry Dr. Kaneshka Baktash over 10 people have died due to HIV/AIDS in Afghanistan. Approximately 2.6 million people are infected with HIV annually, and 1.8 million die from AIDS.",https://www.khaama.com/over-1200-people-live-with-hiv-in-afghanistan-officials-1055/
Aishwarya Rai Bachchan named UN HIV/AIDS envoy,The largest online news service for Afghanistan,Sajad,25-09-2012,The Khaama Press News Agency,"The United Nations Monday announced the addition of Bollywood icon and former Miss World Aishwarya Rai Bachchan to its roster of International Goodwill Ambassadors, focussed on helping the Organizationâ€™s efforts in combating the spread of HIV infections in children. In her new role, Aishwarya will help raise awareness on issues related to stopping new HIV infections in children and advocate for increased access to anti-retroviral treatment. â€œSpreading awareness on health issues, especially related to women and children, has always been a priority for me,â€� Rai said in a statement. â€œAnd now, as a new mother, I can personally relate to this â€“ the joys and concerns of every mother and the hopes that we have for our children.â€� Rai will be promoting focuses on 22 countries, including India, which account for more than 90 percent of new HIV infections among children. Of those, 21 are in sub-Saharan Africa, where the estimated number of children newly infected by HIV fell by 25 percent between 2009 and 2011, UNAIDS said. Twenty-one of the countries accounted for in the Plan are in sub-Saharan Africa, where the estimated number of children newly-infected with HIV fell by 25 per cent from 2009 to 2011. Mother-to-child HIV transmission rates have also declined since 2010 with the introduction of more effective prophylaxis regimens. The UNAIDS goal, however, remains to fully eradicate new HIV infections among children by 2015.",{},"['infections', 'mother', 'aishwarya', 'rai', 'named', 'unaids', 'issues', 'envoy', 'number', 'children', 'related', 'hiv', 'subsaharan', 'hivaids', 'bachchan']","The United Nations Monday announced the addition of Bollywood icon and former Miss World Aishwarya Rai Bachchan to its roster of International Goodwill Ambassadors, focussed on helping the Organizationâ€™s efforts in combating the spread of HIV infections in children. In her new role, Aishwarya will help raise awareness on issues related to stopping new HIV infections in children and advocate for increased access to anti-retroviral treatment. â€œSpreading awareness on health issues, especially related to women and children, has always been a priority for me,â€� Rai said in a statement. Of those, 21 are in sub-Saharan Africa, where the estimated number of children newly infected by HIV fell by 25 percent between 2009 and 2011, UNAIDS said. The UNAIDS goal, however, remains to fully eradicate new HIV infections among children by 2015.",https://www.khaama.com/aishwarya-rai-bachchan-named-un-hivaids-envoy-265/
Around 1250 HIV positive cases recorded in Afghanistan,The largest online news service for Afghanistan,Ahmad Shah Ghanizada,03-12-2011,The Khaama Press News Agency,"Saturday, December 03, 2011 â€“ Head of the Afghan Ministry of Public health of Afghanistan Dr. Suraya Dalil on the occasion of the HIV AIDS day said, around 1250 HIV positive cases have been recorded in the Afghan health ministry. According to Dr. Suraya Dalil, acting head of the Afghan public health ministry, the main reason behind the widespread of the HIV virus is the use of infected syringes which transfers the disease from an HIV positive patient. Dr. Suraya Dalil further added, according to world health organization, around 3000 HIV positive cases have been noted in Afghanistan. She also said, poverty, lack of employment, psychological problems and lack of education in respect of immigrations and use of drugs are the main factors which increases the chance of HIV virus outspread. She emphasized on the health surveillance programs which is a basic right of the humanity and urged for improving national health surveillance programs to prevent HIV virus outspread and improve medications for the HIV positive individuals. An Afghan HIV positive patient Edris while speaking during the world HIV AIDS day said, we are treated well when people become aware that we are HIV positive. He also said, people are thinking that the HIV virus has transmitted through illegitimate sexual relations and urged the Afghan government to assist them to recover from the HIV disease. In the meantime, Ministry of Public Health of Afghanistan on the occasion of HIV AIDS day signed an agreement with ministry of Haj and Isalmic Affairs of Afghanistan, Ministry of Justice and Ministry of Womenâ€™s affairs of Afghanistan. Based on the agreement, the mentioned ministries will assist the ministry of public health of Afghanistan for the publicity of HIV AIDS disease to the Afghan community.",{},"['afghan', 'aids', 'afghanistan', 'positive', 'virus', '1250', 'suraya', 'recorded', 'hiv', 'public', 'cases', 'health', 'ministry']","Saturday, December 03, 2011 â€“ Head of the Afghan Ministry of Public health of Afghanistan Dr. Suraya Dalil on the occasion of the HIV AIDS day said, around 1250 HIV positive cases have been recorded in the Afghan health ministry. Dr. Suraya Dalil further added, according to world health organization, around 3000 HIV positive cases have been noted in Afghanistan. An Afghan HIV positive patient Edris while speaking during the world HIV AIDS day said, we are treated well when people become aware that we are HIV positive. In the meantime, Ministry of Public Health of Afghanistan on the occasion of HIV AIDS day signed an agreement with ministry of Haj and Isalmic Affairs of Afghanistan, Ministry of Justice and Ministry of Womenâ€™s affairs of Afghanistan. Based on the agreement, the mentioned ministries will assist the ministry of public health of Afghanistan for the publicity of HIV AIDS disease to the Afghan community.",https://www.khaama.com/concerns-over-hiv-outspread-in-afghanistan-713/
"HIV/AIDS infection on the rise in Afghanistan, 1694 cases recorded",The largest online news service for Afghanistan,Khaama Press,01-12-2014,The Khaama Press News Agency,"The Ministry of Public of Health of Afghanistan (MoPH) informed of 10 percent rise in human immunodeficiency virus (HIV/AIDS) cases in the country. According to MoPH officials, 1694 cases positive with HIV/AIDS have been recorded with the ministry so far, but the number is realtively higher. The officials further that around 4500 people are possibly infected with the virus across the country. In the meantime, acting public health minister Ahmad Jan Naeem said the virus outbreak is not sharp among the Afghan population, but warned that the issue should not ignored as there are chances of rapid outbreak of the virus. Naeem said lack of awareness due to decades of war, use of drugs, poverty, illiteracy and immigrations could help the outbreak of the virus. According to the Ministry of Public Health, the ministry has set up ten prevention centers, ten consultancy centers and curative centers for HIV/AIDS across the country.",{},"['infection', 'moph', 'afghanistan', 'outbreak', 'virus', 'rise', 'officials', '1694', 'hivaids', 'recorded', 'public', 'cases', 'health', 'ministry', 'centers']","The Ministry of Public of Health of Afghanistan (MoPH) informed of 10 percent rise in human immunodeficiency virus (HIV/AIDS) cases in the country. According to MoPH officials, 1694 cases positive with HIV/AIDS have been recorded with the ministry so far, but the number is realtively higher. In the meantime, acting public health minister Ahmad Jan Naeem said the virus outbreak is not sharp among the Afghan population, but warned that the issue should not ignored as there are chances of rapid outbreak of the virus. Naeem said lack of awareness due to decades of war, use of drugs, poverty, illiteracy and immigrations could help the outbreak of the virus. According to the Ministry of Public Health, the ministry has set up ten prevention centers, ten consultancy centers and curative centers for HIV/AIDS across the country.",https://www.khaama.com/hivaids-infection-on-the-rise-in-afghanistan-1694-cases-recorded-8818/
"Egyptâ€™s army claims it has invented device that cures AIDS, hepatitis",The largest online news service for Afghanistan,Ahmad Shah Ghanizada,30-06-2014,The Khaama Press News Agency,"The Egyptâ€™s military has claimed that it has invented a device which can be used to cure HIV AIDS, hepatitis and other viruses. Egyptian military officials had earlier promised to reveal the technology to the public this coming Monday; however, it seems they have rowed back onclaims, saying that the device will need a further six months of testing. Scientific experts including former president Mansourâ€™s own adviser, have widely panned the claims by Egyptâ€™s military and said the claims have no scientific basis. The device was first presented to the audience by major General Ibrahim Abdulatty in February and was described as being able to detect illnesses including Aids and hepatitis C, without taking blood samples and also purify the blood of those suffering from the diseases. However, Egyptâ€™s head of army Engineering Agency said scientific integrity mandates that the start of the public release of the device be delayed untilthe experimentation period is over to allow for a follow up with patients already using it. In the meantime, the Saturdayâ€™s news conference only referred to hepatitis and notably dropped any mention of the devices as a cure for HIV AIDS.",{},"['cure', 'aids', 'cures', 'including', 'army', 'invented', 'device', 'hiv', 'public', 'hepatitis', 'scientific', 'claims', 'military', 'egypts']","The Egyptâ€™s military has claimed that it has invented a device which can be used to cure HIV AIDS, hepatitis and other viruses. Scientific experts including former president Mansourâ€™s own adviser, have widely panned the claims by Egyptâ€™s military and said the claims have no scientific basis. The device was first presented to the audience by major General Ibrahim Abdulatty in February and was described as being able to detect illnesses including Aids and hepatitis C, without taking blood samples and also purify the blood of those suffering from the diseases. However, Egyptâ€™s head of army Engineering Agency said scientific integrity mandates that the start of the public release of the device be delayed untilthe experimentation period is over to allow for a follow up with patients already using it. In the meantime, the Saturdayâ€™s news conference only referred to hepatitis and notably dropped any mention of the devices as a cure for HIV AIDS.",https://www.khaama.com/egypts-army-claims-it-has-invented-device-that-cures-aids-hepatitis-6322/
Afghan minister narrowly escapes HIV infection in syringe attack by drug addict,The largest online news service for Afghanistan,Khaama Press,09-01-2016,The Khaama Press News Agency,"The Afghan Public Health Minister Ferozuddin Feroz has narrowly escaped a possible HIV infection after he was attacked with a syringe by a drug addict, the officials said Sunday. There are growing fears of rapid HIV infection spread among the drug addicts in the country as syringes are mostly used by the addicts to inject the drugs into their bodies. However, the Ministry of Public Health (MoPH) officials have said the minister has undergone tests which have proven that he was not infected in the attack. The officials further added that the minister was on a site visit when he under attack by a drug addict who inserted the syringe in the shoulder of the minister. According to the officials, the attack on Mr. Feroz was pre-planned by those who are opposing to shift the drug addicts from the city to a rehabilitation center. This comes as major campaign was launched by the government late in the month of December last year to collect and shift drug addicts from Kabul city and shift them to a former NATO base. The Ministry of Counter-Narcotics of Afghanistan in collaboration with the Ministry of Public Health and Ministry of Economy allocated parts of Camp Phoenix for the treatment of drug addicts.",{},"['narrowly', 'drug', 'addict', 'infection', 'afghan', 'attack', 'shift', 'addicts', 'officials', 'hiv', 'public', 'syringe', 'health', 'ministry', 'escapes', 'minister']","The Afghan Public Health Minister Ferozuddin Feroz has narrowly escaped a possible HIV infection after he was attacked with a syringe by a drug addict, the officials said Sunday. There are growing fears of rapid HIV infection spread among the drug addicts in the country as syringes are mostly used by the addicts to inject the drugs into their bodies. The officials further added that the minister was on a site visit when he under attack by a drug addict who inserted the syringe in the shoulder of the minister. This comes as major campaign was launched by the government late in the month of December last year to collect and shift drug addicts from Kabul city and shift them to a former NATO base. The Ministry of Counter-Narcotics of Afghanistan in collaboration with the Ministry of Public Health and Ministry of Economy allocated parts of Camp Phoenix for the treatment of drug addicts.",https://www.khaama.com/afghan-minister-narrowly-escapes-hiv-infection-in-syringe-attack-by-drug-addict-1959/
Drugs and weapons seized in northern Baghlan province,The largest online news service for Afghanistan,Ahmad Shah Ghanizada,11-03-2012,The Khaama Press News Agency,"Local security officials in northern Baghlan province on Sunday announced Afghan police forces seized at least 40 kg of opium and drugs along with 16 weapons. Provincial security chief Gen. Asadullah Shirzad speaking during a press conference on Sunday morning said, Afghan police seized at least 40 kg of hashish, 3 grams of heroin and 16 pistols. Gen. Shirzad further added, the drugs and weapons were seized from various regions of northern Baghlan province. Afghan security forces also captured two suspects in connection to the smuggle of the drugs and weapons, Gen. Shirzad said. According to provincial security officials, at least 40 cases of drugs and weapons smuggle have been registered in this province since the beginning of the Afghan fiscal year where dozens of suspects have also been captured. Author: Ajmal Omeri, Baghlan province.",{},"['shirzad', 'afghan', 'weapons', '40', 'drugs', 'suspects', 'baghlan', 'seized', 'province', 'northern', 'security']","Local security officials in northern Baghlan province on Sunday announced Afghan police forces seized at least 40 kg of opium and drugs along with 16 weapons. Gen. Shirzad further added, the drugs and weapons were seized from various regions of northern Baghlan province. Afghan security forces also captured two suspects in connection to the smuggle of the drugs and weapons, Gen. Shirzad said. According to provincial security officials, at least 40 cases of drugs and weapons smuggle have been registered in this province since the beginning of the Afghan fiscal year where dozens of suspects have also been captured. Author: Ajmal Omeri, Baghlan province.",https://www.khaama.com/drugs-and-weapons-seized-in-northern-baghlan-province-827
