Headlines,Descriptions,Authors,Published_Dates,Publication,Articles,category,Keywords,Summaries,Source_URLs
Report: 193 tested HIV-positive in 8 southern districts,The report highlights that returning expatriates are a prime contributor to spreading the virus,,2018-09-30,Dhaka Tribune,"Representational photo Bigstock The report highlights that returning expatriates are a prime contributor to spreading the virus According to a report released by a local volunteer organization, at least 193 people have tested HIV- positive in eight of the countrys southern districts. Among them, 84 (53 men and 31 women) have tested HIV-positive in Khulna district alone, while the other 109 are from the: Jhenidah, Gopalganj, Jashore, Satkhira, Bagerhat, Narail, and Magura districts. This is according to Mukto Akash Bangladesh (MAB) a volunteer organization workingon AIDS-related issues. When contacted, Khulna Civil Surgeon Dr Abdur Razzak said that they cross-checked the findings released by MAB and corroborated them, reports UNB. The report also said expatriates returning from foreign countries such as: India, Malaysia, Singapore, Saudi Arabia, and the USA, are the ones responsible for spreading the deadly virus in the districts. No HIV virus was detected among sex workers of the district. The number of deaths caused by the virus has been increasing rapidly in the southern districts, the report mentions. The worst-affected areas among the districts are Benapole, Chaugachha, and Khulna town, because the citizens of those areas frequently work in foreign countries, especially India, and carry the lethal virus back. Sources at Khulna Medical College and Hospital said at least 31 HIV patients underwent treatment at the hospital this year, and three have died. MAB Coordinator Rehena Begum said the organization is working on raising awareness among the public, regarding the deadly disease—as well as providing nutritional and medical support to HIV patients.",{},"['tested', 'organization', 'southern', 'volunteer', 'spreading', 'hiv', '193', 'virus', 'districts', 'hivpositive', 'khulna', 'report']","Representational photo BigstockThe report highlights that returning expatriates are a prime contributor to spreading the virusAccording to a report released by a local volunteer organization, at least 193 people have tested HIV- positive in eight of the country's southern districts. Among them, 84 (53 men and 31 women) have tested HIV-positive in Khulna district alone, while the other 109 are from the: Jhenidah, Gopalganj, Jashore, Satkhira, Bagerhat, Narail, and Magura districts. This is according to Mukto Akash Bangladesh (MAB) a volunteer organization workingon AIDS-related issues. No HIV virus was detected among sex workers of the district. The number of deaths caused by the virus has been increasing rapidly in the southern districts, the report mentions.",https://www.dhakatribune.com/bangladesh/dhaka/2018/09/30/report-193-tested-hiv-positive-in-8-southern-districts
World AIDS Day observed: Tuberculosis patients at high risk of HIV,The World Aids Day was observed yesterday across Bangladesh aiming at raise awareness of HIV and AIDS and to honour those who passed from AIDS related complications,,2016-12-02,Dhaka Tribune,"This year’s slogan for the day is “Let’s raise hands of unity, let’s prevent AIDS.” On the occasion, the STI/AIDS Network of Bangladesh, Ministry of Health & Family Welfare and various NGOs brought out a processions from the Shahabag intersection on Thursday morning and paraded different thoroughfares before ending at Osmani Udyan. The reported number of HIV positive cases in the country was 4,143 with estimated number of nearly 9,000, according to the statistics of UNAIDS Bangladesh. According to the Mukta Akash Bangladesh, a non-government organisation, Tuberculosis patients are at high risk of the deadly disease Human Immunodeficiency Virus (HIV). Already three Tuberculosis patients in Khulna have been affected with HIV virus recently. According to the NGO, the numbers of HIV positive people are increasing day by day due to lack of consciousness. In last one year from December 31, 2015 to November 30, 2016, a total of 51 people, including 10 children were infected by HIV/AIDS in Khulna. Abu Mohammad Ali Javed, councilor and administrator of Mukta Akash Bangladesh, told the Dhaka Tribune that three Tuberculosis patients had been infected with HIV/AIDS recently. Terming Tuberculosis virus as nearly same as the HIV, he said: “A total of 37 people were infected with HIV virus in last one year from December 31, 2015 to November 30, 2016 in Khulna. Six of the affected died during the tenure.” Rehana Begum, co-coordinator of Mukta Akash Bangladesh, said: “A total of 69 people in the area are HIV positive and six of them already died. Most the infected are residents of Narail, Jessore, Satkhira and Bagerhat.” Senior Health Officer of Khulna Md Abul Kalam Azad, said: “In 2015 there were 25 HIV positive people in Khulna. In this year, 51 more people were infected with the virus.” Sources of World Vision Bangladesh said about 5.1 millon Indian are infected with HIV. Everyday nearly thousands truck driver entered Bangladesh and most of them are HIV infected. These drivers sometimes engaged in physical relation with Bangladeshi girls without using any protection. Not only this, in last two years, from 2014 to 2016, total 2,234 people in India have been infected by the HIV. Earlier, experts warned that Bangladesh is a low HIV prevalence country with several well-documented at-risk groups, the most prominent of which is brothel-based sex workers and injecting drug users. Although prevalence rate is remaining low in the country, it is surrounded by nations with much higher prevalence rates and with its own at-risk population. The World AIDS Day is observed on December 1 every year to raise awareness about acute immune deficiency syndrome (AIDS) caused by HIV, and to demonstrate international solidarity in the face of the endemic. The day is an opportunity for public and private partners to disseminate information about the status of the pandemic and encourage progress in HIV prevention, treatment and care around the world, particularly in high prevalence countries.Health and Family Welfare Minister Mohammad Nasim today said Bangladesh has been successful in controlling HIV and AIDS and it must continue the existing efforts to end these sexually transmitted diseases by 2030. “The government along with local and international organizations would be able to free the country from HIV and AIDS,” he told a discussion in the Osmani Memorial Auditorium here.",{},"['infected', 'total', 'patients', 'observed', 'world', 'hiv', 'bangladesh', 'virus', 'prevalence', 'aids', 'khulna', 'day', 'tuberculosis', 'high', 'risk']","According to the Mukta Akash Bangladesh, a non-government organisation, Tuberculosis patients are at high risk of the deadly disease Human Immunodeficiency Virus (HIV). Already three Tuberculosis patients in Khulna have been affected with HIV virus recently. According to the NGO, the numbers of HIV positive people are increasing day by day due to lack of consciousness. Everyday nearly thousands truck driver entered Bangladesh and most of them are HIV infected. The World AIDS Day is observed on December 1 every year to raise awareness about acute immune deficiency syndrome (AIDS) caused by HIV, and to demonstrate international solidarity in the face of the endemic.",https://www.dhakatribune.com/uncategorized/2016/12/02/world-aids-day-observed-tuberculosis-patients-high-risk-hiv
London HIV patient becomes world's second AIDS cure hope,"AIDS experts said the case is a proof of the concept that scientists will one day be able to end AIDS, and marks a ""critical moment"" in the search for an HIV cure",,2019-03-05,Dhaka Tribune,"AIDS experts said the case is a proof of the concept that scientists will one day be able to end AIDS, and marks a ""critical moment"" in the search for an HIV cure An HIV-positive man in Britain has become the second known adult worldwide to be cleared of the AIDS virus after he received a bone marrow transplant from an HIV-resistant donor, his doctors said. Almost three years after he received bone marrow stem cells from a donor with a rare genetic mutation that resists HIV infection - and more than 18 months after he came off antiretroviral drugs - highly sensitive tests still show no trace of the mans previous HIV infection. ""There is no virus there that we can measure. We cant detect anything,"" said Ravindra Gupta, a professor and HIV biologist who co-led a team of doctors treating the man. AIDS experts said the case is a proof of the concept that scientists will one day be able to end AIDS, and marks a ""critical moment"" in the search for an HIV cure, but does not mean that cure has already been found. Gupta described his patient as ""functionally cured"" and ""in remission"", but cautioned: ""Its too early to say hes cured."" The man is being called ""the London patient"", in part because his case is similar to the first known case of a functional cure of HIV - in an American man, Timothy Brown, who became known as the Berlin patient when he underwent similar treatment in Germany in 2007 which also cleared his HIV. Brown, who had been living in Berlin, has since moved to the United States and, according to HIV experts, is still HIV-free. Some 37 million people worldwide are currently infected with HIV and the AIDS pandemic has killed about 35 million people worldwide since it began in the 1980s. Scientific research into the complex virus has in recent years led to the development of drug combinations that can keep it at bay in most patients. Gupta, now at Cambridge University, treated the London patient when he was working at University College London. The man had contracted HIV in 2003, Gupta said, and in 2012 was also diagnosed with a type of blood cancer called Hodgkins Lymphoma. Last chance In 2016, when he was very sick with cancer, doctors decided to seek a transplant match for him. ""This was really his last chance of survival,"" Gupta told Reuters. The donor - who was unrelated - had a genetic mutation known as CCR5 delta 32, which confers resistance to HIV. The transplant went relatively smoothly, Gupta said, but there were some side effects, including the patient suffering a period of ""graft-versus-host"" disease - a condition in which donor immune cells attack the recipients immune cells. Most experts say it is inconceivable such treatments could be a way of curing all patients. The procedure is expensive, complex and risky. To do this in others, exact match donors would have to be found in the tiny proportion of people — most of them of northern European descent — who have the CCR5 mutation that makes them resistant to the virus. ""Although this is not a viable large-scale strategy for a cure, it does represent a critical moment,"" said Anton Pozniak, president of the International AIDS Society. ""The hope is that this will eventually lead to a safe, cost-effective and easy strategy using gene technology or antibody techniques."" Specialists said it is also not yet clear whether the CCR5 resistance is the only key - or whether the graft-versus-host disease may have been just as important. Both the Berlin and London patients had this complication, which may have played a role in the loss of HIV-infected cells, Gupta said. His team plans to use these findings to explore potential new HIV treatment strategies. ""We need to understand if we could knock out this (CCR5) receptor in people with HIV, which may be possible with gene therapy,"" he said. The London patient, whose case was set to be reported in the journal Nature and presented at a medical conference in Seattle on Tuesday, has asked his medical team not to reveal his name, age, nationality or other details.",{},"['worlds', 'known', 'london', 'hope', 'hiv', 'man', 'aids', 'gupta', 'case', 'second', 'cure', 'experts', 'donor', 'patient']","We can't detect anything,"" said Ravindra Gupta, a professor and HIV biologist who co-led a team of doctors treating the man. AIDS experts said the case is a proof of the concept that scientists will one day be able to end AIDS, and marks a ""critical moment"" in the search for an HIV cure, but does not mean that cure has already been found. Gupta described his patient as ""functionally cured"" and ""in remission"", but cautioned: ""It's too early to say he's cured."" Brown, who had been living in Berlin, has since moved to the United States and, according to HIV experts, is still HIV-free. Gupta, now at Cambridge University, treated the London patient when he was working at University College London.",https://www.dhakatribune.com/world/europe/2019/03/05/london-hiv-patient-becomes-world-s-second-aids-cure-hope
"HIV deaths: Bangladesh ranks 10th in Asia, India 1st","There are currently around 12,000 HIV-positive people in Bangladesh",,2018-01-26,Dhaka Tribune,"Bangladesh recorded the 10th highest number of deaths from HIV/AIDS among Asian countries in 2016, the Joint United Nations Programme on HIV/AIDS (UNAIDS) has revealed. According to the recent UNAIDS report 2017, around 1,000 people died in Bangladesh in 2016 due to the virus. A data comparison from 2016 of South Asian countries shows that India suffered the highest number of deaths from AIDS in Asia - 62,000 - while Bangladesh is behind Pakistan (5,500 deaths) and Nepal (1,700 deaths). [caption id=""attachment_242867"" align=""aligncenter"" width=""683""] Screenshot of a graph from UNAIDS website shows the data on HIV deaths in South Asian countries[/caption] Sri Lanka recorded 110 deaths and 360 people died in Afghanistan due to virus in the same year, according to the report. Around 12,000 people who have contracted HIV are currently living in Bangladesh. Of them, 7,500 are male and aged 15 or above, according to UNAIDS data. About 1,500 people have been newly affected by the virus. Around 7,900 people under the age of 17 have been orphaned by the virus. However, only 1,800 AIDS affected people in the country are receiving antiretroviral therapy (ART). [caption id=""attachment_242834"" align=""aligncenter"" width=""1291""] Screenshot of a graph from UNAIDS website shows the data on HIV deaths in South Asian countries[/caption] There were around 170,000 AIDS-related fatalities in the Asia Pacific region in 2016, according to the UNAIDS report. The number has declined since 2010, when around 240,000 deaths were recorded. It also added that around one million people died worldwide in 2016 due to the virus. According to UNAIDS, an estimated 5.1 million in the Asia Pacific region are living with HIV at present, while only 2.4 million have access to treatment. Data on China is not available. India has the third largest population of people with HIV after South Africa and Nigeria.",{},"['unaids', 'south', 'asian', '1st', 'bangladesh', 'hiv', '10th', 'virus', '2016', 'deaths', 'ranks', 'asia', 'india', 'according', 'data']","Bangladesh recorded the 10th highest number of deaths from HIV/AIDS among Asian countries in 2016, the Joint United Nations Programme on HIV/AIDS (UNAIDS) has revealed. According to the recent UNAIDS report 2017, around 1,000 people died in Bangladesh in 2016 due to the virus. A data comparison from 2016 of South Asian countries shows that India suffered the highest number of deaths from AIDS in Asia - 62,000 - while Bangladesh is behind Pakistan (5,500 deaths) and Nepal (1,700 deaths). Of them, 7,500 are male and aged 15 or above, according to UNAIDS data. India has the third largest population of people with HIV after South Africa and Nigeria.",https://www.dhakatribune.com/bangladesh/2018/01/26/hiv-aids-deaths-bangladesh-asia
Infographic: Travel bans reveal state of HIV discrimination,"As World Aids Day marks its 30th anniversary, travel restrictions for people living with HIV remain common around the world, including bans on entry, denial of work and residence permits, and even deportations. HIV-related travel restrictions currently exist in more than 50 countries and territories across the world. Most of them place limits on the amount of time HIV-positive foreigners can stay, while a smaller number of countries ban entry altogether, or deport travellers found to have HIV",,2018-11-28,Dhaka Tribune,"As World Aids Day marks its 30th anniversary, travel restrictions for people living with HIV remain common around the world, including bans on entry, denial of work and residence permits, and even deportations. HIV-related travel restrictions currently exist in more than 50 countries and territories across the world. Most of them place limits on the amount of time HIV-positive foreigners can stay, while a smaller number of countries ban entry altogether, or deport travellers found to have HIV",{},"['countries', 'entry', 'restrictions', 'work', 'travellers', 'bans', 'world', 'hiv', 'territories', 'stay', 'travel', 'infographic', 'state', 'discrimination', 'reveal']","As World Aids Day marks its 30th anniversary, travel restrictions for people living with HIV remain common around the world, including bans on entry, denial of work and residence permits, and even deportations. HIV-related travel restrictions currently exist in more than 50 countries and territories across the world. Most of them place limits on the amount of time HIV-positive foreigners can stay, while a smaller number of countries ban entry altogether, or deport travellers found to have HIV",https://www.dhakatribune.com/world/2018/11/28/infographic-travel-bans-reveal-state-of-hiv-discrimination
"Nasim: 4,143 HIV positive patients in Bangladesh","Of the total HIV infected people, 658 are dead and 3485 alive, the minister said citing an official statistics",,2016-09-28,Dhaka Tribune,"A total of 4,1 43 HIV (human immunodeficiency virus) infected persons were detected up to November 2015 in the country, Health and Family Welfare Minister Mohammad Nasim has said. The minister was replying to a written question of treasury bench member Shamim Osman on behalf of M Israfil Alam in the Jatiya Sangsad on Wednesday, reports BSS. Of the total HIV infected people, 658 are dead and 3485 alive, the minister said citing an official statistics. He said the health ministry has taken various steps through AIDS/STD control programme to prevent the communicable disease. The government is providing medical treatment and diagnostic services at 12 hospitals for HIV affected persons, Nasim said, adding that four government hospitals are providing free treatment and medicines including counseling to the patients. Moreover, modern treatment has been providing to the HIV positive patients and drug addicted people at the Infectious Disease Hospital at Mohakhali in the capital Dhaka, he also told the House.",{},"['hospitals', 'infected', 'minister', 'persons', 'total', 'patients', 'providing', 'bangladesh', 'hiv', 'nasim', 'positive', '4143', 'treatment']","A total of 4,1 43 HIV (human immunodeficiency virus) infected persons were detected up to November 2015 in the country, Health and Family Welfare Minister Mohammad Nasim has said. Of the total HIV infected people, 658 are dead and 3485 alive, the minister said citing an official statistics. He said the health ministry has taken various steps through AIDS/STD control programme to prevent the communicable disease. The government is providing medical treatment and diagnostic services at 12 hospitals for HIV affected persons, Nasim said, adding that four government hospitals are providing free treatment and medicines including counseling to the patients. Moreover, modern treatment has been providing to the HIV positive patients and drug addicted people at the Infectious Disease Hospital at Mohakhali in the capital Dhaka, he also told the House.",https://www.dhakatribune.com/bangladesh/2016/09/28/nasim-4143-hiv-positive-patients-bangladesh
"Latest news update from HIV in Bangladesh, World",Latest HIV news in Bangladesh,,,,"9-year-old South African becomes third... Africa Mon, Jul 24 2017 The child was given a ten-month course of anti-AIDS medicine until she was one year old, then taken off...",{},"['medicine', 'update', 'child', 'given', 'world', 'bangladesh', 'hiv', 'course', 'jul', 'old', 'latest', 'tenmonth', 'thirdafrica', 'south', 'taken']","9-year-old South African becomes third...Africa Mon, Jul 24 2017The child was given a ten-month course of anti-AIDS medicine until she was one year old, then taken off...",https://www.dhakatribune.com/hashtag/hiv
"Fight HIV, not sex workers",We need to address the social problems that make sex workers vulnerable to HIV,,2016-12-18,Dhaka Tribune,"“My father died in a road accident when I was only four years old. I never got a chance at schooling. At six I was sent to Dhaka for domestic work and continued till 13. Then my mother wanted me to get married, but I didn’t want that at the age of 13, so I escaped with a friend. But later I fell into the trap and became a sex worker. Since then I am into this trade, and often I am a victim of physical and sexual assault.” -- A sex worker. Each year we observe World Aids Day on December 1 along with the globe seeking to lift up awareness to prevent the spread of HIV or AIDS. Though Bangladesh has had a historically lower rate of HIV infection compared to the rest of the world, violence against female sex workers still remains a big threat in terms of HIV and AIDS. They are one of the key groups most vulnerable to HIV infection in Bangladesh and also in other countries of the world, along with people who inject drugs, men who have sex with men, male sex workers, and transgender/hijra. But sex workers are among those who are most vulnerable to HIV infection, as it spreads rapidly among sex workers. In many cases, sex workers have no access to condoms, or are not aware of their importance. They are simply powerless to negotiate safer sex. Clients may refuse to pay for sex if they have to use a condom, and use intimidation or violence to force unprotected sex, and in many cases, they are raped. But because of the social stigma and marginalisation, they can’t even bring charges against their attacker. Criminalisation of sex work contributes to an environment in which violence against sex workers is tolerated, leaving them less likely to be protected from it. Many sex workers consider violence “normal” or “part of the job,” and do not have information about their rights. As a result, these contribute to their vulnerability to HIV. According to a recent study, the total estimated number of female sex workers in Bangladesh ranges from a minimum of 82,884 to the maximum of 102,260. In Bangladesh, they are mostly vulnerable due to social exclusionary factors such as low income, poverty, debt, unemployment, poor education, etc. Therefore they are mostly mobile, hidden, and likely to avoid disclosure of their status due to stigma and discrimination. Moreover, more than half (55.8%) of female sex workers interviewed reported to having sex for the first time before the age of 15, and the use of condoms during the last sexual encounter was relatively lower among young sex workers aged as compared to sex workers aged 25 years and above, which put them at a high risk of HIV infection. The risk of sexual transmission of HIV infection is well-established. An estimated number of 102, 260 female sex workers are engaged in this trade through brothels, hotels, residences, and street-based set-ups. Violence against sex workers is not only widespread, but is also perpetrated, legitimised, and accepted by many With their identities, they hardly get any basic services from hospitals and mainstream health providers. In situations where sex workers do not have access to condoms, HIV prevention information, and sexual health services, or are prevented from protecting their health and using condoms for any reason, they are at increased risk of contracting HIV. The story of the abovementioned sex worker is a real life experience that has reason to make us depressed about humanity. At 13, she was trapped in a cycle of sex work, and when she was 18, she got married to a man who was her pimp, and gave birth to a baby girl in the following year. But her husband didn’t welcome the girl child, and attempted to kill the little one. Luckily, her mother managed to escape with the girl. “I want to give my daughter education and a good life and I know I need money for that. That’s why I am still in this business and taking life risk to go with the clients in unknown places and do whatever they want me to do. Many times I faced gang rape and sex without condoms. I was heavily injured at times and managed to escape from being murdered.” Violence against sex workers is not only widespread, but is also perpetrated, legitimised, and accepted by many. It undermines HIV prevention efforts and increases sex workers’ vulnerability to HIV transmission in several ways. We need to get our act together to stop the violence against sex workers and help in preventing HIV. There is growing recognition that effective HIV prevention policies and programs focusing on sex workers must incorporate violence prevention strategies. Interventions to promote safer sex among sex workers must be part of an overall effort to ensure their safety, promote their health and well-being more broadly, and protect their human rights. There is also a need to recognise that not all sex workers see themselves as victims, oppressed, or exploited. Instead, many can and are taking control of their own lives, finding solutions to their problems, acting in their individual and collective interests, and contributing to the fight against HIV/ AIDS. Different international development organisations in Bangladesh, like Save the Children, have been operating 43 drop-in-centres (DICs) for female sex workers since 2008 to give psychological support and essential health services in 26 districts with support from the Global Fund. There are almost 26,000 female sex workers getting support. But that’s not enough. When responding to the HIV epidemic among sex workers, empowering them and involving them in HIV prevention are necessary. We also need to address the underlying social and structural problems that make sex workers vulnerable to HIV. By giving them greater legal protection against violence, and by reducing the discrimination they face, HIV prevalence could be cut dramatically. Lima Rahman is Chief of Party, HIV/AIDS Program, Save the Children. Md Abdul Quayyum is Head of Communication and Media, Save the Children.",{},"['fight', 'violence', 'condoms', 'female', 'hiv', 'bangladesh', 'vulnerable', 'prevention', 'health', 'sex', 'workers']","But sex workers are among those who are most vulnerable to HIV infection, as it spreads rapidly among sex workers. Moreover, more than half (55.8%) of female sex workers interviewed reported to having sex for the first time before the age of 15, and the use of condoms during the last sexual encounter was relatively lower among young sex workers aged as compared to sex workers aged 25 years and above, which put them at a high risk of HIV infection. It undermines HIV prevention efforts and increases sex workers’ vulnerability to HIV transmission in several ways. There is growing recognition that effective HIV prevention policies and programs focusing on sex workers must incorporate violence prevention strategies. When responding to the HIV epidemic among sex workers, empowering them and involving them in HIV prevention are necessary.",https://www.dhakatribune.com/opinion/op-ed/2016/12/18/fight-hiv-not-sex-workers
HIV outbreak sparks panic in southern Pakistan,"Health officials say more than 400 people, many of them children, have tested HIV positive in recent weeks as experts warn of a surge in infection rates across Pakistan, due to the use of unsanitary equipment and rampant malpractice",,2019-05-16,Dhaka Tribune,"In this image taken on May 9, 2019, a Pakistani paramedic takes a blood sample from a girl for a HIV test at a state-run hospital in Rato Dero in the district of Larkana of the southern Sindh province AFP Health officials say more than 400 people, many of them children, have tested HIV positive in recent weeks as experts warn of a surge in infection rates across Pakistan, due to the use of unsanitary equipment and rampant malpractice Parents nervously watch as their children wait to be tested for HIV in a village in southern Pakistan, where hundreds of people have been allegedly infected by a doctor using a contaminated syringe. Dispatched to keep order, police scan the anxious crowd as families hustle into one of five different screening rooms set up in the last month in the village of Wasayo, on the outskirts of Larkana in Sindh province. Health officials say more than 400 people, many of them children, have tested HIV positive in recent weeks as experts warn of a surge in infection rates across Pakistan, due to the use of unsanitary equipment and rampant malpractice -- often at the hands of quack doctors. Anger and fear continue to swell in the desperately poor village hit hard by the epidemic, which authorities say could be linked to either gross negligence or malicious intent by a local pediatrician. ""They are coming by the dozens,"" says a doctor at the makeshift clinic, beset by a lack of equipment and personnel to treat the surging number of patients. Mukhtar Pervez waits anxiously to have her daughter tested, worrying a recent fever may be linked to the outbreak. For others, their worst fears have already become a reality. Nisar Ahmed arrived at the clinic in a furious search for medicine after his one-year-old daughter tested positive three days earlier. ""I curse [the doctor] who has caused all these children to be infected,"" he says angrily. Nearby Imam Zadi accompanies five of her children to be examined after her grandson tested positive. ""The entire family is so upset,"" she tells AFP. Others worry their childrens futures have been irreparably harmed after contracting HIV, especially in a country whose masses of rural poor have little understanding of the disease or access to treatment. ""Who is she going to play with? And when shes grown up, who would want to marry her?"" asks a tearful mother from a nearby village, who asked not to named, of her four-year-old daughter who just tested positive. ""Who is she going to play with?"" asks the tearful mother of her four-year-old daughter who tested positive after HIV outbreak sparks panic in southern Pakistan https://t.co/AniR5qwYTR — Ed Jones (@edwardesjones) May 16, 2019 Helpless Pakistan was long considered a low prevalence country for HIV, but the disease is expanding at an alarming rate, particularly among intravenous drug users and sex workers. With about 20,000 new HIV infections reported in 2017 alone, Pakistan currently has the second fastest growing HIV rates across Asia, according to the UN. Pakistans surging population also suffers the additional burden of having insufficient access to quality healthcare following decades of under-investment by the state, leaving impoverished, rural communities especially vulnerable to unqualified medical practitioners. ""According to some government reports, around 600,000 quack doctors are operating across the country and around 270,000 are practicing in the province of Sindh,"" said UNAIDS in a statement. Provincial health officials have also noted that patients are at particular risk of contracting diseases or viruses at these clinics, where injections are often pushed as a primary treatment option. ""For the sake of saving money, these quacks will inject multiple patients with a single syringe. This could be the main cause of the spread of HIV cases,"" said Sikandar Memon, provincial program manager of the Sindh Aids Control Program. The large number of unqualified doctors along with the ""reuse of syringes, unsafe blood transfusions, and other unsafe medical practices"" have all led to the spike in HIV cases in recent years, explains Bushra Jamil, an expert on infectious diseases at the Aga Khan University in Karachi. ""Rampant medical malpractices without any effective checks and balances are causing repeated outbreaks in Pakistan,"" said Jamil. Authorities investigating the outbreak in Sindh say the accused doctor has also tested positive for HIV. In this image taken on May 9, 2019, a Pakistani local pediatrician alleged to have been responsible for the HIV outbreak, Dr. Muzaffar Ghangro, is seen behind the bars at a local police station in Rato Dero in the district of Larkana of the southern Sindh province AFP From a ramshackle jail cell in the nearby city of Ratodero, he denied the charges and accusations he knowingly injected his patients with the virus, while complaining of being incarcerated with common criminals. But for the parents of the newly diagnosed, the ongoing investigation means little if they are unable to secure access to better information and the necessary drugs that can help stave off the deadly AIDS virus. ""We are helpless. I have other children and I am afraid they might catch the disease,"" says another mother whose daughter recently tested positive for HIV. ""[Please] send some medicine for our children so that they can be cured. If not, all of our children will die, right?""",{},"['tested', 'children', 'village', 'pakistan', 'southern', 'sindh', 'hiv', 'daughter', 'outbreak', 'sparks', 'panic', 'positive', 'say']","Mukhtar Pervez waits anxiously to have her daughter tested, worrying a recent fever may be linked to the outbreak. Nisar Ahmed arrived at the clinic in a furious search for medicine after his one-year-old daughter tested positive three days earlier. asks the tearful mother of her four-year-old daughter who tested positive after HIV outbreak sparks panic in southern Pakistan https://t.co/AniR5qwYTR — Ed Jones (@edwardesjones) May 16, 2019'Helpless'Pakistan was long considered a low prevalence country for HIV, but the disease is expanding at an alarming rate, particularly among intravenous drug users and sex workers. Authorities investigating the outbreak in Sindh say the accused doctor has also tested positive for HIV. I have other children and I am afraid they might catch the disease,"" says another mother whose daughter recently tested positive for HIV.",http://www.dhakatribune.com/world/south-asia/2019/05/16/hiv-outbreak-sparks-panic-in-southern-pakistan
"‘I am HIV positive, please accept me’",'I did not know anything about HIV at the time,,2014-11-30,Dhaka Tribune,"Speaking on condition of anonymity, a Bangladeshi HIV positive baby, who has now grown into adulthood, dreams of the day she can show her face and say her name in dignity. “I am HIV positive. Please accept me,” an 18 year-old teenage girl from Chittagong said to this reporter. She shared her story and her hopes with the Dhaka Tribune on Saturday morning, two days ahead of World AIDS Day. Alo – not her real name – passed her Higher Secondary Certificate exam this year from the Arts group and is now waiting to start her tertiary level education. She was infected with HIV in the womb. Her father, who infected her mother, died from AIDS in 2002 when she was 6. As far as she can remember, her father died from a severe sickness. No one then knew that he had AIDS. “We learned that my father was HIV positive when my mother fell severely ill the year after he died. We took my mother to many hospitals. Later we found out that she had AIDS too,” Alo said. In 2003, Alo lost her mother and she, together with her two elder sisters, were asked to be tested for HIV. The test revealed that Alo was HIV positive but her two sisters were not. Since then, Alo has been taking anti-retroviral medicines twice a day, everyday. “I did not know anything about HIV at the time. But I can remember that my bitter life started with that test result. “Even my two sisters did not keep me with them on the bed. They placed me on the floor while they slept on the bed,” Alo recalled as tears filled her eyes. “I can still remember that my utensils, clothes and other personal belongings were a different colour so as to be easily recognisable,” she said. “Everyone told me to stay away because I had a disease that could kill them. “I cried by myself. I have learnt how to cry alone and how to remain alone,” she said, her voice growing heavy. Her family told her she had a disease that could kill them, without a care for the fact that the disease could kill her. After slow exposure to the facts about HIV/AIDS, her sisters and relatives came to understand that it is not a contagious disease in the typical sense. They now understand how it is transmitted. Alo herself says she now understands that she need not bear any stigma for her HIV positive status. Alo has hidden her HIV status all of these years. Her sisters, all that survives of her nuclear family, and a handful of relatives know her condition. To the rest of the world, this part of her is invisible, she says, because of intolerance. She knows she would not be accepted by society, her school or her peers if they knew the truth. Her neighbours, relatives, friends and teachers do not know about her HIV status. I could never tell anyone about my disease because no one would understand me. They would misjudge me. Our society is not friendly towards us, she said. “I do not become too close to my sister’s child. I never kiss the child although I love the child very much and the child likes me as well,” she said. When asked why she doesn’t express her affection for the child, Alo replied: “Yes, I know it will not harm the child but I do not want to take a chance. I do not want to be the reason for anyone getting sick.” “I treat the child as my own,” she said. Alo shared her one great hope with the Dhaka Tribune and prays to God that her wish comes true. She wants a job of her own and a worthy husband who is also HIV positive. “It is very tough to remain unmarried. I want a husband who is also living with HIV. Only he will be able to understand me.” Alo hopes one day she can reveal her identity, when there will be no social stigma or discrimination. “I want to come out of my dark and lonely world.”",{},"['know', 'mother', 'child', 'disease', 'world', 'hiv', 'alo', 'accept', 'positive', 'understand', 'sisters']","Speaking on condition of anonymity, a Bangladeshi HIV positive baby, who has now grown into adulthood, dreams of the day she can show her face and say her name in dignity. “I am HIV positive. “We learned that my father was HIV positive when my mother fell severely ill the year after he died. Alo herself says she now understands that she need not bear any stigma for her HIV positive status. She wants a job of her own and a worthy husband who is also HIV positive.",https://www.dhakatribune.com/bangladesh/2014/11/30/i-am-hiv-positive-please-accept-me/
