Headlines,Descriptions,Authors,Published_Dates,Publication,Articles,category,Keywords,Summaries,Source_URLs
World HIV (AIDS) Day,,editor,2010-12-04,,"KABUL , Dec 01, 2010: Acting Minister of Public Health Dr. Soryia Dalil, along with Afghan and foreign officials participates in a special ceremony as to mark the World HIV (AIDS) Day here in the capital city of Kabul on Wednesday.",{},"['special', 'mark', 'public', 'minister', 'participates', 'soryia', 'kabul', 'hiv', 'aids', 'officials', 'day', 'world']","KABUL , Dec 01, 2010: Acting Minister of Public Health Dr. Soryia Dalil, along with Afghan and foreign officials participates in a special ceremony as to mark the World HIV (AIDS) Day here in the capital city of Kabul on Wednesday.",https://www.pajhwok.com/en/photo/128236
Farhad Darya as the Good Will Ambassador against HIV Aids,,Zahra.Hamidi,2018-03-28,,"KABUL , Mar 28, 2018: Right to left, Ferozuddin Feroz, minister of public health alongside Farhad Darya, one of the most famous singers of the country signing the contract on which Farhad Darya has been selected as the Good Will ambassador against HIV aids. PAJHWOK/Zainullah Mahbobi",{},"['good', 'ambassador', 'darya', 'selected', 'right', 'public', 'mar', 'minister', 'signing', 'hiv', 'aids', 'farhad', 'singers', 'mahbobi']","KABUL , Mar 28, 2018: Right to left, Ferozuddin Feroz, minister of public health alongside Farhad Darya, one of the most famous singers of the country signing the contract on which Farhad Darya has been selected as the Good Will ambassador against HIV aids. PAJHWOK/Zainullah Mahbobi",https://www.pajhwok.com/en/node/510402
HIV ايدس,,hasib.noori,2011-12-03,,Pajhwok is interested in your story suggestions. Please tell us your thoughts by clicking here.,{},"['tell', 'suggestions', 'pajhwok', 'interested', 'thoughts', 'afghan', 'clicking']",Pajhwok is interested in your story suggestions. Please tell us your thoughts by clicking here.,https://www.pajhwok.com/en/photo/163392
HIV/AIDS,,editor,2010-10-27,,"KABUL , Oct 26, 2010: Deputy public health minister, Dr. Sadruddin Sahar, hands over an appreciation letter to an official of Radio Television of Afghanistan during a ceremony here on Tuesday.",{},"['oct', 'public', 'minister', 'letter', 'sadruddin', 'radio', 'pajhwok', 'kabul', 'official', 'television', 'sahar', 'afghan']","KABUL , Oct 26, 2010: Deputy public health minister, Dr. Sadruddin Sahar, hands over an appreciation letter to an official of Radio Television of Afghanistan during a ceremony here on Tuesday.",https://www.pajhwok.com/en/photo/115943
Women among HIV-positive cases in Kandahar,"KANDAHAR CITY (Pajhwok): The numbers of Human Immunodeficiency Virus (HIV)-affected people in southern Kandahar province is 44, including five women, an official said on Monday.",rehmat.mehsud,2015-03-10,,"KANDAHAR CITY (Pajhwok): The numbers of Human Immunodeficiency Virus (HIV)-affected people in southern Kandahar province is 44, including five women , an official said on Monday. Public Health Director Dr. Abdul Qayyum Pukhla said this at a gathering marking International Acquired Immune Deficiency Syndrome (AIDS) Day in Kandahar City. He said around 1,693 people were affected by HIV/AIDS throughout the country, with 44 in Kandahar. So far, 50 people have lost their lives to HIV in Afghanistan . Pukhla said that the use of illicit drugs, illegal sexual relations, unawareness, poverty and porous borders were the main causes of HIV spread in the country. nh/mud",{},"['44', 'virus', 'unawareness', 'kandahar', 'spread', 'women', 'hiv', 'cases', 'syndrome', 'hivpositive', 'pukhla', 'southern']","KANDAHAR CITY (Pajhwok): The numbers of Human Immunodeficiency Virus (HIV)-affected people in southern Kandahar province is 44, including five women , an official said on Monday. Public Health Director Dr. Abdul Qayyum Pukhla said this at a gathering marking International Acquired Immune Deficiency Syndrome (AIDS) Day in Kandahar City. He said around 1,693 people were affected by HIV/AIDS throughout the country, with 44 in Kandahar. So far, 50 people have lost their lives to HIV in Afghanistan . Pukhla said that the use of illicit drugs, illegal sexual relations, unawareness, poverty and porous borders were the main causes of HIV spread in the country.",https://www.pajhwok.com/en/2015/03/10/women-among-hiv-positive-cases-kandahar
"""طى هشت ماه گذشته، ده واقعۀ مثبت ""ایدز"" در هرات ثبت شده است""","شهرهرات (پژواک،٣سنبله٩٥): مسوولان صحى در هرات ميگويند که طى هشت ماه گذشته، ده واقعۀ مثبت ""ایدز"" (HIV) در اين ولايت به ثبت رسیده است.",daud.hussaini,2016-08-24,,Pajhwok is interested in your story suggestions. Please tell us your thoughts by clicking here.,{},"['tell', 'واقعۀ', 'suggestions', 'مثبت', 'هرات', 'گذشته', 'ماه', 'طى', 'ده', 'در', 'pajhwok', 'interested', 'هشت', 'thoughts', 'شده', 'clicking']",Pajhwok is interested in your story suggestions. Please tell us your thoughts by clicking here.,https://www.pajhwok.com/en/node/462371
18 AIDs cases in total detected in Takhar,"TALOQAN (Pajhwok): At least two new Acquired Immune Deficiency Syndrome (AIDS) cases have been detected in in northern Takhar province, taking the total number of patients infected to 18, health officials said on Thursday.",h.ghanizada,2015-09-03,,"TALOQAN (Pajhwok): At least two new Acquired Immune Deficiency Syndrome (AIDS) cases have been detected in in northern Takhar province, taking the total number of patients infected to 18, health officials said on Thursday. The officials expressed concerns that patients with lack of knowledge about the deadly disease of Human Immunodeficiency Virus (HIV) could spread among families. Dr. Hafizullah Sapi, provincial health director, said two individuals a male and a female diagnosed with the disease were the residents of Rostaq and Darqad districts. He said the HIV positive man had lost his life in Takhar prison and they were searching for his family members. According to Sapi, he was imprisoned in Tajikistan and was later transferred to Takhar to complete his jail term. “We are worried about the health of his other family members. But he never gave us a proper address. He was also addicted to drugs,” Sapi recalled. About the second case, he said, a woman in Sarqand district was found positive during medical check up. She had four children as well. “We want her other family members checked,” he said. According to Sapi, the disease spread to other parts of the province from Iran, Tajikistan, Saudi Arabia and other countries. HIV/AIDS is a viral and non-curable disease and spread after sexual intercourse, tainted injections, and barber’s instruments. He also said Takhar civil hospitals did not have facilities for HIV AIDs test and the addicted patients of this virus should go to other places for laboratory test and treatment. Sapi added no medicine has been created so far to eliminate HIV AIDs virus and it is a non-treatable illness. He, however, said there was one unit in Kunduz hospital on zone level where this virus could be tested. According to Sapi the HIV AIDs virus destroy the anti-body system in human body and then pave the way for other dangerous diseases such as fever and ultimately cause the death. Dr. Mir Karimullah Zia, head of a foreign NGO, said they dispatched special teams to the district health centres to take blood samples of other individuals for check up. He said with the repatriation of refugees such life threatening diseases entered Afghanistan . The official termed the spread of HIV AIDs dangerous and urged for preventive measures. hg/rm",{},"['takhar', 'virus', 'sapi', 'disease', '18', 'spread', 'members', 'total', 'patients', 'detected', 'cases', 'aids', 'hiv', 'health']","TALOQAN (Pajhwok): At least two new Acquired Immune Deficiency Syndrome (AIDS) cases have been detected in in northern Takhar province, taking the total number of patients infected to 18, health officials said on Thursday. According to Sapi, the disease spread to other parts of the province from Iran, Tajikistan, Saudi Arabia and other countries. Sapi added no medicine has been created so far to eliminate HIV AIDs virus and it is a non-treatable illness. According to Sapi the HIV AIDs virus destroy the anti-body system in human body and then pave the way for other dangerous diseases such as fever and ultimately cause the death. The official termed the spread of HIV AIDs dangerous and urged for preventive measures.",https://www.pajhwok.com/en/2015/04/23/18-aids-cases-total-detected-takhar
حدود پنجهزار تن در افغانستان به مرض ایدز مبتلا میباشند,,Hikmat.safi,2013-12-01,,,,,,https://www.pajhwok.com/en/node/383929
"Unemployment, poverty giving rise to AIDS: AAFTU","JALALABAD (Pajhwok): Poverty, unemployment and lack of public awareness are major causes of increased HIV/AIDS cases in Afghanistan, the All Afghanistan Federation of Trade Union (AAFTU) chief said on Wednesday.",pkarokhail,2016-11-30,,"JALALABAD (Pajhwok): Poverty, unemployment and lack of public awareness are major causes of increased HIV/AIDS cases in Afghanistan , the All Afghanistan Federation of Trade Union (AAFTU) chief said on Wednesday. Dr. Mohammad Liaqat Adil, speaking at a conference “Let’s rescue our work force from AIDS” in Jalalabad, said unemployment had increased in the country, giving rise poverty and HIV/AIDS cases. He assailed the government, particularly the Ministry of Public Health (MoPH), for launching effective public awareness programmes despite spending a lot of money on eradicating HIV/AIDS. A large number of returning Afghan refugees also contributed to increasing unemployment, an issue that needed serious attention from the government, the senior trade unionist said. But a doctor at the Nangarhar Public Health Department, Noor Hassan Basharyar, said the government had made remarkable efforts for eliminating HIV and AIDS and public awareness on the issue had increased. He added besides the public awareness programmes, the MoPH had also launched other initiatives for the prevention of the deadly disease in society , detention centers, drug addicts using injections and transmission of the virus from affected mothers to their babies. Public awareness has been spread to 11,000 school students, 2,500 university students and people at a large number of public places, like public toilets, in Nangarhar province, Hassan said. However, social discrimination against the HIV-affected people is great challenge, but the MoPH this year plans to launch a conference under ‘Please stop discrimination’ on World AIDS Day. The MoPH has not yet put a figure on the number of affected people, but based on some reports, 1,874 positive AIDS cases were registered in 2014, including 327 women and 66 children. smea/mds/mud",{},"['giving', 'unemployment', 'aaftu', 'public', 'students', 'moph', 'programmes', 'aids', 'awareness', 'poverty', 'rise', 'trade', 'number']","JALALABAD (Pajhwok): Poverty, unemployment and lack of public awareness are major causes of increased HIV/AIDS cases in Afghanistan , the All Afghanistan Federation of Trade Union (AAFTU) chief said on Wednesday. Dr. Mohammad Liaqat Adil, speaking at a conference “Let’s rescue our work force from AIDS” in Jalalabad, said unemployment had increased in the country, giving rise poverty and HIV/AIDS cases. He assailed the government, particularly the Ministry of Public Health (MoPH), for launching effective public awareness programmes despite spending a lot of money on eradicating HIV/AIDS. But a doctor at the Nangarhar Public Health Department, Noor Hassan Basharyar, said the government had made remarkable efforts for eliminating HIV and AIDS and public awareness on the issue had increased. Public awareness has been spread to 11,000 school students, 2,500 university students and people at a large number of public places, like public toilets, in Nangarhar province, Hassan said.",https://www.pajhwok.com/en/2016/11/30/unemployment-poverty-giving-rise-aids-aaftu
Ban seeks action on UAIDS investment framework,KABUL(PAN,nasrat.samimi,2011-12-02,,"KABUL (PAN ): The number of new HIV infections has fallen by more than 20 per cent since 1997, the United Nations secretary-general has said, calling for continued political commitments and investments. New infections were continuing to decline in most parts of the world , Ban Ki-moon said, adding in sub-SaharanAfrica, the region most affected by the epidemic, HIV incidence had decreased in 22 countries. ""The progress we have made so far is proof that we can realise our vision of zero new HIV infections, zero discrimination and zero AIDS-related deaths,"" Ban said in a statement on World AIDS Day. Access to HIV prevention services was helping young people, sex workers and their clients, he said. Treatment has averted 2.5 million AIDS-related deaths since 1985. Last year alone, the UN chief pointed out, 700,000 lives were saved. Some 6.6 million people, nearly half those who need treatment in low- and middle-income countries, are under treatment. ""I urge all concerned to act on the investment framework put forward by UNAIDS and to fully fund the global investment target of up to $24 billion annually. The results would offset the upfront costs in less than one generation,"" he concluded.",{},"['ban', 'zero', 'infections', 'seeks', 'action', 'treatment', 'investment', 'deaths', 'framework', 'hiv', 'aidsrelated', 'uaids', 'million', 'world']","KABUL (PAN ): The number of new HIV infections has fallen by more than 20 per cent since 1997, the United Nations secretary-general has said, calling for continued political commitments and investments. New infections were continuing to decline in most parts of the world , Ban Ki-moon said, adding in sub-SaharanAfrica, the region most affected by the epidemic, HIV incidence had decreased in 22 countries. ""The progress we have made so far is proof that we can realise our vision of zero new HIV infections, zero discrimination and zero AIDS-related deaths,"" Ban said in a statement on World AIDS Day. Treatment has averted 2.5 million AIDS-related deaths since 1985. ""I urge all concerned to act on the investment framework put forward by UNAIDS and to fully fund the global investment target of up to $24 billion annually.",https://www.pajhwok.com/en/2011/12/02/ban-seeks-action-uaids-investment-framework
