Headlines,Descriptions,Authors,Published_Dates,Publication,Articles,category,Keywords,Summaries,Source_URLs
Curious about HIV/AIDS? Just Ask Marlo,A new online chat platform is the latest innovation that tries to raise public awareness about the human immunodeficiency virus (HIV) and acquired immunodeficiency syndrome (AIDS).,['The Jakarta Post'],2019-01-22,The Jakarta Post,"A new online chat platform is the latest innovation that tries to raise public awareness about the human immunodeficiency virus (HIV) and acquired immunodeficiency syndrome (AIDS). The platform called Tanya Marlo (Ask Marlo) features a character named Marlo who constantly reminds and informs users about HIV/AIDS. “Let’s take a HIV test!” Marlo says through the platform, which is integrated with the LINE application. Wearing a yellow shirt under a blue sweater, the bespectacled man encourages anyone, especially those who are sexually active, to take a HIV test at least once a year to maintain a healthy sex life. HIV is preventable, Marlo reminds users via the platform. The earlier the virus is detected, the earlier treatment can be administered, not only to improve the health of patients but also reduce or even eliminate the risk of transmitting it to their sexual partner. Therefore, taking a HIV test matters. It is estimated that 48 percent of the 640,000 people living with HIV/AIDS in Indonesia are aware of their status, according to the Health Ministry. People who do not have HIV also need to understand HIV/AIDS to prevent them from discriminating against or stereotyping people with the condition. Being the subject of unwanted rumors is one of the reasons why many people are reluctant to take a HIV test. With many people in the country yet to fully understand HIV/AIDS, Marlo is ready to serve anyone who wants to seek information about it confidentially. He is aware that people with HIV/AIDS face stigma and discrimination in Indonesia, where talking about sex is deemed taboo. He therefore guarantees that any conversation with him is confidential. “Do you want to contact me through LINE or WhatsApp?” Marlo asks. The United Nations Program on HIV/AIDS (UNAIDS) and developers Nimbly Technologies and Botika are behind Tanya Marlo. Together, they officially launched the platform last December. “Tanya Marlo is a mobile chat platform that is friendly and for people who need information about HIV/AIDS. We present Tanya Marlo to answer all challenges faced by people with the condition in Indonesia. We utilize digital technology as a new way to interact with the young who might not be able to access information about HIV/AIDS,” UNAIDS Indonesia country director Krittayawan Boonto said. Tanya Marlo is the world’s first chat-box about HIV/AIDS. To make friends with Marlo, a user first has to install the LINE app on their mobile phone. Then, users need to add @TanyaMarlo to their friends list. After that, they will see four features on Tanya Marlo; Consultation, HIV Test, HIV Info and Quiz. If users click the Consultation feature, they can chat to trusted counselors through LINE or WhatsApp. If users choose the latter, they will have access to the WhatsApp number of a counselor to communicate with him or her confidentially. The counselor will be a friend. This is why users do not need to feel embarrassed about asking anything, including questions that people generally deem taboo. Users, for example, may ask whether it is fine to have unprotected sex if they and their partner are HIV-positive. The HIV Info features articles, infographics and videos about HIV/AIDS, such as basic information like the difference between HIV and AIDS to the history of it, preventive measures, and treatment and care. The Consultation and HIV Info features will convince users to have the courage to take a HIV test. The HIV Test feature, meanwhile, will inform users about the locations of clinics that provide HIV testing services, including their hours of operation and the procedures they have to undergo. In Indonesia, where people who are HIV-positive can access treatment for free, there are more than 5,000 testing sites and over 600 antiretroviral (ARV) treatment centers, according to UNAIDS Indonesia. However, only 15 percent of people who know of their HIV status undergo ARV treatment. “The crucial element that is missing is the knowledge about HIV. Without the knowledge, people are unable to make life-saving decisions, such as getting tested and initiating ARV treatment to be healthy and productive,” said Krittayawan. The last feature of Tanya Marlo is the Quiz where users can test their understanding about HIV/AIDS. The Quiz features multiple-choice questions that debunk the most popular myths about HIV/AIDS, such as how the virus or illness is transferable through mosquito bites, sharing kitchen utensils and using the same toilet. HIV/AIDS activist Tesa Sampurno, who is openly HIV-positive, expressed appreciation for the launch of Tanya Marlo, expressing hope that more people would not be fooled by HIV/AIDS myths. He said living with HIV/AIDS was hard, while discrimination and stereotyping made it harder. Tesa vividly remembers the moment his family created distance with him after he was diagnosed with AIDS in August 2007. At that time, they believed that HIV could be easily spread through touch. “They refused to shake my hand. They even wrote my name on the cups and plates I used,” he said. Hailing from Bandung, West Java, Tesa said he got HIV from needles that he did not realize were unsterile when he was a drug addict from 1995 to 2000. The 34-year-old has proven that living with HIV is not a death sentence. He is still healthy thanks to ARV medicine that he drinks every day. He looks as well as anyone else. In October last year, he took part in the Jakarta Marathon, running the 42-kilometer race to prove that HIV-positive people can be as healthy as those who live without the virus. “The keys to keeping fit are exercising regularly, following a healthy lifestyle, avoiding stress and the most important thing is to be happy,” he said. UNAIDS is upbeat that Tanya Marlo will effectively educate people, especially the young, about HIV/AIDS. The Health Ministry’s data shows that around 52 percent of people who are newly diagnosed with HIV are young people aged between 15 and 24. Indonesia itself is one of LINE’s top three overseas markets with around 90 million registered users. Around 80 percent of them are millennials. The government has committed to end the spread of AIDS by 2030. By then, it is expected that 90 percent of people who live with HIV/AIDS in Indonesia will be aware of their status and 90 percent of these people will undergo ARV treatment. (hdt)",{},"['curious', 'users', 'hivaids', 'marlo', 'test', 'hiv', 'treatment', 'tanya', 'healthy', 'ask', 'indonesia', 'platform']","The platform called Tanya Marlo (Ask Marlo) features a character named Marlo who constantly reminds and informs users about HIV/AIDS. With many people in the country yet to fully understand HIV/AIDS, Marlo is ready to serve anyone who wants to seek information about it confidentially. The United Nations Program on HIV/AIDS (UNAIDS) and developers Nimbly Technologies and Botika are behind Tanya Marlo. After that, they will see four features on Tanya Marlo; Consultation, HIV Test, HIV Info and Quiz. HIV/AIDS activist Tesa Sampurno, who is openly HIV-positive, expressed appreciation for the launch of Tanya Marlo, expressing hope that more people would not be fooled by HIV/AIDS myths.",https://www.thejakartapost.com/life/2019/01/22/curious-about-hivaids-just-ask-marlo.html
Discrimination against children with HIV/AIDS evidence of ‘systemic failure’: Advocates,Regional health agencies only handle HIV/AIDS from a health perspective.,['The Jakarta Post'],2019-02-19,The Jakarta Post,"The Indonesia AIDS Coalition (IAC) has urged the government to establish a special working unit to increase public awareness about HIV/AIDS following recent cases in Surakarta, Central Java, and Samosir Regency, North Sumatra, of students living with HIV/AIDS being prevented from attending school following complaints from parents of other students. Earlier this month in Surakarta, 14 students of Purwotomo 74 public elementary school, who were identified as HIV positive, were transferred to special schools after protests from parents of other students. Parents and guardians of other students allegedly told the school’s management they would transfer their children to another school if the school’s management allowed the students with HIV to continue attending. The schools principal said he was of the view that every child had the right to education. However, he said he did not have a choice and was forced to transfer the students, who were studying in the first through to fourth grades. Read also: We had no choice: Surakarta school expels students with HIV/AIDS A similar case also occurred in Samosir regency in October last year, in which three HIV-positive orphans were not allowed to attend Welipa kindergarten and Nainggolan public elementary school by locals who feared they might get infected with the virus. They were also threatened with exile from the regency. However, after mediation involving school management, the local community and the regency administration, it was suggested that the children be homeschooled. Read also: Residents tell HIV-positive orphans to leave Samosir “This is very tragic and a systemic failure,” Aditya Wardhana, the executive director of the Indonesia AIDS Coalition (IAC), told The Jakarta Post on Monday. He said the government had caused a “setback” by terminating the National AIDS Commission (KPAN), which had representative offices across the country and had operated for more than 10 years, in 2017 following 2016’s Presidential Regulation on the commission for AIDS prevention signed by President Joko “Jokowi” Widodo. AIDS control and prevention has been handled by regional health agencies ever since. “The agencies only handle HIV/AIDS from a health perspective. However, it must involve other aspects, such as social, economic and even the psychological aspects of each person infected with the virus,” Aditya said. He also said it was difficult for health agencies to intervene in school decisions because that required coordination with local education agencies. “The President should establish a special cross-ministerial working unit only for this issue in a bid to prevent this form of discrimination against children with HIV/AIDS in schools,” he said. Meanwhile, Indonesian Child Protection Commission (KPAI) commissioner Jasra Putra urged the mayors or regents involved to find a solution to discrimination against children with HIV/AIDS because the primary and elementary school were under their supervision. “They need to instill the school stakeholders, including teachers and heads of the schools, with the same perception regarding this issue,” he told the Post. Jasra said further that parents must also be made aware of the issue so they would not interfere or provoke school managements to expel students infected with the virus. “This concern will keep coming up if local governments do not help them to understand,"" he said. According to Jasra, each of the student’s health should be confirmed. “By doing this, they can prevent the HIV positive children from being isolated from their friends,” he added. Director of elementary school development at the Education and Culture Ministry, Khamim, stressed that each child must get an education. Both the health and education agencies in municipalities across the country have conducted campaigns about HIV/AIDS prevention, however, parents remain worried about their children being infected by their friends with HIV/AIDS. “Health agencies informed the parents that the children would not transmit their viruses to their children, but the parents wanted the infected children out of the school,” he told the Post. (das)",{},"['infected', 'parents', 'hivaids', 'evidence', 'discrimination', 'children', 'school', 'systemic', 'education', 'advocates', 'health', 'schools', 'failure', 'students', 'aids']","“The President should establish a special cross-ministerial working unit only for this issue in a bid to prevent this form of discrimination against children with HIV/AIDS in schools,” he said. According to Jasra, each of the student’s health should be confirmed. Director of elementary school development at the Education and Culture Ministry, Khamim, stressed that each child must get an education. Both the health and education agencies in municipalities across the country have conducted campaigns about HIV/AIDS prevention, however, parents remain worried about their children being infected by their friends with HIV/AIDS. “Health agencies informed the parents that the children would not transmit their viruses to their children, but the parents wanted the infected children out of the school,” he told the Post.",https://www.thejakartapost.com/news/2019/02/19/discrimination-against-children-with-hivaids-evidence-of-systemic-failure-advocates.html
HIV patient's remission spurs hope for curing AIDS-causing virus,"A stem-cell treatment put a London patient’s HIV into remission, marking the second such reported case and reinvigorating efforts to cure the AIDS-causing infection that afflicts some 37 million people globally.",['The Jakarta Post'],2019-03-05,The Jakarta Post,"A stem-cell treatment put a London patient’s HIV into remission, marking the second such reported case and reinvigorating efforts to cure the AIDS-causing infection that afflicts some 37 million people globally. The patient has been in remission for 18 months. That’s too soon to label the treatment -- which used hematopoietic stem cells from a donor with two copies of an HIV-resistance gene -- as a cure, researchers said Tuesday in a study in the journal Nature. Hematopoietic stem cells give rise to other blood cells. An embargo on the paper was lifted due to early reporting of the finding. The New York Times said Monday that the latest surprise success confirms that a cure for HIV infection is possible. Leukemia patient Timothy Brown, who became known as the “Berlin patient,” was treated aggressively 10 years ago in an HIV-curing approach that hasn’t been successfully repeated until Ravindra Gupta at England’s University of Cambridge and colleagues showed the effectiveness of a less aggressive form of treatment. The latest case was in an HIV-positive patient with advanced Hodgkin’s lymphoma who received a transplant of hematopoietic stem cells from a donor with two copies of the so-called CCR5 gene mutation -- the same one allegedly edited by He Jiankui that led to the birth of the world’s first gene-edited babies last year. “Coming 10 years after the successful report of the ‘Berlin Patient,’ this new case confirms that bone marrow transplantation from a CCR5-negative donor can eliminate residual virus and stop any traces of virus from rebounding,” said Sharon Lewin, director of the Peter Doherty Institute for Infection and Immunity at the University of Melbourne, in a statement. Scalable approach The London patient has no detectable HIV virus, Gupta and colleagues said. “We speculate that CCR5 gene therapy strategies using stem cells could conceivably be a scalable approach to remission,” they said. Scientists at IciStem, a consortium of European scientists researching use of stem cell transplants to treat the illness, say the London patient received a bone-marrow transplant in 2016 and was given immunosuppresive drugs. He stopped taking his HIV medication in September of 2017. There are important limitations to applying the findings of the London patient to a HIV cure, said Anthony Kelleher, director of the Kirby Institute at the University of New South Wales in Sydney. Still, the London case shows that “HIV cures are possible,” he said. Read also: Curious about HIV/AIDS? Just Ask Marlo Gene editing “Common to both approaches is the presence of a modified gene in our immune system -- CCR5 -- that is necessary for HIV infection,” Kelleher said in a statement. “This tells us that the feasibility, and importantly, the availability of delivering this approach could possibly be achieved by the rapidly accelerating field of gene editing and related gene therapies.” Since the beginning of the AIDS epidemic, more than 70 million people have been infected with HIV and about 35 million people have died because of complications from the viral illness. Worldwide, an estimated 36.9 million people were living with HIV at the end of 2017. Progress against AIDS over the past 15 years has inspired a commitment by United Nations member states to end the epidemic by 2030. The number of people newly infected with HIV fell to 1.8 million worldwide in 2017, from more than 3 million a year through most of the 1990s. Researchers are developing better antiretroviral treatments, prevention methods, and vaccines to halt infections while continuing to pursue a cure for those already infected. That goal is “likely to be many years away,” said Andrew Freedman, reader in infectious diseases and an honorary consultant physician at Cardiff University. “Until then, the emphasis needs to remain on prompt diagnosis of HIV and initiation of life-long combination antiretroviral therapy,” Freedman said in a statement.",{},"['virus', 'stem', 'aidscausing', 'hiv', 'patients', 'million', 'gene', 'spurs', 'remission', 'curing', 'london', 'infection', 'cells', 'case', 'hope', 'patient', 'cure']","Hematopoietic stem cells give rise to other blood cells. The New York Times said Monday that the latest surprise success confirms that a cure for HIV infection is possible. 'Scalable approach'The London patient has no detectable HIV virus, Gupta and colleagues said. “We speculate that CCR5 gene therapy strategies using stem cells could conceivably be a scalable approach to remission,” they said. Still, the London case shows that “HIV cures are possible,” he said.",https://www.thejakartapost.com/life/2019/03/05/hiv-patients-remission-spurs-hope-for-curing-aids-causing-virus.html
'We had no choice': Surakarta school expels students with HIV/AIDS,"Purwotomo 74 public elementary school in Surakarta, Central Java, expelled 14 students identified as positive for HIV/AIDS amid protests from parents of other students.",['The Jakarta Post'],2019-02-08,The Jakarta Post,"Purwotomo 74 public elementary school in Surakarta, Central Java, expelled 14 students identified as positive for HIV/AIDS amid protests from parents of other students. Parents and guardians of other students allegedly threatened the school management that they would transfer their children to another school should the school management not heed their warning. School principal Karwi confirmed the report, saying, “We had no choice. We accepted the students because everyone has the right to education [..] until this wave of protests started to come in.” The parents heard about the presence of students with HIV/AIDS from a parents-teachers meeting in early January, during which they immediately expressed their concerns. The 14 students, who have been assisted by non-profit organization Lentera Foundation, come from different year groups. Lentera Foundation founder Puger Mulyono said he understood the parents’ concerns, noting that he had faced such rejection often. “We’ll deal with this. We’ll wait for the parents’ letter and recommendation from the education agency to transfer these students,” he said. Surakarta Education Agency Etty Retnowati said the agency had found a school that would accept the students. “The most important thing is they can continue their studies. We’ll always find solutions,” she said. Chairman of the Child Protection Commission’s Surakarta chapter Tommy Prawoto lamented the rejection, emphasizing the need for a long-term solution. “Dissemination of information [on HIV/AIDS] should be intensified,” he said. (swd)",{},"['parents', 'surakarta', 'hivaids', 'choice', 'protests', 'rejection', 'transfer', 'school', 'education', 'agency', 'students', 'expels']","Purwotomo 74 public elementary school in Surakarta, Central Java, expelled 14 students identified as positive for HIV/AIDS amid protests from parents of other students. Parents and guardians of other students allegedly threatened the school management that they would transfer their children to another school should the school management not heed their warning. We’ll wait for the parents’ letter and recommendation from the education agency to transfer these students,” he said. Surakarta Education Agency Etty Retnowati said the agency had found a school that would accept the students. Chairman of the Child Protection Commission’s Surakarta chapter Tommy Prawoto lamented the rejection, emphasizing the need for a long-term solution.",https://www.thejakartapost.com/news/2019/02/08/surakarta-school-expels-students-with-hivaids.html
"Data of 14,200 HIV positive people leaked in Singapore","An American convicted of numerous crimes is believed to have leaked the information after obtaining it from his partner, a Singaporean doctor with access to the HIV registry, the ministry of health said.",['The Jakarta Post'],2019-01-29,The Jakarta Post,"Confidential data of 14,200 people diagnosed with HIV, mostly foreigners, has been stolen and leaked online in Singapore, authorities said Monday, the second massive data breach in the city-state within months. An American convicted of numerous crimes is believed to have leaked the information after obtaining it from his partner, a Singaporean doctor with access to the HIV registry, the ministry of health said. It comes after the health records of 1.5 million Singaporeans, including Prime Minister Lee Hsien Loong, were stolen in a suspected state-sponsored attack in June and July, the countrys biggest ever data breach. ""Confidential information regarding 14,200 individuals diagnosed with HIV up to January 2013, and 2,400 of their contacts, is in the possession of an unauthorised person,"" the ministry said in a statement. ""The information has been illegally disclosed online... We are sorry for the anxiety and distress caused by this incident."" The information includes names, identification numbers, contact details, HIV test results and other medical information. Access to the information has been blocked but it is still in the possession of the person who leaked it -- and could be disclosed again, the ministry warned. Those affected are 5,400 Singaporeans diagnosed with HIV up to January 2013, and 8,800 foreigners diagnosed with HIV up to December 2011. Singapore, an affluent city-state of 5.6 million people, is home to many expatriates. The health ministry was notified by police last week that confidential information from the HIV registry may have been disclosed. The data is in the possession of Mikhy K. Farrera Brochez, a male US citizen who lived in Singapore from 2008 to 2016, the ministry said. He was convicted of fraud and drug-related offences in March 2017, and was deported from Singapore after completing his sentence. He is not currently in the city-state, the ministry said, adding that authorities were seeking assistance from their foreign counterparts. Brochez was the partner of Ler Teck Siang, a male Singaporean doctor, who had access to the HIV registry for his work. He was convicted in September of abetting Brochez in criminal activity, and sentenced to 24 months imprisonment. He is appealing. Earlier this month, an official inquiry into last years breach highlighted a litany of failings, including weaknesses in computer systems, and said authorities believed a state was likely behind the attack.",{},"['14200', 'data', 'positive', 'leaked', 'singapore', 'hiv', 'information', 'diagnosed', 'possession', 'health', 'ministry', 'registry']","Confidential data of 14,200 people diagnosed with HIV, mostly foreigners, has been stolen and leaked online in Singapore, authorities said Monday, the second massive data breach in the city-state within months. An American convicted of numerous crimes is believed to have leaked the information after obtaining it from his partner, a Singaporean doctor with access to the HIV registry, the ministry of health said. Those affected are 5,400 Singaporeans diagnosed with HIV up to January 2013, and 8,800 foreigners diagnosed with HIV up to December 2011. The health ministry was notified by police last week that confidential information from the HIV registry may have been disclosed. Brochez was the partner of Ler Teck Siang, a male Singaporean doctor, who had access to the HIV registry for his work.",https://www.thejakartapost.com/seasia/2019/01/29/data-of-14200-hiv-positive-people-leaked-in-singapore.html
Education key to preventing HIV/AIDS among housewives,The Health Ministry's data suggests that housewives are more vulnerable to the risk of HIV transmission than sex workers.,['The Jakarta Post'],2019-04-23,The Jakarta Post,"With the Health Ministrys data showing that housewives are the group most vulnerable to HIV/AIDS in Indonesia, a female reproductive health forum has said that educating women on reproductive health rights and fighting the stigma against people living with HIV/AIDS (PLWHA) are key to prevention. The ministry’s data shows that 14,721 of the 102,667 PLWHA recorded between 1987 and 2017 were housewives. The figure is higher than the 3,314 sex workers with HIV/AIDS. Housewives were at risk of HIV transmission from their husbands due to their lack of knowledge in reproductive health rights, said Hartini, an activist of the Indonesian Positive Women Network (IPPI) who is HIV-positive. Hartini was infected with HIV by her former husband. By the time she was diagnosed in 2008, she was already in clinical stage 4 of H...",{},"['hartini', 'hivaids', 'preventing', 'hiv', 'education', 'housewives', 'health', 'women', 'plwha', 'reproductive', 'key', 'ministrys', 'rights']","With the Health Ministry's data showing that housewives are the group most vulnerable to HIV/AIDS in Indonesia, a female reproductive health forum has said that educating women on reproductive health rights and fighting the stigma against people living with HIV/AIDS (PLWHA) are key to prevention. The ministry’s data shows that 14,721 of the 102,667 PLWHA recorded between 1987 and 2017 were housewives. The figure is higher than the 3,314 sex workers with HIV/AIDS. Housewives were at risk of HIV transmission from their husbands due to their lack of knowledge in reproductive health rights, said Hartini, an activist of the Indonesian Positive Women Network (IPPI) who is HIV-positive. By the time she was diagnosed in 2008, she was already in clinical stage 4 of H...",https://www.thejakartapost.com/news/2019/04/23/education-key-to-preventing-hivaids-among-housewives.html
'Our lives are at stake': People with HIV/AIDS face drugs scarcity,"HIV/AIDS treatment currently has the second biggest budget allocation from the ministry, after the allocation for vaccine procurement.",['The Jakarta Post'],2019-01-12,The Jakarta Post,"Indonesia Positive Women Association (IPPI) national coordinator Baby Rivola’s cell phone has been buzzing day and night over the past two weeks. Women, mostly mothers with human immunodeficiency virus infection and acquired immune deficiency syndrome (HIV/AIDS) from across the archipelago, have been telling her about their concerns after they heard that the nation was running out of a fixed-dose combination (FDC) antiretroviral drug (ARV), a tablet containing tenofovir, lamivudine and efavirenz (TLE). “Most of them have used FDC for years. But they said hospitals in their respective regions had ran out of FDC months ago and they had to start using single doses of those three drugs instead of the FDC,” Baby said on Thursday. The women were worried about their condition without the drug. They were also wondering about their treatment. “It is important for the mothers to take the pill regularly not only to save their lives but also to prevent the virus from infecting others,” she said. Taking TLE regularly is deemed the most effective treatment to reduce the HIV viral load in the body to an undetectable level. However, the tender to procure the drug recently fell through after the government and state-owned pharmaceutical companies PT Kimia Farma and PT Indofarma, the authorized producers of the drug in the country, disagreed on the pricing. TLE is the most used drug among people with HIV/AIDS in Indonesia. Around 48,000 people, or 42 percent of people with HIV/AIDS, rely on TLE. Aditya Wardhana, the executive director of the Indonesia AIDS Coalition (IAC), said even though the government had made an emergency procurement financed by the Global Fund to Fight AIDS, the current supply of TLE would only last until April at most. “Honestly, we can die in less than a year if we do not take the drug. Our lives are at stake. What should I say to my children, because I really don’t know whether I’ll still be around them by the end of the year,” she said. The nation has pledged to reach the 90-90-90 target in 2027; 90 percent of people with HIV/AIDS will be aware of their HIV status, 90 percent of them get ARV treatment, and 90 percent of them have their viral load suppressed. The budget allocated for ARV treatment has also increased every year. In 2017, the Health Ministry allocated Rp 1.19 billion (US$84,673) to fund ARV treatment for 112,054 people with HIV. The allocation increased from Rp 243 million in 2015, and is predicted to reach 1.8 trillion by 2020. HIV/AIDS treatment currently has the second biggest budget allocation from the ministry, after the allocation for vaccine procurement. While lauding the government’s commitment to HIV/AIDS treatment, Aditya of the IAC said the nation “should not spend that much money on ARV treatment” because based on the coalition’s survey, the drugs could be purchased almost 400 hundred percent cheaper outside Indonesia. “Compared to other countries in the world, ARV in Indonesia is the most expensive one,” Aditya said, adding that he hoped Kimia Farma and Indofarma, as state-owned pharmaceutical companies, were not only seeking profit. “Even for a reasonable profit they could sell it for Rp 175,000 but instead they sell it at around Rp 400,000 per bottle. It is too expensive. One bottle only lasts for a month, so imagine how much money must be spent for that in a year for every person,” he said. The coalition also encouraged President Joko “Jokowi” Widodo to immediately call on related ministries to help with the negotiation. When asked about the IAC’s view on the price of ARV, Kimia Farma president director, Honesti Basyir, said he “never heard about that statement and do not know how did the IAC compared the price with other countries”. “We always make our best effort to support the government program, as long as we are able to do it [..] since 2005, Kimia Farma has provided ARV for people living with HIV, even though the population of people taking ARV remains very small,” he said. The ministry’s director general for pharmacy and medical equipment, Engko Sosialine Magdalene, admitted that the tender had failed and explained that the price of locally produced ARV was higher in Indonesia as a result of the additional costs to produce the medicine. “We have to consider many costs, such as the import tax as well as cargo and transportation fees. When they [IAC] calculate the price, they should add these costs into their calculation as well,” Engko told The Jakarta Post on Thursday. Engko also said the country had enough ARV supplies for the next 10 months. According to Engko, people with HIV/AIDS can still take fixed-dose drugs until this April and continue their medication with a single-tablet regimen as an alternative. Data from the Health Ministry show that over 2 million Indonesians have taken an HIV test. Of those, 314,143 were declared positive, with 212,240 having started ARV therapy since 2018. This article was originally published in The Jakarta Posts print edition on Jan. 12, 2019, with the title ""People with HIV/AIDS at risk after drug tender falls through"".",{},"['rp', 'hivaids', 'arv', 'treatment', 'hiv', 'stake', 'drug', 'drugs', 'indonesia', 'iac', 'face', 'kimia', 'scarcity', 'lives', 'price']","TLE is the most used drug among people with HIV/AIDS in Indonesia. The budget allocated for ARV treatment has also increased every year. In 2017, the Health Ministry allocated Rp 1.19 billion (US$84,673) to fund ARV treatment for 112,054 people with HIV. HIV/AIDS treatment currently has the second biggest budget allocation from the ministry, after the allocation for vaccine procurement. According to Engko, people with HIV/AIDS can still take fixed-dose drugs until this April and continue their medication with a single-tablet regimen as an alternative.",https://www.thejakartapost.com/news/2019/01/12/our-lives-are-at-stake-people-with-hivaids-face-drugs-scarcity.html
"Students with HIV/AIDS should be allowed back to school, C. Java governor says",The 14 students haven't gone to school for a week.,['The Jakarta Post'],2019-02-18,The Jakarta Post,"Central Java Governor Ganjar Pranowo has responded to the recent expulsion of 14 elementary school students with HIV/AIDS in Surakarta, Central Java, calling on the relevant authorities to ensure the immediate re-enrollment of the students. The Indonesia Democratic Party of Struggle (PDI-P) politician wants every related party, especially the Surakarta administration, to immediately provide assistance to the students. “All citizens have the right to a good education. Children with HIV/AIDS should not be discriminated against,” he said in Semarang, Central Java, over the weekend. He also encouraged the parents of the expelled students to meet with Surakarta Mayor FX Hadi Rudyatmo immediately, adding that the expulsion was probably a result of a lack of awareness among parents of other students. “I want the parents who refused to have their children sit down in the classroom with the students with HIV/AIDS to have a discussion. They have to be given an explanation about what HIV/AIDS is, how it can be transmitted, and how to talk with them and so on,” Ganjar said. He also called on members of the public to refrain from being prejudice and acting in discriminatory ways against people and children with HIV/AIDS. “They should not be isolated. They need to be accompanied. Why exile people with an illness?” he said. Previously, it was reported that 14 children were expelled from Purwotomo 74 state elementary school in Surakarta following pressure on the school’s management by parents of other students. Read also: We had no choice: Surakarta school expels students with HIV/AIDS The students had been enrolled in the school from the beginning of the year, but were forced to stop attending because of the protests. The school’s management claimed it had no other choice. The 14 students, who have not attended school for a week, are currently being given assistance by the Lentera Foundation. Surakarta Mayor FX Hadi Rudyatmo said he hoped a solution would be found by the end of the week. “Homeschooling was thought of as an option but that would be unfair. I hope they will be accepted in other schools,” he said. (gis/swd)",{},"['java', 'surakarta', 'hivaids', 'parents', 'allowed', 'children', 'school', 'central', 'governor', '14', 'schools', 'c', 'students']","Central Java Governor Ganjar Pranowo has responded to the recent expulsion of 14 elementary school students with HIV/AIDS in Surakarta, Central Java, calling on the relevant authorities to ensure the immediate re-enrollment of the students. Children with HIV/AIDS should not be discriminated against,” he said in Semarang, Central Java, over the weekend. “I want the parents who refused to have their children sit down in the classroom with the students with HIV/AIDS to have a discussion. Read also: 'We had no choice': Surakarta school expels students with HIV/AIDSThe students had been enrolled in the school from the beginning of the year, but were forced to stop attending because of the protests. The 14 students, who have not attended school for a week, are currently being given assistance by the Lentera Foundation.",https://www.thejakartapost.com/news/2019/02/18/students-with-hivaids-should-be-allowed-back-to-school-c-java-governor-says.html
Hashtag HIV-AIDS,,['The Jakarta Post'],None,,"TheJakartaPost Please Update your browser Your browser is out of date, and may not be compatible with our website. A list of the most popular web browsers can be found below. Just click on the icons to get to the download page.",{},"['icons', 'web', 'date', 'hivaids', 'page', 'thejakartapostplease', 'list', 'update', 'popular', 'hashtag', 'website', 'download']","TheJakartaPostPlease Update your browserYour browser is out of date, and may not be compatible with our website. A list of the most popular web browsers can be found below. Just click on the icons to get to the download page.",https://www.thejakartapost.com/hashtag/HIV-AIDS
The Jakarta Post,,['The Jakarta Post'],None,,"TheJakartaPost Please Update your browser Your browser is out of date, and may not be compatible with our website. A list of the most popular web browsers can be found below. Just click on the icons to get to the download page.",{},"['jakarta', 'icons', 'web', 'date', 'page', 'thejakartapostplease', 'list', 'update', 'popular', 'website', 'post', 'download']","TheJakartaPostPlease Update your browserYour browser is out of date, and may not be compatible with our website. A list of the most popular web browsers can be found below. Just click on the icons to get to the download page.",https://www.thejakartapost.com/tag/HIV-AIDS
