Headlines,Descriptions,Authors,Published_Dates,Publication,Articles,category,Keywords,Summaries,Source_URLs
Cannes 2019: Priyanka Chopra dons an elegant white outfit for a screening of a documentary on HIV,Priyanka Chopra made a stunning debut appearance at Cannes Film Festival 2019 in a black ensemble. The international sensation looked great in a shimm,,16-05-2019,The Times of India,"The printed shirt, cool glasses, and the smile! Prithviraj Sukumaran is all swag in the first look poster of Brothers Day!",{},"['swag', 'priyanka', 'shirt', 'prithviraj', 'cannes', 'white', 'poster', 'elegant', 'outfit', 'hiv', 'chopra', 'smile', 'sukumaran', 'look', 'glasses', 'printed', 'day', 'documentary', 'screening', 'dons']","The printed shirt, cool glasses, and the smile! Prithviraj Sukumaran is all swag in the first look poster of 'Brother's Day'!",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/cannes-2019-priyanka-chopra-dons-an-elegant-white-outfit-for-a-screening-of-a-documentary-on-hiv/articleshow/69365475.cms
Mumbai's civic hospital doctors operate on HIV-TB patient,"MUMBAI: In a rare feat in a public hospital, a 50-year-old patient with dual infection of drug-resistant pulmonary tuberculosis and HIV was operated a.",Tnn,16-05-2019,The Times of India,"MUMBAI: In a rare feat in a public hospital, a 50-year-old patient with dual infection of drug-resistant pulmonary tuberculosis and HIV was operated at civic-run TB Hospital in Sewri on Friday. HIV and TB, both highly infectious, need special arrangements and the use of extra disposable material that add to the cost of surgery in the private sector. This is the second time a patient with HIV and TB was operated at the hospital. Our honorary surgeons regularly operate on TB patients, but such a supra-major surgery is rare, said Dr Lalit Anande, medical superintendent of the hospital. Surgery on the earlier co-infection patient was done over three years back. The present patient, on anti-retroviral therapy for HIV\AIDS since 2009, was diagnosed with multi-drug resistant TB in October 2018. He came with severe breathing difficulty about 10 days back, said Dr Anande. Doctors realized the TB infection affected his respiratory system so severely that only an operation could provide immediate relief. The surgical team performed decortication, a medical procedure involving surgical removal of the surface layer covering of an organ. The procedure is usually performed when the lung is covered by a thick, inelastic pleural peel restricting lung expansion. The lungs are covered by a thin membrane called pleura that is thinner than tissue paper. The TB infection makes this pleura thicker, said cardiothroracic and vascular surgeon Dr Amol Bhanushali, who was in the team that operated on the patient. Dr Amol Bhanusali said the patients pleura had became thick with consistency of curd, preventing the lungs from expanding during breathing. It took us three hours to open up his chest and remove the pleura, he added. The patients lungs were not severely affected by the TB bacterium and medicines should now help him recover. The patient is recovering and had his meals on Monday but as his immune system is weak, he will need 15 more days of hospitalization, said Dr Anande. TB activist Ganesh Acharya said this was a positive development as many patients with HIV-MDR TB co-infection find it difficult to access healthcare. Surgery is an option for patients in whom recovery with drugs alone is not possible. The government must provide modern operating theatres so doctors can operate on such patients safely, he added. Download The Times of India News App for Latest City .Make sense of the 2019 Lok Sabha elections and results on May 23 with TOI. Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results, the big trends and fastest updates on counting day with India's largest news network.#ElectionsWithTimes PreviousElection Data HubPoll Fantasy GameTOI Campaign TrackerData StoriesPoll ShotsOpinion Next",{},"['operated', 'surgery', 'tb', 'lungs', 'hivtb', 'infection', 'operate', 'mumbais', 'dr', 'doctors', 'civic', 'pleura', 'patient', 'patients', 'hospital']","MUMBAI: In a rare feat in a public hospital, a 50-year-old patient with dual infection of drug-resistant pulmonary tuberculosis and HIV was operated at civic-run TB Hospital in Sewri on Friday. “Our honorary surgeons regularly operate on TB patients, but such a supra-major surgery is rare,’’ said Dr Lalit Anande, medical superintendent of the hospital. “He came with severe breathing difficulty about 10 days back,’’ said Dr Anande.Doctors realized the TB infection affected his respiratory system so severely that only an operation could provide immediate relief. The patient’s lungs were not severely affected by the TB bacterium and medicines should now help him recover. The government must provide modern operating theatres so doctors can operate on such patients safely,’’ he added.",https://timesofindia.indiatimes.com/city/mumbai/mumbais-civic-hospital-doctors-operate-on-hiv-tb-patient/articleshow/69316392.cms
New HIV infections reduce by 37% in Rajasthan,JAIPUR: Efforts to reduce new HIV infections in the state have started showing results.,,16-05-2019,The Times of India,"JAIPUR: Efforts to reduce new HIV infections in the state have started showing results. A report issued by National Aids Control Organisation (NACO) shows that there is a decline of 37% in new HIV infections from the baseline values of 2010. In the country, from 2010 to 2017 new infections have declined by only 27%. Since Rajasthan is vulnerable to HIV as it has high migratory population. Over the past few years, the state is conducting voluntary screening of migratory population in the state by organising camps during festivals. People from Rajasthan who go to other states for work return during festivals. It is voluntary screening of migratory population. We aim to prevent others from being infected by organising such camps. During camps, there were small percentage of people who come to know that they have HIV infection. The percentage of HIV infected people has reduced to 0.1%. We are taking more measures to bring it down further, said Dr RP Doria, director AIDS, health department. According to the India HIV Estimations 2017, a report by NACO, shows, the prevalence of HIV (15-49 years) in the state in 0.1%, which was 0.16% percent in 2015. The report says, with 9,324 new HIV infections in 2017, Telangana contributes maximum (11%) to total new infections in the country. Bihar was the next contributing 10% of total new HIV infections followed by West Bengal (10%), Uttar Pradesh (8%), Andhra Pradesh (7%), Maharashtra (7%), Karnataka (6%) and Gujarat (5%). Together, these 8 States contribute almost two thirds of country annual new HIV infections. However, Rajasthan contributes just 3% of countrys annual new HIV infections. The report further says, Reducing the new HIV infections by 75% from the baseline value of 2010 is an integral component of the 2020 Fast track targets. India is estimated to have had around 22,677 HIV-positive women who gave birth in 2017 and needed prophylaxis for prevention of mother-to-child transmission (PMTCT) of HIV. State-wise, the PMTCT need was highest in Maharashtra followed by Uttar Pradesh, Bihar, Andhra Pradesh, Karnataka, Telangana, West Bengal, Gujarat, Tamil Nadu and Rajasthan. Together, these 10 States contribute almost three fourth of the total PMTCT need in the country. Download The Times of India News App for Latest City .Make sense of the 2019 Lok Sabha elections and results on May 23 with TOI. Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results, the big trends and fastest updates on counting day with India's largest news network.#ElectionsWithTimes PreviousElection Data HubPoll Fantasy GameTOI Campaign TrackerData StoriesPoll ShotsOpinion Next",{},"['rajasthan', 'state', 'track', 'total', '37', 'country', 'hiv', 'report', 'infections', 'pradesh', '2017', 'reduce']","JAIPUR: Efforts to reduce new HIV infections in the state have started showing results. A report issued by National Aids Control Organisation (NACO) shows that there is a decline of 37% in new HIV infections from the baseline values of 2010. In the country, from 2010 to 2017 new infections have declined by only 27%.Since Rajasthan is vulnerable to HIV as it has high migratory population. Bihar was the next contributing 10% of total new HIV infections followed by West Bengal (10%), Uttar Pradesh (8%), Andhra Pradesh (7%), Maharashtra (7%), Karnataka (6%) and Gujarat (5%). Together, these 8 States contribute almost two thirds of country annual new HIV infections.",https://timesofindia.indiatimes.com/city/jaipur/new-hiv-infections-reduce-by-37-in-raj/articleshow/68769501.cms
Pakistan police arrest doctor after 90 infected by HIV syringe,"Pakistan News: At least 90 people, including 65 children, are believed to have been infected with the HIV virus in Pakistan by a doctor using a contaminated syringe.",Afp,16-05-2019,The Times of India,"KARACHI: At least 90 people, including 65 children, are believed to have been infected with the HIV virus in Pakistan by a doctor using a contaminated syringe, officials said Friday. ""We have arrested a doctor after receiving complaints from the health authorities,"" said Kamran Nawaz, the local police chief heading the case in the southern city of Larkana. ""We are told that the doctor also has HIV,"" he said. Authorities were first alerted last week after 18 children from a town on the outskirts of the city tested positive for the virus, which causes AIDS, prompting health officials to carry out wider screenings. Dozens more infections were found. ""More than 90 people have tested HIV positive and the number of children is around 65,"" Dr Abdul Rehaman, a district health official in Larkana, told AFP. A second official confirmed the outbreak, although gave slightly different figures. Authorities said they traced the outbreak to a single doctor, who appears to have been using a contaminated syringe on patients. Azra Pechuho, Sindh province's health minister, confirmed his arrest. ""The blood of the parents of the infected children was also tested, but their results were negative,"" Pechuho added. Officials have since launched an even larger testing and education drive. Pakistan is considered a low prevalence country for HIV, but the disease is expanding  mostly among intravenous drug users, sex workers and migrant labourers returning from the Gulf. Download The Times of India News App for Latest World News.Make sense of the 2019 Lok Sabha elections and results on May 23 with TOI. Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results, the big trends and fastest updates on counting day with India's largest news network.#ElectionsWithTimes PreviousElection Data HubPoll Fantasy GameTOI Campaign TrackerData StoriesPoll ShotsOpinion Next",{},"['arrest', 'track', 'virus', 'doctor', 'hiv', '90', 'updates', 'infected', 'tested', 'using', 'syringe', 'health', 'results', 'children', 'pakistan']","Representative imageMake sense of the 2019 Lok Sabha elections and results on May 23 with TOI. Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results , the big trends and fastest updates on counting day with India's largest news network. KARACHI: At least 90 people, including 65 children, are believed to have been infected with the HIV virus in Pakistan by a doctor using a contaminated syringe, officials said Friday. ""We have arrested a doctor after receiving complaints from the health authorities,"" said Kamran Nawaz, the local police chief heading the case in the southern city of Larkana.",https://timesofindia.indiatimes.com/world/pakistan/pakistan-police-arrest-doctor-after-90-infected-by-hiv-syringe/articleshow/69158324.cms
Head of embattled UNAIDS to leave post immediately,"Rest of World News: UNAIDS said Michel Sidibe will become health minister in his native Mali ""with immediate effect."" He will be replaced by his Swedish deputy, Gunilla C",Ap,16-05-2019,The Times of India,"GENEVA: The UN AIDS agency says its executive director is leaving the post immediately, following allegations he mishandled sexual assault claims at the agency. UNAIDS said Michel Sidibe will become health minister in his native Mali ""with immediate effect."" He will be replaced by his Swedish deputy, Gunilla Carlsson, on a temporary basis. Sidibe had already been set to leave the post in June, six months before the scheduled end to his tenure. He announced the early exit after an internal investigation made public late last year faulted ""defective leadership"" at UNAIDS. He has led the agency since 2009. Wednesday's announcement follows allegations by whistleblower Marina Brostrom that Sidibe mishandled her claims of sexual assault by Luis Loures, a former top UNAIDS official. Loures has denied the allegations. Download The Times of India News App for Latest World News.Make sense of the 2019 Lok Sabha elections and results on May 23 with TOI. Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results, the big trends and fastest updates on counting day with India's largest news network.#ElectionsWithTimes PreviousElection Data HubPoll Fantasy GameTOI Campaign TrackerData StoriesPoll ShotsOpinion Next",{},"['sidibe', 'track', 'leave', 'immediately', 'head', 'post', 'mishandled', 'live', 'embattled', 'allegations', 'unaids', 'results', 'updates', 'sexual']","Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results , the big trends and fastest updates on counting day with India's largest news network. GENEVA: The UN AIDS agency says its executive director is leaving the post immediately, following allegations he mishandled sexual assault claims at the agency.UNAIDS said Michel Sidibe will become health minister in his native Mali ""with immediate effect."" He announced the early exit after an internal investigation made public late last year faulted ""defective leadership"" at UNAIDS. He has led the agency since 2009.Wednesday's announcement follows allegations by whistleblower Marina Brostrom that Sidibe mishandled her claims of sexual assault by Luis Loures , a former top UNAIDS official.Loures has denied the allegations.",https://timesofindia.indiatimes.com/world/rest-of-world/head-of-embattled-unaids-to-leave-post-immediately/articleshow/69237864.cms
Advocacy event held for HIV patients,"To make people with HIV aware about the importance of nutritional food and hygienic life style, an advocacy programme was organised by the Chandigarh",Times News Network,16-05-2019,The Times of India,"CHANDIGARH: Good nutrition is important for all, but for people with HIV, good nutrition support helps them in maintaining the immune system and a healthy physique. To make people with HIV aware about the importance of nutritional food and hygienic life style, an advocacy programme was organised by the Chandigarh State AIDS Control Society in collaboration with the Inner Wheel Club Chandigarh Midtown.About 70 patients attended the awareness programme along with their spouses. Kund Bala Goyal, president of the club, distributed nutritional food to the participants. Nirmal Singh, counsellor, PGI, spoke on the importance of regular follow ups of art medicines. Download The Times of India News App for Latest City .Make sense of the 2019 Lok Sabha elections and results on May 23 with TOI. Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results, the big trends and fastest updates on counting day with India's largest news network.#ElectionsWithTimes PreviousElection Data HubPoll Fantasy GameTOI Campaign TrackerData StoriesPoll ShotsOpinion Next",{},"['programme', 'food', 'track', 'event', 'held', 'hiv', 'importance', 'live', 'advocacy', 'nutrition', 'patients', 'nutritional', 'results', 'updates']","To make people with HIV aware about the importance of nutritional food and hygienic life styleDownload The Times of India News App for Latest CityMake sense of the 2019 Lok Sabha elections and results on May 23 with TOI. Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results , the big trends and fastest updates on counting day with India's largest news network. About 70 patients attended the awareness programme along with their spouses. Kund Bala Goyal, president of the club, distributed nutritional food to the participants.",https://timesofindia.indiatimes.com/city/chandigarh/advocacy-event-held-for-hiv-patients/articleshow/69087653.cms
Madras high court sets free HIV+ man convicted for fraud,The petitioner was working as secretary-in-charge of the Primary Agricultural Co-operative Bank in 1991.,Tnn,16-05-2019,The Times of India,"CHENNAI: The Madras high court has granted liberty to a man who was convicted and sentenced to one month of imprisonment for swindling public money from a co-operative bank as he was found to be HIV+ and was at the fag end of his life. ""I am of the view that the punishment of imprisonment has to be modified due to the nature of the disease and the sufferings of the petitioner on humanitarian ground,"" Justice M V Muralidharan said, while setting aside the imprisonment orders by a sessions court. The judge then imposed 5,000 as penalty to be paid by the petitioner. The petitioner was working as secretary-in-charge of the Primary Agricultural Co-operative Bank in 1991. Alleging that during his tenure he misappropriated funds to the tune of several lakhs, two separate cases were registered against him. Concluding the trial, the magistrates concerned convicted him for the offences and sentenced him to undergo one year imprisonment in each case. Challenging the order, the petitioner moved an appeal before the district sessions court. He requested the court to consider his plea as he was diagnosed as HIV+ and that his days were numbered. Considering the same, the sessions court reduced the sentence to one month. Aggrieved, the petitioner moved the high court. As the prosecution did not dispute the fact that the petitioner has been found to be HIV+, Justice Muralidaran allowed the appeal and set aside the sentencing in both the cases. Download The Times of India News App for Latest City .Make sense of the 2019 Lok Sabha elections and results on May 23 with TOI. Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results, the big trends and fastest updates on counting day with India's largest news network.#ElectionsWithTimes PreviousElection Data HubPoll Fantasy GameTOI Campaign TrackerData StoriesPoll ShotsOpinion Next",{},"['track', 'man', 'petitioner', 'imprisonment', 'hiv', 'sentenced', 'madras', 'convicted', 'high', 'updates', 'court', 'sets', 'sessions', 'fraud', 'results', 'free', 'moved']","Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results , the big trends and fastest updates on counting day with India's largest news network. Concluding the trial, the magistrates concerned convicted him for the offences and sentenced him to undergo one year imprisonment in each case.Challenging the order, the petitioner moved an appeal before the district sessions court. He requested the court to consider his plea as he was diagnosed as HIV+ and that his days were numbered.Considering the same, the sessions court reduced the sentence to one month. Aggrieved, the petitioner moved the high court.As the prosecution did not dispute the fact that the petitioner has been found to be HIV+, Justice Muralidaran allowed the appeal and set aside the sentencing in both the cases.",https://timesofindia.indiatimes.com/city/chennai/madras-high-court-sets-free-hiv-man-convicted-for-fraud/articleshow/68263030.cms
"Accused of injecting wife with HIV, Pune doctor attempts suicide","PUNE: A medical practitioner attempted suicide on Friday night by consuming poison, months after his wife lodged a complaint accusing him of injecting.",Tnn,16-05-2019,The Times of India,"PUNE: A medical practitioner attempted suicide on Friday night by consuming poison, months after his wife lodged a complaint accusing him of injecting deadly Human Immunodeficiency Virus (HIV) in her for securing divorce. An officer from the Wakad police said the homeopath was being treated and was out of danger. We suspect he attempted suicide following frustration, the officer said. The doctor was arrested in December last year after his wife had lodged an FIR against him alleging he injected HIV into her body to obtain divorce. He was released on bail. The womans medical reports showed she was infected with HIV from January 2018. The woman also alleged that her husband and in-laws were harassing her for money to start business after her marriage in 2015. She claimed that her husband administered her HIV-infected blood because he did not have strong grounds for divorce. The police have not filed a chargesheet in the case yet because they are yet to get a confirmation from experts on if the HIV was transmitted to the woman through the infected blood. Download The Times of India News App for Latest City .Make sense of the 2019 Lok Sabha elections and results on May 23 with TOI. Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results, the big trends and fastest updates on counting day with India's largest news network.#ElectionsWithTimes PreviousElection Data HubPoll Fantasy GameTOI Campaign TrackerData StoriesPoll ShotsOpinion Next",{},"['woman', 'track', 'accused', 'medical', 'suicide', 'doctor', 'hiv', 'attempts', 'lodged', 'injecting', 'pune', 'officer', 'wife', 'results', 'updates']","Representative imageDownload The Times of India News App for Latest CityMake sense of the 2019 Lok Sabha elections and results on May 23 with TOI. Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results , the big trends and fastest updates on counting day with India's largest news network. “We suspect he attempted suicide following frustration,” the officer said.The doctor was arrested in December last year after his wife had lodged an FIR against him alleging he injected HIV into her body to obtain divorce. He was released on bail.The woman’s medical reports showed she was infected with HIV from January 2018.",https://timesofindia.indiatimes.com/city/pune/doc-consumes-poison-months-after-accused-of-injecting-hiv-in-wife/articleshow/68785929.cms
HIV positive pregnant woman hangs self,"INDORE: A 22-year-old HIV positive pregnant woman committed suicide by hanging herself from ceiling of her residence in Annapurna late on Tuesday, a d.",Tnn,16-05-2019,The Times of India,"INDORE: A 22-year-old HIV positive pregnant woman committed suicide by hanging herself from ceiling of her residence in Annapurna late on Tuesday, a day before her scheduled delivery. Annapurna police said that the womans husband was also HIV positive and was undergoing treatment for past two years. He is an auto driver. At around 11 pm on Tuesday, the woman had gone to sleep after having dinner. Her husband was sleeping on a couch near the bed. He woke up around 1:30 am and found that the woman was not in the room. He went out to look for her and found her hanging from the ceiling in living room. He rushed her to a nearby hospital from where she was referred to MY Hospital. At MYH, doctors declared her brought dead. The woman was scared that her baby would also suffer from the same disease and even after being counselled by the doctors she was very anxious to give birth to the baby. A few years ago, the womans parents had married her off to a grocery shop owner in Rajasthan as she had an affair with her current husband. After the marriage, she stayed with him for eight months and then returned to Indore and married the current husband. She has a five-year-old daughter from the first husband. The husband said that they were not on speaking terms with the womans family members because a few months ago her uncle had molested their five-year-old daughter and they were forcing them to take back the case. The womans kin blamed her husband and in-laws for her death. Her sister said that they had no clue that the couple was suffering from AIDS. Her husband had physical relations with many women and he is responsible for my sisters death, she told media persons. Annapurna police have recorded the case. Download The Times of India News App for Latest City .Make sense of the 2019 Lok Sabha elections and results on May 23 with TOI. Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results, the big trends and fastest updates on counting day with India's largest news network.#ElectionsWithTimes PreviousElection Data HubPoll Fantasy GameTOI Campaign TrackerData StoriesPoll ShotsOpinion Next",{},"['woman', 'self', 'husband', 'track', 'married', 'months', 'pregnant', 'womans', 'hiv', 'live', 'hangs', 'positive', 'results', 'updates']","Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results , the big trends and fastest updates on counting day with India's largest news network. INDORE: A 22-year-old HIV positive pregnant woman committed suicide by hanging herself from ceiling of her residence in Annapurna late on Tuesday, a day before her scheduled delivery.Annapurna police said that the woman’s husband was also HIV positive and was undergoing treatment for past two years. He woke up around 1:30 am and found that the woman was not in the room. After the marriage, she stayed with him for eight months and then returned to Indore and married the current husband.",https://timesofindia.indiatimes.com/city/indore/hiv-positive-pregnant-woman-hangs-self/articleshow/68713144.cms
I told my boyfriend I was HIV positive and this happened...,"We both knew that we were inching towards a proper relationship, but before it was too late to turn back, I had to tell him the truth about myself. Th",,16-05-2019,The Times of India,,{},"['truth', 'asked', 'lot', 'virus', 'getting', 'finally', 'told', 'doctor', 'hiv', 'viraat', 'started', 'happened', 'boyfriend', 'positive']","It actually felt like all my dreams were finally taking off and the dark phase had finally passed away. I thought being diagnosed with HIV meant that my life was over and I had AIDS. The doctor told me that AIDS was the most serious complication of HIV diseases.The bottom line was HIV was incurable and if left untreated it could go on reducing my T cells. The doctor asked him to take a Pre-exposure prophylaxis (or PrEP) pill. It is a pill for the people who are at a very high risk of contracting HIV.As for the good news, the risk of getting HIV from intercourse might be even lower if you combine PrEP with condoms and other prevention methods.",https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/i-told-my-boyfriend-i-was-hiv-positive-and-this-happened-/articleshow/66880405.cms
