Headlines,Descriptions,Authors,Published_Dates,Articles,Keywords,Summaries
Afghanistan tops 180 countries in HIV control,AT News Report KABUL: Afghanistan has topped among 180 countries to restrain the Human Immunodeficie,Guest,"March 9, 2019","Related Articles Influential Afghan figures reject participation in JirgaApril 29, 2019 Ghor clash leaves nine security personnel deadApril 29, 2019 Editorial: Light of hopeApril 29, 2019AT News ReportKABUL: Afghanistan has topped among 180 countries torestrain the Human Immunodeficiency Virus (HIV), according to a World HealthOrganization (WHO) report.An official of the WHO said on Saturday thatAfghanistan managed to prevent the expansion of the HIV.“Let me say that Afghan government’s strategy (2016-2020)in fight with the HIV helps us to reach our goal. This is a proper strategy inwhich all the priorities have been observed,” said the official.5,900 people are suffering from HIV in Afghanistan inthe current year, according to the ministry of public health.The virus was discovered for the first time in theUnited States in 1988, and now around 32 million people are suffering from thevirus globally with most of the suffering people in Africa and South Asia.The virus is the element of Acquired ImmuneDeficiency Syndrome (AIDS), removes the body defense system that leads thepatient to death.Illegitimate sexual relations, use of pollutedsyringes and blood transmitting are the main elements of HIV.Dr. Naqibullah Hamdard, head of the AIDS controlprogram says that 2,700 positive cases of HIV have been registered.“The number of HIV patients is much higher in othercountries and 28 people died last year in the world. This is a low number inAfghanistan,” said Dr. Hosai Zewar, who works on the AIDS control program.The World Health Organization expects to announce2030 as an HIV-free year in the world.","['afghanistan', 'world', 'aids', 'countries', 'strategy', 'health', 'control', 'hiv', 'suffering', 'organization', 'number', 'times', '180', 'virus', 'tops']","AT News ReportKABUL: Afghanistan has topped among 180 countries to restrain the Human Immunodeficiency Virus (HIV), according to a World Health Organization (WHO) report.
5,900 people are suffering from HIV in Afghanistan in the current year, according to the ministry of public health.
“The number of HIV patients is much higher in other countries and 28 people died last year in the world.
This is a low number in Afghanistan,” said Dr. Hosai Zewar, who works on the AIDS control program.
The World Health Organization expects to announce 2030 as an HIV-free year in the world."
HIV: Life expectancy and outlook,There is no set length of time that a person can live with HIV. Life expectancy increases as new treatments become available. People can now manage HIV as a chronic condition. Learn more here.,,None,"The life expectancy of a person living with HIV has improved dramatically over recent years. Thanks to advances in treatment, namely antiretroviral therapy, people living with HIV can now expect to live long, healthy lives.

When the HIV and AIDS epidemic began in the United States in the 1980s, HIV was a life-threatening condition. However, people can now manage it as a chronic health condition, much like they would diabetes or heart failure.

In this article, we examine developments in managing and treating HIV, as well as the long-term outlook.

Recent improvements



Antiretroviral therapy has increased life expectancy for people living with HIV. Antiretroviral therapy has increased life expectancy for people living with HIV.

The increase in life expectancy for people living with HIV has direct links to improvements in medical therapy, which includes antiretroviral medications.

These medications help suppress levels of HIV in the blood and slow damage resulting from the infection. This suppression helps prevent progression from HIV to AIDS, or stage 3 HIV.

In the 1980s–1990s, antiretroviral therapy began as monotherapy, then it became dual therapy. Now, there is combination antiretroviral therapy, which includes using three or more drugs.

There are several classes of antiretroviral drugs that attack HIV in different ways. Combinations of drugs are the first-line treatment. People typically start antiretroviral therapy as soon as possible after a diagnosis of HIV.

A 2017 study in the journal AIDS found that the additional life expectancy for people with HIV at age 20 during the early monotherapy era was 11.8 years. However, that number rose to 54.9 years for the most recent combination antiretroviral era.

Researchers also concluded that people with HIV with higher education had a similar life expectancy to the general population.

Future treatment options



Cardiovascular disease is becoming common in people with long-standing HIV infection. Cardiovascular disease is becoming common in people with long-standing HIV infection.

Researchers continue to work on a cure for HIV. In the meantime, combination antiretroviral therapy preserves the health of a person with HIV. It does this by suppressing the virus in the blood to undetectable levels. It is important for the person to follow their therapy plan precisely.

In fact, the Centers for Disease Control and Prevention (CDC) now report that when a person taking antiretroviral therapy has a negative viral load in their blood, the risk of transmitting the virus to a person without HIV is essentially zero.

This discovery takes researchers to a notion of ""treatment as prevention,"" which promotes well-controlled HIV as a way to prevent transmission through sexual contact, needle sharing, and childbirth and breastfeeding.

Because people with HIV are living much longer, they are starting to face the same health issues as other older adults.

In fact, differentiating Alzheimer's disease from HIV-associated neurocognitive disorders is becoming an emerging issue in the population of older adults living with HIV.

Even with the advances in antiretroviral therapy, people living with HIV may experience long-term side effects of either the therapy or HIV itself.

Conditions common in long-standing HIV infection include:

cardiovascular disease

lung disease

certain cancers

HIV-associated neurocognitive disorders

liver disease, including hepatitis B and hepatitis C

HIV also appears to increase chronic inflammation in the body, putting a person at risk of certain health conditions. However, more research is necessary to better understand this.

Antiretroviral medications have links to both short- and long-term side effects. Most side effects are manageable but can become serious. A person should speak with their healthcare provider about side effects that are of any concern.

Long-term effects from antiretrovirals can include:

kidney failure

liver failure

heart disease

type 2 diabetes

high blood cholesterol levels

lipodystrophy, or changes in how the body stores fat

osteoporosis

neuropathy

Outlook



A person with HIV should work closely with their healthcare provider. A person with HIV should work closely with their healthcare provider.

Life expectancy for people living with HIV has seen great improvement in recent years. In fact, a person who currently has HIV can expect to add many years to their life once they start combination antiretroviral treatment.

A 2017 study in the journal HIV Medicine indicates that a person with HIV living in a high-income country would add 43.3 years to their life expectancy if they receive a diagnosis at age 20.

Without adequate treatment, however, HIV can quickly start to damage cells in the immune system.

It is important for a person living with HIV to stick to their treatment plan to keep the virus suppressed in the blood. It is also essential for the person to work closely with their healthcare providers on a regular basis and maintain all other aspects of their health and well-being.","['effects', 'person', 'living', 'antiretroviral', 'life', 'outlook', 'expectancy', 'hiv', 'treatment', 'therapy', 'health']","The life expectancy of a person living with HIV has improved dramatically over recent years.
Recent improvementsAntiretroviral therapy has increased life expectancy for people living with HIV.
Antiretroviral therapy has increased life expectancy for people living with HIV.
The increase in life expectancy for people living with HIV has direct links to improvements in medical therapy, which includes antiretroviral medications.
Researchers also concluded that people with HIV with higher education had a similar life expectancy to the general population."
HIV Transmission,Some questions and answers on how HIV is transmitted.,,None,"Some groups of people in the United States are more likely to get HIV than others because of many factors, including the status of their sex partners, their risk behaviors, and where they live.

When you live in a community where many people have HIV infection, the chances of having sex or sharing needles or other injection equipment with someone who has HIV are higher. You can use CDC’s HIV, STD, hepatitis, and tuberculosis atlas to see the percentage of people with HIV (“prevalence”) in different US communities. Within any community, the prevalence of HIV can vary among different populations.

Gay and bisexual men have the largest number of new diagnoses in the United States. Blacks/African Americans and Hispanics/Latinos are disproportionately affected by HIV compared to other racial and ethnic groups. Also, transgender women who have sex with men are among the groups at highest risk for HIV infection, and injection drug users remain at significant risk for getting HIV.

Risky behaviors, like having anal or vaginal sex without using a condom or taking medicines to prevent or treat HIV, and sharing needles or syringes play a big role in HIV transmission. Anal sex is the highest-risk sexual behavior. If you don’t have HIV, being a receptive partner (or bottom) for anal sex is the highest-risk sexual activity for getting HIV. If you do have HIV, being the insertive partner (or top) for anal sex is the highest-risk sexual activity for transmitting HIV.

But there are more tools available today to prevent HIV than ever before. Choosing less risky sexual behaviors, taking medicines to prevent and treat HIV, and using condoms with lubricants are all highly effective ways to reduce the risk of getting or transmitting HIV. Learn more about these and other strategies to prevent HIV.

For more information about the risk for different groups of people, see HIV in the United States and HIV by Geographical Distribution.

Learn more about how to protect yourself, and get information tailored to meet your needs from CDC’s HIV Risk Reduction Tool (BETA).","['sex', 'risk', 'transmission', 'sexual', 'states', 'highestrisk', 'prevent', 'anal', 'hiv', 'groups', 'united']","Risky behaviors, like having anal or vaginal sex without using a condom or taking medicines to prevent or treat HIV, and sharing needles or syringes play a big role in HIV transmission.
If you don’t have HIV, being a receptive partner (or bottom) for anal sex is the highest-risk sexual activity for getting HIV.
If you do have HIV, being the insertive partner (or top) for anal sex is the highest-risk sexual activity for transmitting HIV.
For more information about the risk for different groups of people, see HIV in the United States and HIV by Geographical Distribution.
Learn more about how to protect yourself, and get information tailored to meet your needs from CDC’s HIV Risk Reduction Tool (BETA)."
HIV/AIDS - Symptoms and causes,,,2018-01-19 00:00:00,"Overview

Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight the organisms that cause disease.

HIV is a sexually transmitted infection (STI). It can also be spread by contact with infected blood or from mother to child during pregnancy, childbirth or breast-feeding. Without medication, it may take years before HIV weakens your immune system to the point that you have AIDS.

There's no cure for HIV/AIDS, but there are medications that can dramatically slow the progression of the disease. These drugs have reduced AIDS deaths in many developed nations.

Symptoms

The symptoms of HIV and AIDS vary, depending on the phase of infection.

Primary infection (Acute HIV)

Most people infected by HIV develop a flu-like illness within a month or two after the virus enters the body. This illness, known as primary or acute HIV infection, may last for a few weeks. Possible signs and symptoms include:

Fever

Headache

Muscle aches and joint pain

Rash

Sore throat and painful mouth sores

Swollen lymph glands, mainly on the neck

These symptoms can be so mild that you might not even notice them. However, the amount of virus in your bloodstream (viral load) is quite high at this time. As a result, the infection spreads more easily during primary infection than during the next stage.

Clinical latent infection (Chronic HIV)

In some people, persistent swelling of lymph nodes occurs during this stage. Otherwise, there are no specific signs and symptoms. HIV remains in the body and in infected white blood cells.

This stage of HIV infection generally lasts around 10 years if you're not receiving antiretroviral therapy. But sometimes, even with this treatment, it lasts for decades. Some people develop more severe disease much sooner.

Symptomatic HIV infection

As the virus continues to multiply and destroy your immune cells — the cells in your body that help fight off germs — you may develop mild infections or chronic signs and symptoms such as:

Fever

Fatigue

Swollen lymph nodes — often one of the first signs of HIV infection

Diarrhea

Weight loss

Oral yeast infection (thrush)

Shingles (herpes zoster)

Progression to AIDS

Thanks to better antiviral treatments, most people with HIV in the U.S. today don't develop AIDS. Untreated, HIV typically turns into AIDS in about 10 years.

When AIDS occurs, your immune system has been severely damaged. You'll be more likely to develop opportunistic infections or opportunistic cancers — diseases that wouldn't usually trouble a person with a healthy immune system.

The signs and symptoms of some of these infections may include:

Soaking night sweats

Recurring fever

Chronic diarrhea

Persistent white spots or unusual lesions on your tongue or in your mouth

Persistent, unexplained fatigue

Weight loss

Skin rashes or bumps

When to see a doctor

If you think you may have been infected with HIV or are at risk of contracting the virus, see a health care provider as soon as possible.

Causes

HIV is caused by a virus. It can spread through sexual contact or blood, or from mother to child during pregnancy, childbirth or breast-feeding.

How does HIV become AIDS?

HIV destroys CD4 T cells — white blood cells that play a large role in helping your body fight disease. The fewer CD4 T cells you have, the weaker your immune system becomes.

You can have an HIV infection for years before it turns into AIDS. AIDS is diagnosed when the CD4 T cell count falls below 200 or you have an AIDS-defining complication.

How HIV spreads

To become infected with HIV, infected blood, semen or vaginal secretions must enter your body. This can happen in several ways:

By having sex. You may become infected if you have vaginal, anal or oral sex with an infected partner whose blood, semen or vaginal secretions enter your body. The virus can enter your body through mouth sores or small tears that sometimes develop in the rectum or vagina during sexual activity.

You may become infected if you have vaginal, anal or oral sex with an infected partner whose blood, semen or vaginal secretions enter your body. The virus can enter your body through mouth sores or small tears that sometimes develop in the rectum or vagina during sexual activity. From blood transfusions. In some cases, the virus may be transmitted through blood transfusions. American hospitals and blood banks now screen the blood supply for HIV antibodies, so this risk is very small.

In some cases, the virus may be transmitted through blood transfusions. American hospitals and blood banks now screen the blood supply for HIV antibodies, so this risk is very small. By sharing needles. Sharing contaminated intravenous drug paraphernalia (needles and syringes) puts you at high risk of HIV and other infectious diseases, such as hepatitis.

Sharing contaminated intravenous drug paraphernalia (needles and syringes) puts you at high risk of HIV and other infectious diseases, such as hepatitis. During pregnancy or delivery or through breast-feeding. Infected mothers can pass the virus on to their babies. HIV-positive mothers who get treatment for the infection during pregnancy can significantly lower the risk to their babies.

How HIV doesn't spread

You can't become infected with HIV through ordinary contact. That means you can't catch HIV or AIDS by hugging, kissing, dancing or shaking hands with someone who has the infection.

HIV isn't spread through the air, water or insect bites.

Risk factors

When HIV/AIDS first appeared in the United States, it mainly affected men who had sex with men. However, now it's clear that HIV also spreads through heterosexual sex.

Anyone of any age, race, sex or sexual orientation can be infected. However, you're at greatest risk of HIV/AIDS if you:

Have unprotected sex. Use a new latex or polyurethane condom every time you have sex. Anal sex is more risky than is vaginal sex. Your risk of HIV increases if you have multiple sexual partners.

Use a new latex or polyurethane condom every time you have sex. Anal sex is more risky than is vaginal sex. Your risk of HIV increases if you have multiple sexual partners. Have an STI. Many STIs produce open sores on your genitals. These sores act as doorways for HIV to enter your body.

Many STIs produce open sores on your genitals. These sores act as doorways for HIV to enter your body. Use intravenous drugs. People who use intravenous drugs often share needles and syringes. This exposes them to droplets of other people's blood.

People who use intravenous drugs often share needles and syringes. This exposes them to droplets of other people's blood. Are an uncircumcised man. Studies suggest that lack of circumcision increases the risk of heterosexual transmission of HIV.

Complications

HIV infection weakens your immune system, making you much more likely to develop numerous infections and certain types of cancers.

Infections common to HIV/AIDS

Tuberculosis (TB). In resource-limited nations, TB is the most common opportunistic infection associated with HIV. It's a leading cause of death among people with AIDS.

In resource-limited nations, TB is the most common opportunistic infection associated with HIV. It's a leading cause of death among people with AIDS. Cytomegalovirus. This common herpes virus is transmitted in body fluids such as saliva, blood, urine, semen and breast milk. A healthy immune system inactivates the virus, and it remains dormant in your body. If your immune system weakens, the virus resurfaces — causing damage to your eyes, digestive tract, lungs or other organs.

This common herpes virus is transmitted in body fluids such as saliva, blood, urine, semen and breast milk. A healthy immune system inactivates the virus, and it remains dormant in your body. If your immune system weakens, the virus resurfaces — causing damage to your eyes, digestive tract, lungs or other organs. Candidiasis. Candidiasis is a common HIV-related infection. It causes inflammation and a thick, white coating on the mucous membranes of your mouth, tongue, esophagus or vagina.

Candidiasis is a common HIV-related infection. It causes inflammation and a thick, white coating on the mucous membranes of your mouth, tongue, esophagus or vagina. Cryptococcal meningitis. Meningitis is an inflammation of the membranes and fluid surrounding your brain and spinal cord (meninges). Cryptococcal meningitis is a common central nervous system infection associated with HIV, caused by a fungus found in soil.

Meningitis is an inflammation of the membranes and fluid surrounding your brain and spinal cord (meninges). Cryptococcal meningitis is a common central nervous system infection associated with HIV, caused by a fungus found in soil. Toxoplasmosis. This potentially deadly infection is caused by Toxoplasma gondii, a parasite spread primarily by cats. Infected cats pass the parasites in their stools, which may then spread to other animals and humans. Seizures occur when it spreads to the brain.

This potentially deadly infection is caused by Toxoplasma gondii, a parasite spread primarily by cats. Infected cats pass the parasites in their stools, which may then spread to other animals and humans. Seizures occur when it spreads to the brain. Cryptosporidiosis. This infection is caused by an intestinal parasite that's commonly found in animals. You get it when you eat or drink contaminated food or water. The parasite grows in your intestines and bile ducts, leading to severe, chronic diarrhea in people with AIDS.

Cancers common to HIV/AIDS

Kaposi's sarcoma. A tumor of the blood vessel walls, this cancer is rare in people not infected with HIV, but common in HIV-positive people. It usually appears as pink, red or purple lesions on the skin and mouth. In people with darker skin, the lesions may look dark brown or black. Kaposi's sarcoma can also affect the internal organs, including the digestive tract and lungs.

A tumor of the blood vessel walls, this cancer is rare in people not infected with HIV, but common in HIV-positive people. It usually appears as pink, red or purple lesions on the skin and mouth. In people with darker skin, the lesions may look dark brown or black. Kaposi's sarcoma can also affect the internal organs, including the digestive tract and lungs. Lymphoma. This cancer starts in the white blood cells. The most common early sign is painless swelling of the lymph nodes in your neck, armpit or groin.

Other complications

Wasting syndrome. Aggressive treatment approaches have reduced the number of cases of wasting syndrome, but it still affects many people with AIDS. It's defined as a loss of at least 10 percent of body weight, often accompanied by diarrhea, chronic weakness and fever.

Aggressive treatment approaches have reduced the number of cases of wasting syndrome, but it still affects many people with AIDS. It's defined as a loss of at least 10 percent of body weight, often accompanied by diarrhea, chronic weakness and fever. Neurological complications. Although AIDS doesn't appear to infect the nerve cells, it can cause neurological symptoms such as confusion, forgetfulness, depression, anxiety and difficulty walking. One of the most common neurological complications is AIDS dementia complex, which leads to behavioral changes and reduced mental functioning.

Although AIDS doesn't appear to infect the nerve cells, it can cause neurological symptoms such as confusion, forgetfulness, depression, anxiety and difficulty walking. One of the most common neurological complications is AIDS dementia complex, which leads to behavioral changes and reduced mental functioning. Kidney disease. HIV-associated nephropathy (HIVAN) is an inflammation of the tiny filters in your kidneys that remove excess fluid and wastes from your blood and pass them to your urine. It most often affects blacks or Hispanics. Anyone with this complication should be started on antiretroviral therapy.

Prevention

There's no vaccine to prevent HIV infection and no cure for AIDS. But you can protect yourself and others from infection.

To help prevent the spread of HIV:","['sex', 'aids', 'system', 'body', 'blood', 'infection', 'hiv', 'symptoms', 'infected', 'common', 'hivaids', 'causes', 'virus']","By damaging your immune system, HIV interferes with your body's ability to fight the organisms that cause disease.
It can also be spread by contact with infected blood or from mother to child during pregnancy, childbirth or breast-feeding.
This illness, known as primary or acute HIV infection, may last for a few weeks.
This stage of HIV infection generally lasts around 10 years if you're not receiving antiretroviral therapy.
How HIV spreadsTo become infected with HIV, infected blood, semen or vaginal secretions must enter your body."
,,,,,,
"Over 2,500 affected by HIV in Afghanistan","AT-KABUL: The number of people affected by the HIV/AIDS has dramatically increased in the country, t",admin,"December 4, 2017","Related Articles Influential Afghan figures reject participation in JirgaApril 29, 2019 Ghor clash leaves nine security personnel deadApril 29, 2019 Editorial: Light of hopeApril 29, 2019AT-KABUL: The number of people affected by the HIV/AIDS has dramatically increased in the country, the ministry of public health said, adding that more than 2,500 people are currently suffering from the deadly disease.Health officials warned Monday on the occasion of the World AIDS Day that 232 cases were registered this year with 28 cases more than last year.The first case of the HIV in the country was registered 13 years ago and since then, 2,522 people have been affected.Feda Mohammad Paikan, deputy public health minister, called the continuous war, addiction, migrations and lack of knowledge about the disease the main elements of the HIV.The AIDS patients say that people do not behave properly to then.“This is a dangerous and anti-human virus,” said Richard Piercorn, from the World Health Organization (WHO). He asked the people to examine their blood, promising the organization’s cooperation with Afghanistan.Five HIV treatment centers in five big cities are treating the affected people freely.","['country', 'affected', 'afghanistan', 'world', 'aids', 'yearthe', '2500', 'hiv', 'cases', 'times', 'health', 'registered', 'public']","AT-KABUL: The number of people affected by the HIV/AIDS has dramatically increased in the country, the ministry of public health said, adding that more than 2,500 people are currently suffering from the deadly disease.
The first case of the HIV in the country was registered 13 years ago and since then, 2,522 people have been affected.
Feda Mohammad Paikan, deputy public health minister, called the continuous war, addiction, migrations and lack of knowledge about the disease the main elements of the HIV.
“This is a dangerous and anti-human virus,” said Richard Piercorn, from the World Health Organization (WHO).
Five HIV treatment centers in five big cities are treating the affected people freely."
"7,500 HIV infections in Afghanistan","AT-KABUL: Up to 7,500 people infected by AIDS syndrome have been registered in Afghanistan, the publ",admin,"March 28, 2018","Related Articles Influential Afghan figures reject participation in JirgaApril 29, 2019 Ghor clash leaves nine security personnel deadApril 29, 2019 Editorial: Light of hopeApril 29, 2019AT-KABUL: Up to 7,500 people infected by AIDS syndrome have been registered in Afghanistan, the public health ministry said.“Migrations to abroad and the low level of education are the major reasons of the HIV virus spread,” said Ferozuddin Feroz, public health minister. “Thus, we need to use elite people who are influential among the nation to explain the HIV disease and its injuries.”The South Asian Association for Regional Cooperation (SAARC) has asked singer Farhad Darya to explain the disease for the people.350 people affected by the HIV virus were registered only in 2017, according to the ministry.Farhad Darya said he was ready to “play the role of a bridge” with the people. “It is an honor for me to play a bridge between the HIV affected persons and other people in a three to five year long program.”He said it was disappointing to hear misbehavior and discrimination with the people affected by the HIV, asked the media outlets to help remove misbehavior.There are 13 HIV/AIDS treatment centers in different province and the government works to increase the centers.","['infections', 'afghanistan', '7500', 'chinese', 'idress', 'check', 'hiv', 'kabul', 'times', 'ambassador', 'report', 'deputy', 'zaman', 'foreign', 'minister']",Check AlsoAT News Report KABUL: Afghan Foreign Deputy Minister Idress Zaman and Chinese Ambassador to Afghanistan …
"World AIDS Day observed: MoPH registers 1,874 HIV/AIDS cases from 1989-2014",By Akhtar M. Nikzad-KABUL: The Ministry of Public Health (MoPH) in cooperation with the World Health,admin,"December 1, 2015","Related Articles Influential Afghan figures reject participation in JirgaApril 29, 2019 Ghor clash leaves nine security personnel deadApril 29, 2019 Editorial: Light of hopeApril 29, 2019By Akhtar M. Nikzad-KABUL: The Ministry of Public Health (MoPH) in cooperation with the World Health Organization (WHO) on Tuesday marked the World AIDS Day.Minister of Public Health, Ferozuddin Feroz, said that from 1989 up to the end of 2014 the ministry has registered around 1,874 cases of HIV/AIDS.He said that 1,481 men, 327 women and 66 children, below the age of 15 years, were infected by AIDS.Pointing out the main factors behind the staggering number of HIV cases, he said that homosexuality among men, lack of standard healthcare services particularly in surgery wards, poverty, joblessness, illiteracy, immigrations, blood transfusion and existence of thee million addicts in the country are responsible for spread of AIDS.But the minister of public health said that Afghanistan is the country which has low-level of HIV/AIDS cases in the region as compared to the other countries.“Afghanistan’s ability to better diagnose HIV has improved tremendously in the past due to our strengthened surveillance system, people’s increased awareness about the disease and major improvements in the quality of HIV services and blood testing. We must ensure that quality HIV treatment reaches all those in need,” he mentioned.Hinting to the efforts of the ministry to control AIDS, he stressed that accelerated efforts are necessary to ensure HIV prevention and treatment services reach everyone in need, adding that currently HIV testing and counseling services are available in 10 provinces and nearly 650 people living with HIV are receiving anti-retroviral therapy in two provinces. Five health centers provide services to pregnant women to prevent mother-to-child transmission of HIV.Feroz termed strengthening of HIV testing methods, expansion of the availability of treatment options and increasing the number of health centers providing anti-retroviral therapy as crucial measures for control of AIDS and HIV epidemic in the country.Country Representative of WHO in Afghanistan, Dr Rechard Peeperkorn,  said that around 37 million people live with HIV all over the world and only a bit over half of them know their HIV status and 1.2 million died from HIV-related causes in 2014 this around 3,300 dying every day.He said that HIV prevalence is low in Afghanistan and HIV epidemic is concentrated among specific groups especially injected group.This year the World HIV Day theme is “HIV Treatment for All”. Peeperkorn said that too many people still lack access to comprehensive HIV treatment and prevention services in Afghanistan and elsewhere.“Strengthening HIV testing methods, expanding the availability of treatment options and increasing the number of health centers providing anti-retroviral therapy are crucial measures that need to be taken to stop the HIV epidemic. We must continue our efforts to ensure that those most at risk of contracting HIV receive prevention and treatment services,” he said.He said that one of the targets of the newly-launched global Sustainable Development Goal is to end the AIDS epidemic by 2030, adding that to reach this goal “we need to translate commitments into action”.World AIDS Day is held on the 1st December each year and is an opportunity for people worldwide to unite in the fight against HIV and show their support for people living with HIV. World AIDS Day was observed for the first time in 1988.","['day', 'aids', 'world', 'afghanistan', 'health', 'epidemic', 'need', 'hiv', 'cases', 'testing', 'observed', 'times', 'treatment', 'services', 'hivaids', 'moph', 'registers']","By Akhtar M. Nikzad-KABUL: The Ministry of Public Health (MoPH) in cooperation with the World Health Organization (WHO) on Tuesday marked the World AIDS Day.
He said that HIV prevalence is low in Afghanistan and HIV epidemic is concentrated among specific groups especially injected group.
This year the World HIV Day theme is “HIV Treatment for All”.
Peeperkorn said that too many people still lack access to comprehensive HIV treatment and prevention services in Afghanistan and elsewhere.
World AIDS Day was observed for the first time in 1988."
"Editorial: Fighting HIV, TB","Tuberculosis (TB) and HIV is a deadly disease, but at some stage curable. TB and HIV co-infection is",admin,"November 30, 2017","Related Articles Influential Afghan figures reject participation in JirgaApril 29, 2019 Ghor clash leaves nine security personnel deadApril 29, 2019 Editorial: Light of hopeApril 29, 2019Tuberculosis (TB) and HIV is a deadly disease, but at some stage curable. TB and HIV co-infection is when people have both, and also either latent or active TB disease. When someone has both HIV, and TB each disease speeds up the progress of the other. When people have a damaged immune system, such as people with HIV who are not receiving antiretroviral treatment, the natural history of TB is altered. Instead of there being a long latency phase between infection and development of disease, people with HIV can become ill with active TB disease within weeks to months, rather than the normal years to decades. TB is a contagious disease that can spread from person to person. TB is caused by bacteria called Mycobacterium tuberculosis. The TB bacteria spread in their air as well. TB usually affects the lungs. But TB-causing bacteria can attack any part of the body, including the kidneys, spine, or brain. If not treated, TB can cause death. HIV also stands for human immunodeficiency virus. It harms your immune system by destroying the white blood cells that fight infection. This puts you at risk for serious infections and certain cancers. AIDS stands for acquired immunodeficiency syndrome. It is the final stage of infection with HIV. This deadly disease most often spared through unprotected sex with an infected person. It may also spread by sharing drug needles or through contact with the blood of an infected person. Women can also give it to their babies during pregnancy or childbirth. There is no cure, but there are many medicines that fight HIV infection and lower the risk of infecting others. People who get early treatment can live with the disease for a longtime. In Afghanistan we are suffering from this deadly disease. To fight HIV, TB, and malaria diseases, the Global Fund, an international financing organization pledged $52 million in assistance to the Ministry of Public Health (MoPH). Deputy health minister, Dr. Ahmad Jan Naim said that this aid would help strengthen measure for prevention of malaria in different ways including distribution of mosquito nets. According to him, deaths from TB would decrease by 50 percent by controlling the disease and deaths from AIDS, malaria, pregnancy diseases would also reduce by improving the health system in Afghanistan in until 2021. Furthermore, he said that part of this donation would go to medicines to cure HIV/AIDS virus for more than 40,000 infected people. Moreover, providing more than four million mosquito nets and diagnosing 700,000 malaria cases as well as treating 158,000 TB patients is also part of program to be cured. Afghanistan has lots of problem in its medical system. However, we are making all out efforts to improving our health system, and one day will reach this goal.","['spread', 'afghanistan', 'system', 'person', 'tb', 'infection', 'editorial', 'infected', 'hiv', 'malaria', 'fighting', 'times', 'disease', 'health']","TB and HIV co-infection is when people have both, and also either latent or active TB disease.
When someone has both HIV, and TB each disease speeds up the progress of the other.
There is no cure, but there are many medicines that fight HIV infection and lower the risk of infecting others.
To fight HIV, TB, and malaria diseases, the Global Fund, an international financing organization pledged $52 million in assistance to the Ministry of Public Health (MoPH).
However, we are making all out efforts to improving our health system, and one day will reach this goal."
First HIV diagnostic centre opens in Parwan,A first ever HIV diagnostic center was inaugurated Charikar capital city of northern Parwan province,admin,"October 31, 2018","Related Articles Influential Afghan figures reject participation in JirgaApril 29, 2019 Ghor clash leaves nine security personnel deadApril 29, 2019 Editorial: Light of hopeApril 29, 2019A first ever HIV diagnostic center was inaugurated Charikar capital city of northern Parwan province on Wednesday, according to officials.According to a statement, Parwan Governor General Fazeludin Ayar termed establishing of the HIV diagnostic a key step toward identifying drug abuser and diagnoses of communicable diseases among them in the province.While insisting over improvement of healthcare in the province, he asked elders and Ulema to preach regarding risk of narcotics in order to protect youth from this killer phenomenon.Meanwhile Parwan provincial health director Dr. Khalil Musadiq said that this center was established to avoid spreading of HIV and hepatitis to addicted people and reduce mortality among drug user in the province.This center was established to address addicted people health problems, he added.","['parwan', 'centre', 'afghanistan', 'chinese', 'idress', 'check', 'diagnostic', 'opens', 'hiv', 'kabul', 'times', 'ambassador', 'report', 'deputy', 'zaman', 'foreign', 'minister']",Check AlsoAT News Report KABUL: Afghan Foreign Deputy Minister Idress Zaman and Chinese Ambassador to Afghanistan …
