Headlines,Descriptions,Authors,Published_Dates,Articles,Keywords,Summaries
Drug ‘can greatly reduce risk of HIV infection’,The largest online news service for Afghanistan,Khaama Press,2010-11-25T08:26:11+00:00,"A drug used to treat HIV-positive patients may offer gay and bisexual men some protection against contracting the virus, the authors of a new study say.Trials of the combination drug Truvada among nearly 2,500 men suggested it could reduce the chances of male-to-male HIV infection by 44%.Those using the drug regularly could further reduce the risk of infection, it was claimed.The study is published in the New England Journal of Medicine.Pills and condoms Truvada is the trade name of a drug manufactured by the California-based company Gilead Sciences Inc which combines two antiretroviral drugs, used to treat Aids.But this new study looks at whether it could be used to prevent HIV infection in the first place.Almost 2,500 gay or bisexual men were randomly selected in Peru, Ecuador, Brazil, South Africa, Thailand and the United States. Half were given the pill, half were given dummy tablets.All the men were also given condoms and counselling on safe sex.What the researchers found after about a year of testing was that the drug appeared to cut male-to-male HIV transmission by 44%, when the group taking the pill was compared with the placebo group.Those who took the pill regularly were deemed to have reduced their risk of infection further, by up to 73%, and blood tests were run to confirm this relationship between pill-usage and protection levels.The research was funded by the Bill & Melinda Gates Foundation, and the federal US body, the National Institute of Allergy and Infectious Diseases (NIAID). The pills were donated by their manufacturer.NIAID director, Dr Anthony Fauci, conceded more work needed to be done, but called the results impressive.“This has been done in men who have sex with men. We need to know if we get similar results in women as well as in heterosexual men, which we have reason to believe we will,” he told the BBC.“We also need to get a long term view of were there any toxicities. We didn’t see anything that was significant but we need to follow that for a long period of time.”Questions and concernsThe trial does of course raise questions and concerns. Is it possible, for instance, that the results were skewed by greater condom use in the group that took the pill; and won’t such findings encourage some men to dispense with condoms altogether in favour of a drug?There is also the issue of prohibitive cost of Truvada, which retails in the US for around $36 a day, and which makes the drug unaffordable to many possible users.Dr Fauci argues that the two groups were fully randomised and says that drugs can only play a complementary role in the war on HIV. Condoms and fewer partners, he said, remain the first line of defence.“We’re hoping that if this does become a useable tool in prevention, then the associated counselling will complement the effect of the drug and stop people becoming cavalier about it and say ‘now I have a pill I don’t have to worry’.“That’s exactly the opposite of what we want to happen. We want to add something rather than have it replace something.”Sir Nick Partridge, chief executive of the Terrence Higgins Trust, called the trial results “potentially significant”.“It’s vital that we expand the ways we can prevent HIV transmission, particularly amongst those most at risk,” he said in a statement. “This trial proves that HIV treatment will have an impact on prevention, but that it’s not ready for widespread use yet.“Three major hurdles are still going to be its cost, the risks of drug-resistant strains of HIV developing and taking a drug treatment every day.” _____________________ Source: BBC  Post Views:  597","['men', 'results', 'infection', 'pill', 'drug', 'greatly', 'hiv', 'trial', 'reduce', 'risk', 'study', 'used']","A drug used to treat HIV-positive patients may offer gay and bisexual men some protection against contracting the virus, the authors of a new study say.
Trials of the combination drug Truvada among nearly 2,500 men suggested it could reduce the chances of male-to-male HIV infection by 44%.
Those using the drug regularly could further reduce the risk of infection, it was claimed.
But this new study looks at whether it could be used to prevent HIV infection in the first place.
We want to add something rather than have it replace something.”Sir Nick Partridge, chief executive of the Terrence Higgins Trust, called the trial results “potentially significant”."
16 ISIS fighters to become suicide bombers after contracting AIDS from sex slaves,The largest online news service for Afghanistan,Khaama Press,2015-08-20T18:05:33+00:00,"The Islamic State of Iraq and Syria (ISIS) terrorist group has ordered sixteen of it’s fighters to become suicide bombers after contracting HIV from two Moroccan sex slaves, it has been reported.According to the doctor who was forced to treat the ISIS fighters, the men were quarantined by terror group’s leadership after they went through medical tests, confirming they had HIV.The doctor whose identity has not be revealed further added that the men were treated at an ISIS-run hospital i the eastern-Syrian city of Al-Mayadeen.He said the men who are mostly foreign nationals had unprotected sex with two Moroccan sex slaves.“Most of those infected are foreign militants who had sexual intercourses with two Moroccan women. The women passed on the disease to the militants before their infection was revealed,” the doctor quoted by ARA News – a Syrian independent press agency, said.He said “We were ordered by the group’s local leadership to transfer the infected militants to a quarantine center in the city.”He also added that the two Moroccan women escaped to Turkey “for fear of execution by the IS”.In order to avoid further spread of the disease, the ISIS leadership issued a decision through its Sharia Commission to run tests for AIDS on its members in Deir ez-Zor, following a state panic caused with the spread of the news.A civil rights activist in al-Mayadeen said “IS leadership is planning to assign suicide attacks for its militants who are tested positive with AIDS.”  Post Views:  283","['fighters', 'men', 'suicide', 'bombers', 'doctor', '16', 'tests', 'leadership', 'militants', 'sex', 'aids', 'isis', 'slaves', 'women', 'moroccan', 'contracting']","The Islamic State of Iraq and Syria (ISIS) terrorist group has ordered sixteen of it’s fighters to become suicide bombers after contracting HIV from two Moroccan sex slaves, it has been reported.
According to the doctor who was forced to treat the ISIS fighters, the men were quarantined by terror group’s leadership after they went through medical tests, confirming they had HIV.
He said the men who are mostly foreign nationals had unprotected sex with two Moroccan sex slaves.
“Most of those infected are foreign militants who had sexual intercourses with two Moroccan women.
A civil rights activist in al-Mayadeen said “IS leadership is planning to assign suicide attacks for its militants who are tested positive with AIDS.”"
HIV positive ISIS fighters Archives,,,None,"The Islamic State of Iraq and Syria (ISIS) terrorist group has ordered sixteen of it’s fighters to become suicide bombers after contracting HIV from two Moroccan sex slaves, it has been reported. According to the doctor who was forced...","['slaves', 'fighters', 'ordered', 'state', 'sixteen', 'hiv', 'positive', 'sex', 'terrorist', 'archives', 'isis', 'suicide', 'reported', 'syria', 'moroccan']","The Islamic State of Iraq and Syria (ISIS) terrorist group has ordered sixteen of it’s fighters to become suicide bombers after contracting HIV from two Moroccan sex slaves, it has been reported.
According to the doctor who was forced..."
AIDS positive ISIS fighters Archives,,,None,"The Islamic State of Iraq and Syria (ISIS) terrorist group has ordered sixteen of it’s fighters to become suicide bombers after contracting HIV from two Moroccan sex slaves, it has been reported. According to the doctor who was forced...","['slaves', 'fighters', 'ordered', 'state', 'sixteen', 'positive', 'aids', 'terrorist', 'archives', 'isis', 'suicide', 'sex', 'syria', 'reported', 'moroccan']","The Islamic State of Iraq and Syria (ISIS) terrorist group has ordered sixteen of it’s fighters to become suicide bombers after contracting HIV from two Moroccan sex slaves, it has been reported.
According to the doctor who was forced..."
Afghanistan sees 38 percent increase in HIV/AIDS cases,The largest online news service for Afghanistan,Ahmad Shah Ghanizada,2013-12-01T09:57:23+00:00,"Officials in the ministry of public health of Afghanistan informed of an increase in HIV/AIDS positive cases in the country.Deputy public health minister Najia Tariq said Sunday that the HIV/AIDS cases have increased by 38 percent as compared to last year.While speaking on the eve of World Aids Day, Najria Tariq said at least 162 HIV/AIDS positive cases have been recorded across the country during the current year, while around 117 HIV positive cases were recorded last year.The World Health Organization (WHO) estimates around 5,000 people are affected with HIV/AIDS virus across the country, and only 30 percent of HIV positive cases have been recorded so far.According to public health officials, the first HIV positive case was recorded in Afghanistan earlier in 1989, and the virus is mainly transferred to Afghansitan by migrants who are coming to Afghanistan from the neighboring countries.The officials are also saying that individuals addicted to drugs are mainly transferring the virus by using the single syringe for injecting drugs.  Post Views:  157","['cases', 'recorded', 'hivaids', '38', 'officials', 'health', 'public', 'virus', 'hiv', 'positive', 'sees', 'increase', 'afghanistan']","Officials in the ministry of public health of Afghanistan informed of an increase in HIV/AIDS positive cases in the country.
Deputy public health minister Najia Tariq said Sunday that the HIV/AIDS cases have increased by 38 percent as compared to last year.
While speaking on the eve of World Aids Day, Najria Tariq said at least 162 HIV/AIDS positive cases have been recorded across the country during the current year, while around 117 HIV positive cases were recorded last year.
The World Health Organization (WHO) estimates around 5,000 people are affected with HIV/AIDS virus across the country, and only 30 percent of HIV positive cases have been recorded so far.
According to public health officials, the first HIV positive case was recorded in Afghanistan earlier in 1989, and the virus is mainly transferred to Afghansitan by migrants who are coming to Afghanistan from the neighboring countries."
The Khaama Press News Agency,,,None,"The Ministry of Public of Health of Afghanistan (MoPH) informed of 10 percent rise in human immunodeficiency virus (HIV/AIDS) cases in the country. According to MoPH officials, 1694 cases positive with HIV/AIDS have been recorded with the ministry...","['cases', 'khaama', 'hivaids', 'recorded', 'officials', 'ministry', 'public', 'virus', 'agency', 'rise', 'positive', 'moph', 'press']","The Ministry of Public of Health of Afghanistan (MoPH) informed of 10 percent rise in human immunodeficiency virus (HIV/AIDS) cases in the country.
According to MoPH officials, 1694 cases positive with HIV/AIDS have been recorded with the ministry..."
"Egypt’s army claims it has invented device that cures AIDS, hepatitis",The largest online news service for Afghanistan,Ahmad Shah Ghanizada,2014-06-30T06:17:16+00:00,"The Egypt’s military has claimed that it has invented a device which can be used to cure HIV AIDS, hepatitis and other viruses.Egyptian military officials had earlier promised to reveal the technology to the public this coming Monday; however, it seems they have rowed back onclaims, saying that the device will need a further six months of testing.Scientific experts including former president Mansour’s own adviser, have widely panned the claims by Egypt’s military and said the claims have no scientific basis.The device was first presented to the audience by major General Ibrahim Abdulatty in February and was described as being able to detect illnesses including Aids and hepatitis C, without taking blood samples and also purify the blood of those suffering from the diseases.However, Egypt’s head of army Engineering Agency said scientific integrity mandates that the start of the public release of the device be delayed untilthe experimentation period is over to allow for a follow up with patients already using it.In the meantime, the Saturday’s news conference only referred to hepatitis and notably dropped any mention of the devices as a cure for HIV AIDS.  Post Views:  157","['scientific', 'cure', 'army', 'invented', 'public', 'military', 'hiv', 'including', 'device', 'hepatitis', 'cures', 'aids', 'claims', 'egypts']","The Egypt’s military has claimed that it has invented a device which can be used to cure HIV AIDS, hepatitis and other viruses.
Scientific experts including former president Mansour’s own adviser, have widely panned the claims by Egypt’s military and said the claims have no scientific basis.
The device was first presented to the audience by major General Ibrahim Abdulatty in February and was described as being able to detect illnesses including Aids and hepatitis C, without taking blood samples and also purify the blood of those suffering from the diseases.
However, Egypt’s head of army Engineering Agency said scientific integrity mandates that the start of the public release of the device be delayed untilthe experimentation period is over to allow for a follow up with patients already using it.
In the meantime, the Saturday’s news conference only referred to hepatitis and notably dropped any mention of the devices as a cure for HIV AIDS."
ISIS fighters contract HIV Archives,,,None,"The Islamic State of Iraq and Syria (ISIS) terrorist group has ordered sixteen of it’s fighters to become suicide bombers after contracting HIV from two Moroccan sex slaves, it has been reported. According to the doctor who was forced...","['slaves', 'fighters', 'ordered', 'state', 'sixteen', 'hiv', 'contract', 'sex', 'terrorist', 'archives', 'isis', 'suicide', 'reported', 'syria', 'moroccan']","The Islamic State of Iraq and Syria (ISIS) terrorist group has ordered sixteen of it’s fighters to become suicide bombers after contracting HIV from two Moroccan sex slaves, it has been reported.
According to the doctor who was forced..."
Afghanistan recorded 1367 HIV/AIDS positive cases in 2011,The largest online news service for Afghanistan,Ahmad Shah Ghanizada,2013-07-06T09:05:25+00:00,"At least 1,367 positive cases of Human immunodeficiency virus (HIV) have been recorded in Afghanistan, according to the public health ministry of Afghanistan.Public health officials called the latest statistics as worrying and said that majority of the individuals using syringes to inject drugs are affected from HIV virus.Head of the Human immunodeficiency virus (HIV) department in public health ministry of Afghanistan, Dr. Fida Mohammad Paikan said majority of HIV positive cases have been recorded in capital Kabul while the lowest number of HIV postive cases have been recorded in western Badghis province of Afghanistan.Dr. Paikan further added that the public health ministry of Afghanistan in cooperation with the UN World Health Organization and United Nations Office on Drugs and Crime provide latest statistic on HIV positive cases annually.He said at least 1,367 positive cases of HIV have been recorded until the end of 2011, Dr. Paikan said adding that the number could be more than this as the statistics include only those individuals who have volunteerly done the HIV tests.Dr. Fida Mohammad Paikan said the latest data on 2012 will be released by the end of 2013.According to public health officials, the first HIV positive case was recorded in Afghanistan earlier in 1989, and the virus is mainly transferred to Afghansitan by migrants who are coming to Afghanistan from the neighboring countries.The officials are also saying that individuals addicted to drugs are mainly transferring the virus by using the single syringe for injecting drugs. Around 5,000 drug affected individuals are currently treated across the country in a bid to prevent the flow of HIV virus.  Post Views:  350","['cases', 'recorded', 'hivaids', '2011', 'health', 'public', 'hiv', 'virus', 'positive', '1367', 'paikan', 'individuals', 'afghanistan']","At least 1,367 positive cases of Human immunodeficiency virus (HIV) have been recorded in Afghanistan, according to the public health ministry of Afghanistan.
Head of the Human immunodeficiency virus (HIV) department in public health ministry of Afghanistan, Dr. Fida Mohammad Paikan said majority of HIV positive cases have been recorded in capital Kabul while the lowest number of HIV postive cases have been recorded in western Badghis province of Afghanistan.
Dr. Paikan further added that the public health ministry of Afghanistan in cooperation with the UN World Health Organization and United Nations Office on Drugs and Crime provide latest statistic on HIV positive cases annually.
According to public health officials, the first HIV positive case was recorded in Afghanistan earlier in 1989, and the virus is mainly transferred to Afghansitan by migrants who are coming to Afghanistan from the neighboring countries.
Around 5,000 drug affected individuals are currently treated across the country in a bid to prevent the flow of HIV virus."
Aishwarya Rai Bachchan named UN HIV/AIDS envoy,The largest online news service for Afghanistan,Sajad,2012-09-25T09:57:24+00:00,"The United Nations Monday announced the addition of Bollywood icon and former Miss World Aishwarya Rai Bachchan to its roster of International Goodwill Ambassadors, focussed on helping the Organization’s efforts in combating the spread of HIV infections in children.In her new role, Aishwarya will help raise awareness on issues related to stopping new HIV infections in children and advocate for increased access to anti-retroviral treatment.“Spreading awareness on health issues, especially related to women and children, has always been a priority for me,” Rai said in a statement. “And now, as a new mother, I can personally relate to this – the joys and concerns of every mother and the hopes that we have for our children.”Rai will be promoting focuses on 22 countries, including India, which account for more than 90 percent of new HIV infections among children. Of those, 21 are in sub-Saharan Africa, where the estimated number of children newly infected by HIV fell by 25 percent between 2009 and 2011, UNAIDS said.Twenty-one of the countries accounted for in the Plan are in sub-Saharan Africa, where the estimated number of children newly-infected with HIV fell by 25 per cent from 2009 to 2011. Mother-to-child HIV transmission rates have also declined since 2010 with the introduction of more effective prophylaxis regimens.The UNAIDS goal, however, remains to fully eradicate new HIV infections among children by 2015.  Post Views:  154","['subsaharan', 'hivaids', 'envoy', 'infections', 'children', 'unaids', 'number', 'hiv', 'named', 'rai', 'bachchan', 'mother', 'aishwarya', 'related', 'issues']","The United Nations Monday announced the addition of Bollywood icon and former Miss World Aishwarya Rai Bachchan to its roster of International Goodwill Ambassadors, focussed on helping the Organization’s efforts in combating the spread of HIV infections in children.
In her new role, Aishwarya will help raise awareness on issues related to stopping new HIV infections in children and advocate for increased access to anti-retroviral treatment.
“Spreading awareness on health issues, especially related to women and children, has always been a priority for me,” Rai said in a statement.
Of those, 21 are in sub-Saharan Africa, where the estimated number of children newly infected by HIV fell by 25 percent between 2009 and 2011, UNAIDS said.
The UNAIDS goal, however, remains to fully eradicate new HIV infections among children by 2015."
