Headlines,Descriptions,Authors,Published_Dates,Articles,Keywords,Summaries
HIV/AIDS treatment center opens in Khost,KHOST CITY (Pajhwok): A HIV/AIDS and hepatitis-B-C treatment centre was inaugurated in southeastern Khost province on Tuesday.,Mohammad Haroon,2017-07-25 00:00:00,"KHOST CITY (Pajhwok): A HIV/AIDS and hepatitis-B-C treatment centre was inaugurated in southeastern Khost province on Tuesday.Governor Hukam Khan Habibi, while opening the center, told Pajhwok Afghan News the hospital’s building cost 56 million afghanis provided by the Ministry of Public Health (MoPH).He said the healthcare center was equipped with all tools needed for treatment of HIV/AIDS, hepatitis-B and hepatitis-C viruses and prevention of the diseases.“I ask all my brothers and sisters affected by the viruses to visit this center, they would be treated here free of cost,” he said.Provincial public health director Dr. Habib Shah Ansari called the facility a big achievement for Khost and said many people in the province carried hepatitis-B and C viruses.“Sixty-three cases of HIV/AIDS have been registered in Khost and six of them were recorded in the past six months, this center would help us a lot in eradicating the virus,” he said.According to the World Health Organization (WHO), 6,900 HIV/AIDS cases have been registered in Afghanistan.Dr. Ehsanullah Ehsan, head of national HIV/AIDS control at MoPH, said they had registered 2,290 HIV positive cases countrywide.“HIA virus cases are on the decline is in the country, but its treatment is a little difficult. Fortunately facilities that can treat the disease is available in the country and the treatment has somehow simplified,” he said.There are five HIV/AIDS virus treatment centers in the country including the one opened today in Khost.mds/ma","['treatment', 'registered', 'hivaids', 'virus', 'country', 'viruses', 'health', 'cases', 'opens', 'center', 'khost']","KHOST CITY (Pajhwok): A HIV/AIDS and hepatitis-B-C treatment centre was inaugurated in southeastern Khost province on Tuesday.
He said the healthcare center was equipped with all tools needed for treatment of HIV/AIDS, hepatitis-B and hepatitis-C viruses and prevention of the diseases.
According to the World Health Organization (WHO), 6,900 HIV/AIDS cases have been registered in Afghanistan .
“HIA virus cases are on the decline is in the country, but its treatment is a little difficult.
There are five HIV/AIDS virus treatment centers in the country including the one opened today in Khost."
Pajhwok Afghan News,,Mohammad Haroon,None,"KHOST CITY (Pajhwok): Lack of awareness about HIV/AIDS disease has been behind the increasing positive cases in southeastern Khost province, officials said Sunday.","['pajhwok', 'afghan', 'clicking', 'suggestions', 'interested', 'thoughts', 'tell']","Pajhwok is interested in your story suggestions.
Please tell us your thoughts by clicking here."
MoU on treatment of HIV/AIDS positive inmates signed,KABUL (Pajhwok): The Ministry of Public Health (MoPH) and the Ministry of Interior (MoI) on Monday signed a cooperative memorandum of understanding (MoU) on treatment of prisoners suffering from HIV/AIDS.,Pajhwok,2017-06-05 00:00:00,"KABUL (Pajhwok): The Ministry of Public Health (MoPH) and the Ministry of Interior (MoI) on Monday signed a cooperative memorandum of understanding (MoU) on treatment of prisoners suffering from HIV/AIDS.A MoPH statement said deputy public health minister Dr. Ahmad Jan Naim signed the MoU with the MoI on Monday.It quoted Naim as saying the aim of the MoU was to reduce HIV/AIDS disease in prisoners and prevent the virus spreading to healthy inmates in jails.The agreement includes treatment of HIV/AIDS positive prisoners, free of cost tests for diagnosing HIV virus, counseling, implementation of needed vaccinations and treatment of prisoners affected by TB and Hepatitis B, he said.Naim said implementation of the agreement was important for reducing and diagnosing of HIA among inmates.Policy and strategy assistant at MoI, Maj. Gen. Massoud Aziz, welcomed the agreement and said: “Addressing health related problems of prisoners is one of the government’s main jobs, the ministry supports this good action and will take serious steps for its implementation.”According to the MoPH statement, a total of 2,326 people are infected with HIV/AIDS virus across the country.mds/ma","['treatment', 'mou', 'agreement', 'hivaids', 'prisoners', 'virus', 'moph', 'inmates', 'positive', 'health', 'moi', 'signed', 'ministry']","KABUL (Pajhwok): The Ministry of Public Health (MoPH) and the Ministry of Interior (MoI) on Monday signed a cooperative memorandum of understanding (MoU) on treatment of prisoners suffering from HIV/AIDS.
A MoPH statement said deputy public health minister Dr. Ahmad Jan Naim signed the MoU with the MoI on Monday.
It quoted Naim as saying the aim of the MoU was to reduce HIV/AIDS disease in prisoners and prevent the virus spreading to healthy inmates in jails.
The agreement includes treatment of HIV/AIDS positive prisoners, free of cost tests for diagnosing HIV virus, counseling, implementation of needed vaccinations and treatment of prisoners affected by TB and Hepatitis B, he said.
Naim said implementation of the agreement was important for reducing and diagnosing of HIA among inmates."
Pajhwok Afghan News,,Mohammad Haroon,None,"KHOST CITY (Pajhwok): A HIV/AIDS and hepatitis-B-C treatment centre was inaugurated in southeastern Khost province on Tuesday. Governor Hukam Khan Habibi, while opening the center, told Pajhwok Afghan News the hospital’s building cost 56 million...","['pajhwok', 'afghan', 'clicking', 'suggestions', 'interested', 'thoughts', 'tell']","Pajhwok is interested in your story suggestions.
Please tell us your thoughts by clicking here."
Farhad Darya as the Good Will Ambassador against HIV Aids,,Zainullah mahbobi,None,"KABUL, Mar 28, 2018: Right to left, Ferozuddin Feroz, minister of public health alongside Farhad Darya, one of the most famous singers of the country signing the contract on which Farhad Darya has been selected as the Good Will ambassador against HIV aids.PAJHWOK/Zainullah Mahbobi","['ambassador', 'signing', 'public', 'singers', 'selected', 'mahbobi', 'aids', 'minister', 'mar', 'right', 'hiv', 'good', 'farhad', 'darya']","KABUL , Mar 28, 2018: Right to left, Ferozuddin Feroz, minister of public health alongside Farhad Darya, one of the most famous singers of the country signing the contract on which Farhad Darya has been selected as the Good Will ambassador against HIV aids.
PAJHWOK/Zainullah Mahbobi"
AIDS patients have doubled in Kandahar: Official,"KANDAHAR CITY (PAN): The number of AIDS patients has doubled in southern Kandahar province, an official said on Sunday.",Bashir Ahmed Naadem,2012-12-02 00:00:00,"KANDAHAR CITY (PAN): The number of AIDS patients has doubled in southern Kandahar province, an official said on Sunday.Kandahar Public Health director Dr Abdul Qayum Pakhla said AIDS cases were on the rise in Kandahar --- cases has doubled from 11 in 2011 to 22 this year.Doctors, tribal elders and the public participated in an awareness campaign organised by the Kandahar Public Health Department on Sunday.Pakhla also mentioned that three decades of war, financial problems and drug usage were the major reasons for the rise in AIDS. He said to prevent the disease people should examine their blood to detect HIV.Kandahar AIDS Prevention department head Dr Hamayoun Rehman said 1,320 blood samples were examined and 21 were positive. Among the 21 patients, 18 were males and three were females who contracted the deadly virus from their husbands.He said four people had reached a critical stage while three had died. The main source of the disease was the use of syringes used by drug addicts.AIDS awareness centres had been established in Kandahar but due to traditional beliefs and social stigma people are shying away from seeking treatment. The first AIDS patient in Afghanistan was detected in Kunduz in 2005.According to the United Nations, 34 million people are suffering from HIV worldwide and half were women.nz/vp","['patients', 'rise', 'dr', 'public', 'kandahar', 'drug', 'health', 'disease', 'aids', 'official', 'doubled']","KANDAHAR CITY (PAN ): The number of AIDS patients has doubled in southern Kandahar province, an official said on Sunday.
Kandahar Public Health director Dr Abdul Qayum Pakhla said AIDS cases were on the rise in Kandahar --- cases has doubled from 11 in 2011 to 22 this year.
Doctors, tribal elders and the public participated in an awareness campaign organised by the Kandahar Public Health Department on Sunday.
Kandahar AIDS Prevention department head Dr Hamayoun Rehman said 1,320 blood samples were examined and 21 were positive.
AIDS awareness centres had been established in Kandahar but due to traditional beliefs and social stigma people are shying away from seeking treatment."
Public awareness urged as HIV cases reach 84 in Khost,"KHOST CITY (Pajhwok): Lack of awareness about HIV/AIDS disease has been behind the increasing positive cases in southeastern Khost province, officials said Sunday.",Mohammad Haroon,2017-12-03 00:00:00,"KHOST CITY (Pajhwok): Lack of awareness about HIV/AIDS disease has been behind the increasing positive cases in southeastern Khost province, officials said Sunday.Provincial Public Health Director Dr. Habib Shah Ansari told Pajhwok on the sidelines of a gathering marking World AIDS Day here that about 84 HIV-positive cases had been registered with the HIV virus preventing centre in Khost. Of the patients, 34 are women and the remaining men.He said AIDS disease was socially considered a big shame; so many HIV-infected people didn’t dare to visit the HIV centre.He said the number of patients recorded by the World Health Organization (WHO) in the province was more than what they had registered. “We have about 84 positive cases so far, the number increased compared to the past.”The Khost Public Health Department contagious diseases section in-charge, Dr. Gul Ahmad Shah, told Pajhwok if people remained unaware how AIDS spread, more people would catch the chronic disease.“People think HIV only spreads through sexual contact, whereas this virus can be transferred from one person to another through seven different ways.”“Contact between broken skin, wounds, or mucous membranes and HIV-infected blood or blood-contaminated body fluids and others transfer the virus.”Public Health Director Ansari asked religious scholars, tribal elders and civil society activists to help in spreading awareness about HIV. “We request clerics, tribal elders and media outlets to help us in preventing this disease and promoting awareness in this regard.”World AIDS Day, designated on 1 December every year since 1988, is an international day dedicated to raising awareness of the AIDS pandemic caused by the spread of HIV infection and mourning those who have died of the disease.According to health officials, the virus has been on the rise in Afghanistan over the past few years, citing migration and people visiting various countries of the world as main reasons.sns/ma","['pajhwok', 'reach', 'day', 'public', 'urged', '84', 'virus', 'disease', 'awareness', 'cases', 'health', 'aids', 'world', 'hiv', 'khost']","KHOST CITY (Pajhwok): Lack of awareness about HIV/AIDS disease has been behind the increasing positive cases in southeastern Khost province, officials said Sunday.
Provincial Public Health Director Dr. Habib Shah Ansari told Pajhwok on the sidelines of a gathering marking World AIDS Day here that about 84 HIV-positive cases had been registered with the HIV virus preventing centre in Khost.
He said AIDS disease was socially considered a big shame; so many HIV-infected people didn’t dare to visit the HIV centre.
He said the number of patients recorded by the World Health Organization (WHO) in the province was more than what they had registered.
“We have about 84 positive cases so far, the number increased compared to the past.”The Khost Public Health Department contagious diseases section in-charge, Dr. Gul Ahmad Shah, told Pajhwok if people remained unaware how AIDS spread, more people would catch the chronic disease."
Pajhwok Afghan News,,PAJHWOK Photo,None,"HERAT CITY, Aug 24, 2016: Since the inception of HIV control programm in 2003, as many as 210 positive cases of HIV Aids has been registered in Herat.PAJHWOK/Storai Karimi","['registered', 'pajhwok', 'afghan', 'karimi', 'heratpajhwokstorai', 'city', 'positive', 'programm', 'inception', 'herat', 'hiv', 'control']","HERAT CITY, Aug 24, 2016: Since the inception of HIV control programm in 2003, as many as 210 positive cases of HIV Aids has been registered in Herat.
PAJHWOK/Storai Karimi"
"Unemployment, poverty giving rise to AIDS: AAFTU","JALALABAD (Pajhwok): Poverty, unemployment and lack of public awareness are major causes of increased HIV/AIDS cases in Afghanistan, the All Afghanistan Federation of Trade Union (AAFTU) chief said on Wednesday.",Yousuf Zarifi,2016-11-30 00:00:00,"JALALABAD (Pajhwok): Poverty, unemployment and lack of public awareness are major causes of increased HIV/AIDS cases in Afghanistan, the All Afghanistan Federation of Trade Union (AAFTU) chief said on Wednesday.Dr. Mohammad Liaqat Adil, speaking at a conference “Let’s rescue our work force from AIDS” in Jalalabad, said unemployment had increased in the country, giving rise poverty and HIV/AIDS cases.He assailed the government, particularly the Ministry of Public Health (MoPH), for launching effective public awareness programmes despite spending a lot of money on eradicating HIV/AIDS.A large number of returning Afghan refugees also contributed to increasing unemployment, an issue that needed serious attention from the government, the senior trade unionist said.But a doctor at the Nangarhar Public Health Department, Noor Hassan Basharyar, said the government had made remarkable efforts for eliminating HIV and AIDS and public awareness on the issue had increased.He added besides the public awareness programmes, the MoPH had also launched other initiatives for the prevention of the deadly disease in society, detention centers, drug addicts using injections and transmission of the virus from affected mothers to their babies.Public awareness has been spread to 11,000 school students, 2,500 university students and people at a large number of public places, like public toilets, in Nangarhar province, Hassan said.However, social discrimination against the HIV-affected people is great challenge, but the MoPH this year plans to launch a conference under ‘Please stop discrimination’ on World AIDS Day.The MoPH has not yet put a figure on the number of affected people, but based on some reports, 1,874 positive AIDS cases were registered in 2014, including 327 women and 66 children.smea/mds/mud","['rise', 'public', 'aaftu', 'giving', 'number', 'trade', 'awareness', 'moph', 'aids', 'students', 'unemployment', 'poverty', 'programmes']","JALALABAD (Pajhwok): Poverty, unemployment and lack of public awareness are major causes of increased HIV/AIDS cases in Afghanistan , the All Afghanistan Federation of Trade Union (AAFTU) chief said on Wednesday.
Dr. Mohammad Liaqat Adil, speaking at a conference “Let’s rescue our work force from AIDS” in Jalalabad, said unemployment had increased in the country, giving rise poverty and HIV/AIDS cases.
He assailed the government, particularly the Ministry of Public Health (MoPH), for launching effective public awareness programmes despite spending a lot of money on eradicating HIV/AIDS.
But a doctor at the Nangarhar Public Health Department, Noor Hassan Basharyar, said the government had made remarkable efforts for eliminating HIV and AIDS and public awareness on the issue had increased.
Public awareness has been spread to 11,000 school students, 2,500 university students and people at a large number of public places, like public toilets, in Nangarhar province, Hassan said."
Pajhwok Afghan News,,,None,Pajhwok is interested in your story suggestions. Please tell us your thoughts by clicking here.,"['pajhwok', 'afghan', 'clicking', 'suggestions', 'interested', 'thoughts', 'tell']","Pajhwok is interested in your story suggestions.
Please tell us your thoughts by clicking here."
