Headlines,Descriptions,Authors,Published_Dates,Articles,Keywords,Summaries
MAKER OF POTENTIAL HIV CURE SPEAKS UP!,"News of a ""potential HIV cure"" had many on social media in a frenzy, but the maker of the drug has moved to temper expectations, saying more trials are needed, and the process is in its infancy.",,2018-11-08T19:00:03.000Z,"News of a ""potential HIV cure"" had many on social media in a frenzy, but the maker of the drug has moved to temper expectations, saying more trials are needed, and the process is in its infancy.Israeli-based pharmaceutical company, Zion Medical, which recently broke the news of a successful first clinical trial for what they called a potential HIV cure, has issued a further statement on Twitter making it clear that more trials will be needed, and their official results will need to be published and peer-reviewed.Since the company made the announcement on 31 October, there has been a wave of excitement on social media in particular, with people clamouring for more information on the ""potential cure"".According to the World Health Organisation, at the end of 2017 approximately 36.9 million people worldwide were living with HIV.In a statement at the time, Zion Medical announced the results of the first clinical trial of its HIV-drug Gammora, which, the company said, eliminated up to 99% of the HI virus within four weeks of treatment.Nine HIV-infected patients took part in ""Part I and II"" of the trial, at Dr. Ronald Bata Memorial Hospital in Entebbe, over 10 weeks.But the company has moved to temper expectations, saying on Twitter: ""We want to thank everyone for their interest in the promising results of our first clinical trial. Like you, we are hopeful that #Gammora may one day offer those affected by #HIV a viable path to ridding themselves of infection. Much work remains in this mission including additional trials, publication of results and the steps required to make #Gammora commercially available.""We are not there yet, but we are a step closer, hopeful – and committed to keeping you informed of our progress.""The company also acknowledged that the official results should be peer-reviewed in a scientific journal, which it hopes to have done in early 2019.Lengthy processProfessor Adrian Puren, Head of the HIV Surveillance and Sero-Molecular Diagnostic Section at the National Institute for Communicable Diseases (NICD), told Health24 that there is a lengthy process that needs to be followed, before being bold enough to call the drug a potential cure.""You would need to go through several stages to prove something like this. Doing the research, gathering the evidence and building up all that's required to find some potential is important.""There are different phases that you would need to go through as well. You may need to do an animal trial, then a small human trial - the process is complex and you may need to start out really small and run several tests in order to determine that the drugs aren't toxic and that there aren't any harmful side effects.""You would also need to test the efficacy of the medication at various stages, going through the different phases of trials. At some stage you would also need to run randomised tests so that you eliminate biases from the research and really make sure people aren't being harmed.""Going through something like this is not easy. It is highly complex, needs to be detailed and it's quite expensive. If I were going to look into this drug, I would want to see the published literature and be able to trace everything back to the authors, knowing that everything has been reviewed.""Once all of the research has been done, it's been reviewed and it is run through all the regulatory authorities, various ethics boards, and sufficiently scrutinised, then a company will be able to make a statement like that. And when they do make announcements like this, they usually do it at big conferences,"" said Puren.The Health Department's Deputy Director General for HIV/AIDS, TB and Maternal, Child and Women's Health, Dr Yogan Pillay, added, ""As far as we are aware, there is no published clinical trials on this.""Unless this is published in peer reviewed journals and the World Health Organisation approved this drug, we cannot take this claim seriously.""QuackeryOn Tuesday, a prominent SA HIV scientist slammed the ""cure"", which was widely being punted on social media, as smacking of ""quackery"".""The HIV world has seen quackery in different forms for decades – sadly this smacks of more of it,"" Professor Francois Venter from the University of Witwatersrand's Reproductive Health and HIV Institute, told Health-e News.He said that saying the drug is a potential cure with no side-effects are ""over-the-top biological claims that appear in public before the formal literature [is published] and should be viewed with deep scepticism"".""I looked at the press report and the unsophisticated company website, and even if you believe their claims, they are many years away from testing them,"" said Venter.Zion Medical is a relatively new company, established in 2014. According to the company website, it develops AIDS and Cancer curing products based on peptides derived from HIV and targeted lentivirus particles.It lists its partners as The Hebrew University of Jerusalem, Mount Sinai Hospital in New York (USA), and the Tel-Aviv Sourasky Medical Center, among others.All of Health24's attempts to contact Zion Medical directly for further comment have so far been unsuccessful - all forms of electronic mails have been undeliverable due to an invalid email address and all telephone calls go unanswered.- Health24","['potential', 'need', 'trial', 'trials', 'results', 'medical', 'speaks', 'hiv', 'cure', 'published', 'maker', 'company', 'health']","News of a ""potential HIV cure"" had many on social media in a frenzy, but the maker of the drug has moved to temper expectations, saying more trials are needed, and the process is in its infancy.
According to the World Health Organisation, at the end of 2017 approximately 36.9 million people worldwide were living with HIV.
Like you, we are hopeful that #Gammora may one day offer those affected by #HIV a viable path to ridding themselves of infection.
QuackeryOn Tuesday, a prominent SA HIV scientist slammed the ""cure"", which was widely being punted on social media, as smacking of ""quackery"".
According to the company website, it develops AIDS and Cancer curing products based on peptides derived from HIV and targeted lentivirus particles."
SECOND PERSON ‘CURED’ OF HIV,A LONDON man appears to be free of HIV after a stem cell transplant.,Health24,2019-03-05T13:05:29.000Z,"A LONDON man appears to be free of HIV after a stem celltransplant.He is the second apparent success using this medicalprocedure, after the so-called ""Berlin patient"", doctors reported.The Berlin patient is Timothy Ray Brown, an American mantreated in Germany, who is still free of HIV 12 years after the procedure.Until now, Brown is the only person thought to have been cured of infectionwith HIV, the virus that causes Aids.Such transplants are dangerous and have failed in otherpatients. They're also impractical to try to cure the millions alreadyinfected.The latest case ""shows the cure of Timothy Brown wasnot a one-off and can be recreated"", said Dr Keith Jerome of FredHutchinson Cancer Research Center in Seattle. He added that it could lead to asimpler approach that could be used more widely.The patient has not been identified. He was diagnosedwith HIV in 2003 and started taking drugs to control the infection in 2012. Hedeveloped Hodgkin's lymphoma that year and agreed to a stem cell transplant totreat the cancer in 2016.His doctors believed that with the right kind of donor theLondon patient might not only have his cancer cured, but possibly even his HIVinfection.Doctors found a donor with a gene mutation that gives naturalresistance to HIV. About 1% of people descended from northern Europeans haveinherited the mutation from both parents and are immune to most HIV. The transplant changed the London patient's immunesystem, giving him the donor's mutation and HIV resistance.It is too soon to tell if the “cure” will be permanent ornot. https://www.health24.com/Medical/HIV-AIDS/News/second-man-seems-to-be-free-of-hiv-after-stem-cell-transplant-20190305","['stem', 'timothy', 'cured', 'transplant', 'brown', 'hiv', 'second', 'london', 'cure', 'patient', 'mutation', 'person', 'cancer']","A LONDON man appears to be free of HIV after a stem cell transplant.
The Berlin patient is Timothy Ray Brown, an American man treated in Germany, who is still free of HIV 12 years after the procedure.
Until now, Brown is the only person thought to have been cured of infection with HIV, the virus that causes Aids.
His doctors believed that with the right kind of donor the London patient might not only have his cancer cured, but possibly even his HIV infection.
The transplant changed the London patient's immune system, giving him the donor's mutation and HIV resistance."
AIDS CURE A POSSIBILITY!,"FORMER president Jacob Zuma’s boasting, in a tweet, about Mzansi having the largest HIV/Aids treatment programme in the world brought to mind the story of an alleged breakthrough by a Chinese scientist, He Jianku.",,2019-02-03T06:00:22.000Z,"FORMER president Jacob Zuma’s boasting, in a tweet, about Mzansi having the largest HIV/Aids treatment programme in the world brought to mind the story of an alleged breakthrough by a Chinese scientist, He Jianku.First, Zuma wrote that more than3,9 million people were on the supposedly life pro-longing antiretroviral (ARV) drugs as of August 2017.At the time, the number of Mzansi HIV-positive people was said to be at more than 70 million.Now, Jianku has apparently edited or modified the DNA of recently-born twin girls, Lulu and Nana, such that they are protected from contracting the Aids-causing HIV.Surely, that should be a feat worthy of a Nobel Peace Prize.But there’s a big problem.Soon after revealing the results of his exploits in November, Jianku allegedly received death threats and went missing in early December.The scientist has also been vilified.The scientific community has accused him of ethical issues and experimenting on humans with a dangerous technology, a gene-editing tool called, CRISPR-Cas9.But this accusation assumes other sorts of accepted hi-tech products, like cars, aren’t dangerous.Also, Jianku might be facing possible corruption and bribery charges, which are punishable by death in China.The Chinese scientist appears to be truly some kind of a threat to business as usual, a problem to be neutralised or eliminated at all costs.Come to think of it, what will happen to the profits of pharmaceutical companies producing ARVs and other medication fed to those said to be infected by the virus?The 3,9 million people or the targeted more than 7 million South Africans living with Aids are simply a market, not humans, for pharmaceutical companies.Jianku, just like former president Thabo Mbeki, is trying to mess with the wealth accumulation programme, camouflaged as fake care, of some multinational corporates.In the name of health, many people are turned into addicts of chronic and other medication every day, so they become repeat customers.HERE’S the most revealing line from the Jianku affair: there’s fear that changes made on the DNA of the babies could be passed on to their next generations.Since when is passing on good genes, especially those that could possibly protect against diseases like HIV/Aids, be a bad thing?Perhaps, Jiaku’s achievement presents an opportunity.Governments of the continent might want to request Chinese authorities to donate Jianku to the Motherland instead of putting him to death.Africa could do with such a maverick, especially since it has been reported that 70% of the global HIV market (totaling nearly 37 million) is in Africa.","['aids', 'programme', 'possibility', 'president', 'million', 'pharmaceutical', 'mzansi', 'jianku', 'cure', 'chinese', 'theres', 'revealing', 'scientist']","First, Zuma wrote that more than3,9 million people were on the supposedly life pro-longing antiretroviral (ARV) drugs as of August 2017.
At the time, the number of Mzansi HIV-positive people was said to be at more than 70 million.
The Chinese scientist appears to be truly some kind of a threat to business as usual, a problem to be neutralised or eliminated at all costs.
The 3,9 million people or the targeted more than 7 million South Africans living with Aids are simply a market, not humans, for pharmaceutical companies.
Governments of the continent might want to request Chinese authorities to donate Jianku to the Motherland instead of putting him to death."
LOVE'S STRONGER THAN HIV,Dear MizzB.,,2019-02-17T05:30:02.000Z,"Dear MizzB I AM a 24-year-old HIV-positive woman.  My ex deliberately infected me by removing the condom while we were having sex.  I have left him and I’m taking treatment.  I recently met someone, but I’m afraid of having sex with him as I fear I could infect him.  Is it safe for an HIV-positive woman to date? LadyDear LadyThere is no reason an HIV-positive woman should not enjoy sex, as long as precautions are taken consistently. The most important thing is to be honest about your status before any sexual encounter takes place. You should also encourage your partner to get tested. In the event that your partner is HIV negative, pre-exposure prophylaxis is available.Continue to take your treatment consistently. For more info, send a Please Call Me to 083 323 1023 or email mizzb@lovelife.org.za","['hivpositive', 'loves', 'partner', 'having', 'hiv', 'sex', 'stronger', 'treatmenti', 'thing', 'im', 'womanmy', 'treatment', 'woman']","Dear MizzBI AM a 24-year-old HIV-positive woman.
My ex deliberately infected me by removing the condom while we were having sex.
I recently met someone, but I’m afraid of having sex with him as I fear I could infect him.
Is it safe for an HIV-positive woman to date?
LadyDear LadyThere is no reason an HIV-positive woman should not enjoy sex, as long as precautions are taken consistently."
MY SON GOT HIV FROM RAPIST DAD!,A MUM is still trying to come to terms with the pain of knowing her nine-year-old son was raped and infected with HIV by his father.,Lethabo Khambule,2018-11-13T08:00:06.000Z,"A MUM is still trying to come to terms with the pain of knowing her nine-year-old son was raped and infected with HIV by his father. Over a year after she opened a case, the 28-year-old from Joburg is still waiting for justice. She said the boy’s father was arrested but released on bail for further investigations. However, the SunTeam has learned the case has been closed. The mum said the boy has had trouble walking since he was five, but she was told he suffered from a condition called palsy. However, after he was in hospital in 2016, social workers told her the child had been raped.The woman said shortly after her son’s birth, he was sent to Tshwane to live with his father while she remained in Limpopo to finish school.“One morning, I received a call from a social worker informing me my son had been admitted. “When I learned what had happened, I thought it could be his father because he was once accused of raping a toddler.“But I chose not to believe it,” said the mum. She said the boy later told his social worker his father had raped him. “He said he feared talking about it because his gogo once walked in on his dad putting his penis in his bum but she quickly closed the bedroom door and didn’t say anything.” Police spokesman Captain Samuel Sebola said the case was closed in April. He advised the mum to approach the sexual offences unit for more information.","['father', 'closed', 'son', 'rapist', 'told', 'hiv', 'worker', 'learned', 'social', 'dad', 'mum', 'case', 'raped']","A MUM is still trying to come to terms with the pain of knowing her nine-year-old son was raped and infected with HIV by his father.
Over a year after she opened a case, the 28-year-old from Joburg is still waiting for justice.
However, after he was in hospital in 2016, social workers told her the child had been raped.
“One morning, I received a call from a social worker informing me my son had been admitted.
She said the boy later told his social worker his father had raped him."
MY BOYFRIEND IS HIV-POSITIVE,Dear MizzB.,,2019-03-03T11:15:01.000Z,"Dear MizzB I’m a 23-year-old woman who is in a relationship. Recently, my boyfriend fell ill and he went to the clinic. When he came back he didn’t say anything.  We continued having unprotected sex and after that he disclosed that he had tested HIV- positive. I’m scared of going to the clinic as I fear I might be HIV-positive too now. Please help. GirlfriendHey GirlfriendIt’s normal for you to feel anxious about testing for HIV as you are at risk. Knowing your status is important because early detection leads to early treatment. This will also empower you to live a healthier life. You can also get an “OraQuick” self-screening test kit to use in the privacy of your own home, so that you know where you stand. Knowledge is power!","['hivpositive', 'boyfriend', 'treatmentthis', 'hiv', 'early', 'went', 'testing', 'tested', 'clinic', 'unprotected', 'test', 'woman']","Recently, my boyfriend fell ill and he went to the clinic.
We continued having unprotected sex and after that he disclosed that he had tested HIV- positive.
I’m scared of going to the clinic as I fear I might be HIV-positive too now.
GirlfriendHey GirlfriendIt’s normal for you to feel anxious about testing for HIV as you are at risk.
You can also get an “OraQuick” self-screening test kit to use in the privacy of your own home, so that you know where you stand."
MYTHS PEOPLE STILL BELIEVE ABOUT HIV/AIDS!,"HIV has become completely manageable, but it is surprising how many people still believe some of the misconceptions about the condition.",,2018-12-04T21:00:03.000Z,"HIV has become completely manageable, but it is surprisinghow many people still believe some of the misconceptions about the condition. The theme of 2018 is “Know your status”, which emphasises theimportance of getting tested.Here are a couple of misconceptions that need to be clearedup. Some are harsh and ignorant untruths while others are just absolute myths.1. Only 'high-risk people such as homosexuals andpromiscuous people' should be tested for HIV.First, what defines “high risk”? Being with one long-termpartner does not mean that you will never contract HIV.“HIV can happen to anyone. It’s not a disease of thepromiscuous. Think about survivors of rape or someone born with HIV,” saysBarbara Kingsley, an HIV activist who was diagnosed in 2000.And regardless of that, no-one should be shamed for theirsexual choices and lifestyle.It’s important to know your status as symptoms may notmanifest for years and people can be completely unaware that they have HIV. Theearlier you know your status, the earlier you can start taking antiretrovirals(ARVs) to combat the virus and take control of your status. You will also needto know your status to reduce the risk of infecting other possible sexualpartners.Regular testing will also help you raise awareness and breakthe stigma surrounding HIV/Aids by improving the negative attitudes andperceptions in your own family and circle of friends, even if you are with along-term partner or not having sex at all.2. You will get very sick and die if you are HIV positive.Yes, HIV can lead to Aids. Yes, Aids can be fatal. Does thismean that you are immediately doomed as soon as you are tested positive?Certainly not. Nowadays, HIV is well controlled through ARVs, and many HIVpositive people live completely healthy, happy lives.It may take years for the immune system to deteriorate tosuch an extent that someone living with HIV becomes ill and is diagnosed withAids. According to the World Health Organization (WHO), HIV willprogress to Aids if not treated with ARVs. This will usually happen after about10 to 15 years, and before it happens, people with HIV may look and feelperfectly well and can continue life to the fullest.HIV is no longer a death sentence and the sooner you aretested, the sooner you can start the proper treatment.3. 'I will never contract HIV/Aids. It’s a disease that onlypoor people get.'This statement is so harsh that you cannot imagine anyonesaying it out loud. The truth is, HIV is blind to colour or economic status.According to a paper published in the journal AIDS, stigmasurrounding HIV/Aids is a big factor in the limitation of proper treatment. You as an individual might feel helpless in the face of thequest to find a cure for HIV, or to ensure that everyone has access to medicineand medical care. But what you can do is to start changing the views andperceptions of people in your immediate circle, which can have a wider effecton society.4. 'He/she is very skinny. They must have HIV/Aids.'Progressive Aids in its end stages can cause weight loss andan impaired immune system. Untreated HIV can lead to Aids. However, there is noway of telling someone’s status by simply looking at them.Physical signs and symptoms can take years to manifest ormay never do so, especially when an HIV positive person is taking ARVs and hasa healthy, active lifestyle.5. It’s impossible to marry/have a sexual relationship ifyou are HIV positive.Unprotected sex is the most common way of spreading HIV. Butwith protection, there is no reason why an HIV positive person can’t have afulfilling relationship with an HIV negative person.With proper treatment and management through ARVs, there isa chance that the viral load (the presence of HIV in your blood) may beundetectable. Research has shown that having an undetectable viral load canlead to little to no risk of spreading the virus to other people.However, Barbara Kingsley says that it remains importantalways to use protection, no matter what your viral load:""The goal of ARVs is for the virus to eventually becomeundetectable. This means that if you have an undetectable viral load for aperiod of six months or longer you cannot pass the virus on to others. It isvery important to understand that this doesn't protect you against pregnancy orany other STD, and that you can still practise irresponsible sex — you shouldideally be in a monogamous, long-term relationship. An undetectable state canONLY be achieved with ARVs, something that has been scientifically proven andinternationally accepted. (It, however, doesn’t mean that you can haveunprotected sex as you wish.)""Health24 previously told the story of Quinton Jonck, a SouthAfrican living with HIV. He said the following: “My wife is wonderful – I tried to break it off with herearly on in our relationship because I believed we had no future. She wanted tohear nothing about that and two years later we got married. “Five years after we got married we had our first child. Hewas conceived using a procedure called sperm washing and insemination. When wehad the next two children, I was on medication to take my viral load down tozero and we took a chance just at the right time. Now we have three children –two boys and a girl [all HIV negative].  “We are very happy and my wife is still HIV negative afteralmost 14 years of marriage. Although we only found out about my status afterwe met, we have always used condoms.Get testedIt's important to know your status. You can get tested atany of the following institutions, in both the public and private sectors:HospitalsClinicsPharmacies who offer clinic servicesCommunity health centresFamily planning clinicsSTD clinicsPathological laboratoriesMake sure that these institutions offer HIV/Aids counsellingto help you process the result and to answer any further questions.SOURCE: NEWS24","['undetectable', 'aids', 'myths', 'virus', 'hiv', 'arvs', 'tested', 'sex', 'hivaids', 'status', 'believe', 'know', 'viral']","HIV has become completely manageable, but it is surprising how many people still believe some of the misconceptions about the condition.
You will also need to know your status to reduce the risk of infecting other possible sexual partners.
According to a paper published in the journal AIDS, stigma surrounding HIV/Aids is a big factor in the limitation of proper treatment.
Research has shown that having an undetectable viral load can lead to little to no risk of spreading the virus to other people.
This means that if you have an undetectable viral load for a period of six months or longer you cannot pass the virus on to others."
DO NOT STOP TAKING HIV TREATMENT!,"EVEN though there has been a lot of improvement when it comes to curbing HIV/Aids-related deaths, there is still a long way to go.",Zimbili Vilakazi,2018-12-03T21:00:08.000Z,"EVEN though there has been a lot of improvement when it comes to curbing HIV/Aids-related deaths, there is still a long way to go. This was the sentiment voiced by eThekwini’s mayor, Zandile Gumede, on Saturday. Gumede was addressing hundreds of residents at Siripat sport grounds in Reservoir Hills, Durban, during an International World Aids Day celebration. More than 4,2 million South Africans are on the HIV treatment programme, which has helped monitor the disease and resulted in a drop in fatalities. Gumede urged those on the programme to not stop taking their medication. “If a person dies of Aids these days, they are choosing that path voluntarily because we have a proper programme that ensures those who are infected live longer.” She urged people who are not infected to ensure they use condoms, so they are safe from contracting the sexually transmitted disease. Resident Nokubonga Zungu (34) said they were grateful to have such events, but she wished they did not happen only on World Aids Day. “These events are an eye opener.”Before the event there were voluntary HIV, diabetes and blood pressure check-ups.","['aids', 'programme', 'zandile', 'world', 'taking', 'hiv', 'gumede', 'zungu', 'stop', 'infected', 'urged', 'treatment', 'events']","This was the sentiment voiced by eThekwini’s mayor, Zandile Gumede, on Saturday.
Gumede was addressing hundreds of residents at Siripat sport grounds in Reservoir Hills, Durban, during an International World Aids Day celebration.
More than 4,2 million South Africans are on the HIV treatment programme, which has helped monitor the disease and resulted in a drop in fatalities.
Gumede urged those on the programme to not stop taking their medication.
“These events are an eye opener.”Before the event there were voluntary HIV, diabetes and blood pressure check-ups."
MY HIV DENIAL NEARLY COST ME MY LIFE,SHE calls herself uBabe we HIV and shares the naked truth about living with the virus.,Lethabo Khambule,2018-09-09T13:00:10.000Z,"SHE calls herself uBabe we HIV and shares the naked truth about living with the virus. Lebogang Motsumi, an HIV positive activist and entrepreneur, recently told Daily Sun she had dedicated herself to educating young people to prevent them from making the same mistakes she did. The 29-year-old from Parktown in Joburg said she almost died before she accepted her HIV status and started leading a happy life. She said she was only 17 when she was infected by her boyfriend, a well-known singer who has since died.“We had sex without a condom because no one spoke about it. I feared pregnancy more than HIV because I thought it only affected older people,’ she said. “I thought I couldn’t have it because I was young, beautiful and chubby. I associated it with people from poor communities and thought they looked skinny with their hair falling out.” Lebogang said even after the man who infected her had told her the truth and died, she didn’t believe she could have HIV. Three years later, Lebogang met a new man and he insisted they go for an HIV test after the condom they used burst. “I started taking my medication because it was the right thing to do, but I didn’t understand the importance of it. “I later joined a church where the pastor claimed he could cure the disease and stopped taking my medication. “I got very ill and was hospitalised for six months and was bedridden,” said Lebogang.She said after she almost died, she decided to become involved in activism to educate young people about sex and HIV. “I came up with the name uBabe we HIV to bring attention to the topic and break the stigma around the disease,” she said.","['thought', 'ubabe', 'life', 'told', 'truth', 'taking', 'hiv', 'died', 'cost', 'sex', 'started', 'young', 'denial', 'nearly']","SHE calls herself uBabe we HIV and shares the naked truth about living with the virus.
The 29-year-old from Parktown in Joburg said she almost died before she accepted her HIV status and started leading a happy life.
“I started taking my medication because it was the right thing to do, but I didn’t understand the importance of it.
She said after she almost died, she decided to become involved in activism to educate young people about sex and HIV.
“I came up with the name uBabe we HIV to bring attention to the topic and break the stigma around the disease,” she said."
SA PASSES FOR HIV TREATMENT BUT FAIL FOR CONDOMS,"While South Africa has increased HIV spending at district level with stellar results, access to condoms has plummeted, according to the latest District Health Barometer (DHB).",,2019-02-02T06:30:02.000Z,"While South Africa has increased HIV spending at district level with stellar results, access to condoms has plummeted, according to the latest District Health Barometer (DHB). District health expenditure on HIV has more than doubled in the last decade, which is an indicator of “significant progress” in moving towards a primary health care-oriented system, according to the Health Systems Trust’s (HST) Candy Day, who was commenting on the 13th edition of the DHB. Play Video1m 0sThe HIV prevention drug dividing opinionPrep is a drug which can stop people getting HIV but not everyone wants to take it.Published on Thursday evening by the HST, the report revealed that, as a percentage of total spending on HIV, district health service expenditure has jumped from 7.3% to over 20% over the past 14 years. But, consistent condom use “continues to be low” and can be linked the number of condoms distributed by government, which fell sharply over the past year. Between 2016/17 and 2017/18, the condom distribution rate dropped from an average of 48 to 36 condoms distributed per adult male per yearHowever, the researchers suggested that the rate may have been historically lower than reported and that this might be the most accurate estimate for condom distribution South Africa has ever had. They noted that this was because the data source for these statistics has recently changed and is now “more accurate than the recording done by facilities in the past”.Day, who is a technical specialist for the HST, told Health-e News that the increase of district-level spending has been largely driven the country’s continuously expanding HIV treatment programme which remains the largest in the world. Over four million people access antiretroviral medication through the state - mostly at primary level - which has driven this positive shift in expenditure. “Primary health care is the level of care that is the closest to the community and therefore has an important role in responding to the immediate healthcare needs of the community and preventing further ill health,” according to the report. At a time when the feasibility of the government’s National Health Insurance (NHI) scheme is being routinely questioned, the report authors noted that this shift in spending is essential because primary health care is the “fundamental building block” and “heartbeat” of the NHI. “There is overwhelming international evidence that increased health expenditure is associated with better health outcomes – and [primary health care] plays a pivotal role in improving the health of communities.”– Health-e News.Amy Green","['fail', 'condoms', 'care', 'rate', 'primary', 'hiv', 'passes', 'report', 'condom', 'spending', 'role', 'treatment', 'shift', 'health']","The HIV prevention drug dividing opinionPrep is a drug which can stop people getting HIV but not everyone wants to take it.
Published on Thursday evening by the HST, the report revealed that, as a percentage of total spending on HIV, district health service expenditure has jumped from 7.3% to over 20% over the past 14 years.
But, consistent condom use “continues to be low” and can be linked the number of condoms distributed by government, which fell sharply over the past year.
Over four million people access antiretroviral medication through the state - mostly at primary level - which has driven this positive shift in expenditure.
“There is overwhelming international evidence that increased health expenditure is associated with better health outcomes – and [primary health care] plays a pivotal role in improving the health of communities.”– Health-e News."
