Headlines,Descriptions,Authors,Published_Dates,Articles,Keywords,Summaries
Report: 193 tested HIV-positive in 8 southern districts,The report highlights that returning expatriates are a prime contributor to spreading the virus,Tribune Desk,2018-09-30 00:00:00,"Representational photo Bigstock

The report highlights that returning expatriates are a prime contributor to spreading the virus

According to a report released by a local volunteer organization, at least 193 people have tested HIV- positive in eight of the country's southern districts.

Among them, 84 (53 men and 31 women) have tested HIV-positive in Khulna district alone, while the other 109 are from the: Jhenidah, Gopalganj, Jashore, Satkhira, Bagerhat, Narail, and Magura districts. This is according to Mukto Akash Bangladesh (MAB) a volunteer organization workingon AIDS-related issues.

When contacted, Khulna Civil Surgeon Dr Abdur Razzak said that they cross-checked the findings released by MAB and corroborated them, reports UNB.

The report also said expatriates returning from foreign countries such as: India, Malaysia, Singapore, Saudi Arabia, and the USA, are the ones responsible for spreading the deadly virus in the districts.

No HIV virus was detected among sex workers of the district.

The number of deaths caused by the virus has been increasing rapidly in the southern districts, the report mentions. The worst-affected areas among the districts are Benapole, Chaugachha, and Khulna town, because the citizens of those areas frequently work in foreign countries, especially India, and carry the lethal virus back.

Sources at Khulna Medical College and Hospital said at least 31 HIV patients underwent treatment at the hospital this year, and three have died.

MAB Coordinator Rehena Begum said the organization is working on raising awareness among the public, regarding the deadly disease—as well as providing nutritional and medical support to HIV patients.","['report', 'hiv', '193', 'spreading', 'organization', 'khulna', 'virus', 'southern', 'hivpositive', 'volunteer', 'districts', 'tested']","Representational photo BigstockThe report highlights that returning expatriates are a prime contributor to spreading the virusAccording to a report released by a local volunteer organization, at least 193 people have tested HIV- positive in eight of the country's southern districts.
Among them, 84 (53 men and 31 women) have tested HIV-positive in Khulna district alone, while the other 109 are from the: Jhenidah, Gopalganj, Jashore, Satkhira, Bagerhat, Narail, and Magura districts.
This is according to Mukto Akash Bangladesh (MAB) a volunteer organization workingon AIDS-related issues.
No HIV virus was detected among sex workers of the district.
The number of deaths caused by the virus has been increasing rapidly in the southern districts, the report mentions."
"HIV deaths: Bangladesh ranks 10th in Asia, India 1st","There are currently around 12,000 HIV-positive people in Bangladesh",Tribune Desk,2018-01-26 00:00:00,"Bangladesh recorded the 10th highest number of deaths from HIV/AIDS among Asian countries in 2016, the Joint United Nations Programme on HIV/AIDS (UNAIDS) has revealed. According to the recent UNAIDS report 2017, around 1,000 people died in Bangladesh in 2016 due to the virus. A data comparison from 2016 of South Asian countries shows that India suffered the highest number of deaths from AIDS in Asia - 62,000 - while Bangladesh is behind Pakistan (5,500 deaths) and Nepal (1,700 deaths). [caption id=""attachment_242867"" align=""aligncenter"" width=""683""] Screenshot of a graph from UNAIDS website shows the data on HIV deaths in South Asian countries[/caption] Sri Lanka recorded 110 deaths and 360 people died in Afghanistan due to virus in the same year, according to the report. Around 12,000 people who have contracted HIV are currently living in Bangladesh. Of them, 7,500 are male and aged 15 or above, according to UNAIDS data. About 1,500 people have been newly affected by the virus. Around 7,900 people under the age of 17 have been orphaned by the virus. However, only 1,800 AIDS affected people in the country are receiving antiretroviral therapy (ART). [caption id=""attachment_242834"" align=""aligncenter"" width=""1291""] Screenshot of a graph from UNAIDS website shows the data on HIV deaths in South Asian countries[/caption] There were around 170,000 AIDS-related fatalities in the Asia Pacific region in 2016, according to the UNAIDS report. The number has declined since 2010, when around 240,000 deaths were recorded. It also added that around one million people died worldwide in 2016 due to the virus. According to UNAIDS, an estimated 5.1 million in the Asia Pacific region are living with HIV at present, while only 2.4 million have access to treatment. Data on China is not available. India has the third largest population of people with HIV after South Africa and Nigeria.","['south', 'hiv', 'data', 'asia', 'ranks', 'asian', 'bangladesh', 'virus', 'deaths', '10th', 'according', '2016', '1st', 'unaids', 'india']","Bangladesh recorded the 10th highest number of deaths from HIV/AIDS among Asian countries in 2016, the Joint United Nations Programme on HIV/AIDS (UNAIDS) has revealed.
According to the recent UNAIDS report 2017, around 1,000 people died in Bangladesh in 2016 due to the virus.
A data comparison from 2016 of South Asian countries shows that India suffered the highest number of deaths from AIDS in Asia - 62,000 - while Bangladesh is behind Pakistan (5,500 deaths) and Nepal (1,700 deaths).
Of them, 7,500 are male and aged 15 or above, according to UNAIDS data.
India has the third largest population of people with HIV after South Africa and Nigeria."
World AIDS Day observed: Tuberculosis patients at high risk of HIV,The World Aids Day was observed yesterday across Bangladesh aiming at raise awareness of HIV and AIDS and to honour those who passed from AIDS related complications,"Hedait Hossain Molla, Khulna",2016-12-02 00:00:00,"This year’s slogan for the day is “Let’s raise hands of unity, let’s prevent AIDS.” On the occasion, the STI/AIDS Network of Bangladesh, Ministry of Health & Family Welfare and various NGOs brought out a processions from the Shahabag intersection on Thursday morning and paraded different thoroughfares before ending at Osmani Udyan. The reported number of HIV positive cases in the country was 4,143 with estimated number of nearly 9,000, according to the statistics of UNAIDS Bangladesh. According to the Mukta Akash Bangladesh, a non-government organisation, Tuberculosis patients are at high risk of the deadly disease Human Immunodeficiency Virus (HIV). Already three Tuberculosis patients in Khulna have been affected with HIV virus recently. According to the NGO, the numbers of HIV positive people are increasing day by day due to lack of consciousness. In last one year from December 31, 2015 to November 30, 2016, a total of 51 people, including 10 children were infected by HIV/AIDS in Khulna. Abu Mohammad Ali Javed, councilor and administrator of Mukta Akash Bangladesh, told the Dhaka Tribune that three Tuberculosis patients had been infected with HIV/AIDS recently. Terming Tuberculosis virus as nearly same as the HIV, he said: “A total of 37 people were infected with HIV virus in last one year from December 31, 2015 to November 30, 2016 in Khulna. Six of the affected died during the tenure.” Rehana Begum, co-coordinator of Mukta Akash Bangladesh, said: “A total of 69 people in the area are HIV positive and six of them already died. Most the infected are residents of Narail, Jessore, Satkhira and Bagerhat.” Senior Health Officer of Khulna Md Abul Kalam Azad, said: “In 2015 there were 25 HIV positive people in Khulna. In this year, 51 more people were infected with the virus.” Sources of World Vision Bangladesh said about 5.1 millon Indian are infected with HIV. Everyday nearly thousands truck driver entered Bangladesh and most of them are HIV infected. These drivers sometimes engaged in physical relation with Bangladeshi girls without using any protection. Not only this, in last two years, from 2014 to 2016, total 2,234 people in India have been infected by the HIV. Earlier, experts warned that Bangladesh is a low HIV prevalence country with several well-documented at-risk groups, the most prominent of which is brothel-based sex workers and injecting drug users. Although prevalence rate is remaining low in the country, it is surrounded by nations with much higher prevalence rates and with its own at-risk population. The World AIDS Day is observed on December 1 every year to raise awareness about acute immune deficiency syndrome (AIDS) caused by HIV, and to demonstrate international solidarity in the face of the endemic. The day is an opportunity for public and private partners to disseminate information about the status of the pandemic and encourage progress in HIV prevention, treatment and care around the world, particularly in high prevalence countries.Health and Family Welfare Minister Mohammad Nasim today said Bangladesh has been successful in controlling HIV and AIDS and it must continue the existing efforts to end these sexually transmitted diseases by 2030. “The government along with local and international organizations would be able to free the country from HIV and AIDS,” he told a discussion in the Osmani Memorial Auditorium here.","['day', 'hiv', 'total', 'bangladesh', 'prevalence', 'virus', 'tuberculosis', 'high', 'patients', 'aids', 'world', 'observed', 'khulna', 'risk', 'infected']","According to the Mukta Akash Bangladesh, a non-government organisation, Tuberculosis patients are at high risk of the deadly disease Human Immunodeficiency Virus (HIV).
Already three Tuberculosis patients in Khulna have been affected with HIV virus recently.
According to the NGO, the numbers of HIV positive people are increasing day by day due to lack of consciousness.
Everyday nearly thousands truck driver entered Bangladesh and most of them are HIV infected.
The World AIDS Day is observed on December 1 every year to raise awareness about acute immune deficiency syndrome (AIDS) caused by HIV, and to demonstrate international solidarity in the face of the endemic."
"Fight HIV, not sex workers",We need to address the social problems that make sex workers vulnerable to HIV,Md Abdul Quayyum,2016-12-18 00:00:00,"“My father died in a road accident when I was only four years old. I never got a chance at schooling. At six I was sent to Dhaka for domestic work and continued till 13. Then my mother wanted me to get married, but I didn’t want that at the age of 13, so I escaped with a friend. But later I fell into the trap and became a sex worker. Since then I am into this trade, and often I am a victim of physical and sexual assault.” -- A sex worker.

Each year we observe World Aids Day on December 1 along with the globe seeking to lift up awareness to prevent the spread of HIV or AIDS. Though Bangladesh has had a historically lower rate of HIV infection compared to the rest of the world, violence against female sex workers still remains a big threat in terms of HIV and AIDS.

They are one of the key groups most vulnerable to HIV infection in Bangladesh and also in other countries of the world, along with people who inject drugs, men who have sex with men, male sex workers, and transgender/hijra.

But sex workers are among those who are most vulnerable to HIV infection, as it spreads rapidly among sex workers. In many cases, sex workers have no access to condoms, or are not aware of their importance. They are simply powerless to negotiate safer sex.

Clients may refuse to pay for sex if they have to use a condom, and use intimidation or violence to force unprotected sex, and in many cases, they are raped. But because of the social stigma and marginalisation, they can’t even bring charges against their attacker.

Criminalisation of sex work contributes to an environment in which violence against sex workers is tolerated, leaving them less likely to be protected from it. Many sex workers consider violence “normal” or “part of the job,” and do not have information about their rights. As a result, these contribute to their vulnerability to HIV.

According to a recent study, the total estimated number of female sex workers in Bangladesh ranges from a minimum of 82,884 to the maximum of 102,260. In Bangladesh, they are mostly vulnerable due to social exclusionary factors such as low income, poverty, debt, unemployment, poor education, etc.

Therefore they are mostly mobile, hidden, and likely to avoid disclosure of their status due to stigma and discrimination. Moreover, more than half (55.8%) of female sex workers interviewed reported to having sex for the first time before the age of 15, and the use of condoms during the last sexual encounter was relatively lower among young sex workers aged as compared to sex workers aged 25 years and above, which put them at a high risk of HIV infection.

The risk of sexual transmission of HIV infection is well-established. An estimated number of 102, 260 female sex workers are engaged in this trade through brothels, hotels, residences, and street-based set-ups.

Violence against sex workers is not only widespread, but is also perpetrated, legitimised, and accepted by many

With their identities, they hardly get any basic services from hospitals and mainstream health providers. In situations where sex workers do not have access to condoms, HIV prevention information, and sexual health services, or are prevented from protecting their health and using condoms for any reason, they are at increased risk of contracting HIV.

The story of the abovementioned sex worker is a real life experience that has reason to make us depressed about humanity. At 13, she was trapped in a cycle of sex work, and when she was 18, she got married to a man who was her pimp, and gave birth to a baby girl in the following year. But her husband didn’t welcome the girl child, and attempted to kill the little one. Luckily, her mother managed to escape with the girl.

“I want to give my daughter education and a good life and I know I need money for that. That’s why I am still in this business and taking life risk to go with the clients in unknown places and do whatever they want me to do. Many times I faced gang rape and sex without condoms. I was heavily injured at times and managed to escape from being murdered.”

Violence against sex workers is not only widespread, but is also perpetrated, legitimised, and accepted by many. It undermines HIV prevention efforts and increases sex workers’ vulnerability to HIV transmission in several ways. We need to get our act together to stop the violence against sex workers and help in preventing HIV.

There is growing recognition that effective HIV prevention policies and programs focusing on sex workers must incorporate violence prevention strategies. Interventions to promote safer sex among sex workers must be part of an overall effort to ensure their safety, promote their health and well-being more broadly, and protect their human rights.

There is also a need to recognise that not all sex workers see themselves as victims, oppressed, or exploited. Instead, many can and are taking control of their own lives, finding solutions to their problems, acting in their individual and collective interests, and contributing to the fight against HIV/ AIDS.

Different international development organisations in Bangladesh, like Save the Children, have been operating 43 drop-in-centres (DICs) for female sex workers since 2008 to give psychological support and essential health services in 26 districts with support from the Global Fund.

There are almost 26,000 female sex workers getting support. But that’s not enough. When responding to the HIV epidemic among sex workers, empowering them and involving them in HIV prevention are necessary.

We also need to address the underlying social and structural problems that make sex workers vulnerable to HIV. By giving them greater legal protection against violence, and by reducing the discrimination they face, HIV prevalence could be cut dramatically.

Lima Rahman is Chief of Party, HIV/AIDS Program, Save the Children. Md Abdul Quayyum is Head of Communication and Media, Save the Children.","['health', 'hiv', 'sex', 'fight', 'violence', 'bangladesh', 'condoms', 'female', 'prevention', 'workers', 'vulnerable']","But sex workers are among those who are most vulnerable to HIV infection, as it spreads rapidly among sex workers.
Moreover, more than half (55.8%) of female sex workers interviewed reported to having sex for the first time before the age of 15, and the use of condoms during the last sexual encounter was relatively lower among young sex workers aged as compared to sex workers aged 25 years and above, which put them at a high risk of HIV infection.
It undermines HIV prevention efforts and increases sex workers’ vulnerability to HIV transmission in several ways.
There is growing recognition that effective HIV prevention policies and programs focusing on sex workers must incorporate violence prevention strategies.
When responding to the HIV epidemic among sex workers, empowering them and involving them in HIV prevention are necessary."
"Latest news update from HIV in Bangladesh, World",Latest HIV news in Bangladesh,,None,"9-year-old South African becomes third...

Africa Mon, Jul 24 2017

The child was given a ten-month course of anti-AIDS medicine until she was one year old, then taken off...","['south', 'hiv', 'taken', 'old', 'given', 'bangladesh', 'thirdafrica', 'course', 'tenmonth', 'update', 'child', 'world', 'jul', 'latest', 'medicine']","9-year-old South African becomes third...Africa Mon, Jul 24 2017The child was given a ten-month course of anti-AIDS medicine until she was one year old, then taken off..."
"Nasim: 4,143 HIV positive patients in Bangladesh","Of the total HIV infected people, 658 are dead and 3485 alive, the minister said citing an official statistics",Tribune Online Report,2016-09-28 00:00:00,"A total of 4,1 43 HIV (human immunodeficiency virus) infected persons were detected up to November 2015 in the country, Health and Family Welfare Minister Mohammad Nasim has said. The minister was replying to a written question of treasury bench member Shamim Osman on behalf of M Israfil Alam in the Jatiya Sangsad on Wednesday, reports BSS. Of the total HIV infected people, 658 are dead and 3485 alive, the minister said citing an official statistics. He said the health ministry has taken various steps through AIDS/STD control programme to prevent the communicable disease. The government is providing medical treatment and diagnostic services at 12 hospitals for HIV affected persons, Nasim said, adding that four government hospitals are providing free treatment and medicines including counseling to the patients. Moreover, modern treatment has been providing to the HIV positive patients and drug addicted people at the Infectious Disease Hospital at Mohakhali in the capital Dhaka, he also told the House.","['positive', 'hiv', 'minister', 'total', 'hospitals', 'bangladesh', 'patients', 'providing', 'treatment', 'nasim', 'persons', '4143', 'infected']","A total of 4,1 43 HIV (human immunodeficiency virus) infected persons were detected up to November 2015 in the country, Health and Family Welfare Minister Mohammad Nasim has said.
Of the total HIV infected people, 658 are dead and 3485 alive, the minister said citing an official statistics.
He said the health ministry has taken various steps through AIDS/STD control programme to prevent the communicable disease.
The government is providing medical treatment and diagnostic services at 12 hospitals for HIV affected persons, Nasim said, adding that four government hospitals are providing free treatment and medicines including counseling to the patients.
Moreover, modern treatment has been providing to the HIV positive patients and drug addicted people at the Infectious Disease Hospital at Mohakhali in the capital Dhaka, he also told the House."
"Five HIV patients now 'virus, drugs free'","A vaccine-based therapy helped five people with HIV to be “virus, drugs free” – one man has been free of the virus for seven months",Tribune Desk,2017-02-24 00:00:00,"Five people with HIV are currently free of detectable virus – and daily drugs – thanks to a new vaccine-based therapy, reports the New Scientist . This therapy gives the immune system “the tools to flush out HIV, meaning daily drugs can be ditched.” Antiretroviral drugs (ART) are essential for most people with HIV. The drugs are used each day “to stop the virus from replicating and causing damage to their immune system.” These are required to be taken throughout one's lifetime as “the virus can hide away in tissues such as lymphoid and gut cells.” The virus has a tendency to re-emerge from cells – so stopping the use of ART becomes risky for patients. As much as ART is “effective” it is also expensive, takes a long time to work and comes with “nasty side effects.” In 2014, 24 people then recently diagnosed with HIV were given two vaccines developed by Tomas Hanke and his colleagues at the University of Oxford. This was part of a trial that Beatriz Mothe of the IrsiCaixa AIDS Research Institute in Barcelona, Spain, and her colleagues started. All the participants were also given ART, then monitored “to see whether the vaccines induced a strong immune response.” A booster of the vaccines was given to all 15 of them this year and, finally, they were given three doses of romidepsin – “a cancer drug that has shown potential for flushing HIV out of hiding.” Eventually, all of them got another vaccine booster and stopped ART doses. The virus rapidly came back in 10 of the participants so they had to go back to ART medication. However, five of the participants “no longer needed to take the drugs because their immune systems could suppress the virus unaided.” “One person has been off ART for seven months now. The other four have been free of detectable virus for six, 14, 19 and 21 weeks, respectively,” writes the New Scientist. Mothe and her colleagues are currently working on to find out why “two-thirds of the group didn’t respond to the therapy.”","['hiv', 'free', 'given', 'colleagues', 'participants', 'virus', 'art', 'patients', 'vaccines', 'immune', 'therapy', 'drugs']","Five people with HIV are currently free of detectable virus – and daily drugs – thanks to a new vaccine-based therapy, reports the New Scientist .
This therapy gives the immune system “the tools to flush out HIV, meaning daily drugs can be ditched.” Antiretroviral drugs (ART) are essential for most people with HIV.
The virus rapidly came back in 10 of the participants so they had to go back to ART medication.
However, five of the participants “no longer needed to take the drugs because their immune systems could suppress the virus unaided.” “One person has been off ART for seven months now.
The other four have been free of detectable virus for six, 14, 19 and 21 weeks, respectively,” writes the New Scientist."
HIV positive Rohingya found in Cox’s Bazar refugee camp,Four measles and 16 polio infected patients were also found in the camps,Tribune Desk,2017-09-16 00:00:00,"An HIV positive Rohingya refugee has been identified in Kutupalong refugee camp in Ukhiya, Cox’s Bazar. Cox’s Bazar Civil Surgeon Dr Abdus Salam confirmed the matter to the Dhaka Tribune. He said: “An HIV positive person has been identified in the Rohingya camps including four measles and 16 polio infected patients.” “These patients are now dwelling at the refugee camps in Kutupalong and Balukhali,” the civil surgeon added. Dr Salam also said that the government has been working relentlessly to counter the situation. “Some 32 medical teams have been working to distribute 120,000 measles vaccines, 40,000 polio vaccines and 38,000 vitamin tablets provided by the government,” added Dr Salam. Around 400,000 Rohingya have fled to Bangladesh since the latest military crackdown erupted in Myanmar’s Rakhine state. The article was first published on banglatribune.com","['positive', 'hiv', 'refugee', 'camp', 'dr', 'coxs', 'surgeon', 'polio', 'salam', 'working', 'patients', 'vaccines', 'rohingya', 'bazar']","An HIV positive Rohingya refugee has been identified in Kutupalong refugee camp in Ukhiya, Cox’s Bazar.
Cox’s Bazar Civil Surgeon Dr Abdus Salam confirmed the matter to the Dhaka Tribune.
He said: “An HIV positive person has been identified in the Rohingya camps including four measles and 16 polio infected patients.” “These patients are now dwelling at the refugee camps in Kutupalong and Balukhali,” the civil surgeon added.
Dr Salam also said that the government has been working relentlessly to counter the situation.
“Some 32 medical teams have been working to distribute 120,000 measles vaccines, 40,000 polio vaccines and 38,000 vitamin tablets provided by the government,” added Dr Salam."
London HIV patient becomes world's second AIDS cure hope,"AIDS experts said the case is a proof of the concept that scientists will one day be able to end AIDS, and marks a ""critical moment"" in the search for an HIV cure","Reuters, London",2019-03-05 00:00:00,"AIDS experts said the case is a proof of the concept that scientists will one day be able to end AIDS, and marks a ""critical moment"" in the search for an HIV cure

An HIV-positive man in Britain has become the second known adult worldwide to be cleared of the AIDS virus after he received a bone marrow transplant from an HIV-resistant donor, his doctors said.

Almost three years after he received bone marrow stem cells from a donor with a rare genetic mutation that resists HIV infection - and more than 18 months after he came off antiretroviral drugs - highly sensitive tests still show no trace of the man's previous HIV infection.

""There is no virus there that we can measure. We can't detect anything,"" said Ravindra Gupta, a professor and HIV biologist who co-led a team of doctors treating the man.

AIDS experts said the case is a proof of the concept that scientists will one day be able to end AIDS, and marks a ""critical moment"" in the search for an HIV cure, but does not mean that cure has already been found.

Gupta described his patient as ""functionally cured"" and ""in remission"", but cautioned: ""It's too early to say he's cured.""

The man is being called ""the London patient"", in part because his case is similar to the first known case of a functional cure of HIV - in an American man, Timothy Brown, who became known as the Berlin patient when he underwent similar treatment in Germany in 2007 which also cleared his HIV.

Brown, who had been living in Berlin, has since moved to the United States and, according to HIV experts, is still HIV-free.

Some 37 million people worldwide are currently infected with HIV and the AIDS pandemic has killed about 35 million people worldwide since it began in the 1980s. Scientific research into the complex virus has in recent years led to the development of drug combinations that can keep it at bay in most patients.

Gupta, now at Cambridge University, treated the London patient when he was working at University College London. The man had contracted HIV in 2003, Gupta said, and in 2012 was also diagnosed with a type of blood cancer called Hodgkin's Lymphoma.

Last chance

In 2016, when he was very sick with cancer, doctors decided to seek a transplant match for him.

""This was really his last chance of survival,"" Gupta told Reuters.

The donor - who was unrelated - had a genetic mutation known as 'CCR5 delta 32', which confers resistance to HIV.

The transplant went relatively smoothly, Gupta said, but there were some side effects, including the patient suffering a period of ""graft-versus-host"" disease - a condition in which donor immune cells attack the recipient's immune cells.

Most experts say it is inconceivable such treatments could be a way of curing all patients. The procedure is expensive, complex and risky. To do this in others, exact match donors would have to be found in the tiny proportion of people — most of them of northern European descent — who have the CCR5 mutation that makes them resistant to the virus.

""Although this is not a viable large-scale strategy for a cure, it does represent a critical moment,"" said Anton Pozniak, president of the International AIDS Society. ""The hope is that this will eventually lead to a safe, cost-effective and easy strategy using gene technology or antibody techniques.""

Specialists said it is also not yet clear whether the CCR5 resistance is the only key - or whether the graft-versus-host disease may have been just as important. Both the Berlin and London patients had this complication, which may have played a role in the loss of HIV-infected cells, Gupta said.

His team plans to use these findings to explore potential new HIV treatment strategies. ""We need to understand if we could knock out this (CCR5) receptor in people with HIV, which may be possible with gene therapy,"" he said.

The London patient, whose case was set to be reported in the journal Nature and presented at a medical conference in Seattle on Tuesday, has asked his medical team not to reveal his name, age, nationality or other details.","['worlds', 'hiv', 'patient', 'experts', 'donor', 'london', 'man', 'second', 'gupta', 'hope', 'aids', 'cure', 'known', 'case']","We can't detect anything,"" said Ravindra Gupta, a professor and HIV biologist who co-led a team of doctors treating the man.
AIDS experts said the case is a proof of the concept that scientists will one day be able to end AIDS, and marks a ""critical moment"" in the search for an HIV cure, but does not mean that cure has already been found.
Gupta described his patient as ""functionally cured"" and ""in remission"", but cautioned: ""It's too early to say he's cured.""
Brown, who had been living in Berlin, has since moved to the United States and, according to HIV experts, is still HIV-free.
Gupta, now at Cambridge University, treated the London patient when he was working at University College London."
Infographic: Travel bans reveal state of HIV discrimination,"As World Aids Day marks its 30th anniversary, travel restrictions for people living with HIV remain common around the world, including bans on entry, denial of work and residence permits, and even deportations. HIV-related travel restrictions currently exist in more than 50 countries and territories across the world. Most of them place limits on the amount of time HIV-positive foreigners can stay, while a smaller number of countries ban entry altogether, or deport travellers found to have HIV",Tribune Desk,2018-11-28 00:00:00,"As World Aids Day marks its 30th anniversary, travel restrictions for people living with HIV remain common around the world, including bans on entry, denial of work and residence permits, and even deportations. HIV-related travel restrictions currently exist in more than 50 countries and territories across the world. Most of them place limits on the amount of time HIV-positive foreigners can stay, while a smaller number of countries ban entry altogether, or deport travellers found to have HIV","['work', 'hiv', 'travellers', 'entry', 'reveal', 'countries', 'stay', 'restrictions', 'state', 'world', 'travel', 'territories', 'discrimination', 'infographic', 'bans']","As World Aids Day marks its 30th anniversary, travel restrictions for people living with HIV remain common around the world, including bans on entry, denial of work and residence permits, and even deportations.
HIV-related travel restrictions currently exist in more than 50 countries and territories across the world.
Most of them place limits on the amount of time HIV-positive foreigners can stay, while a smaller number of countries ban entry altogether, or deport travellers found to have HIV"
