Headlines,Descriptions,Authors,Published_Dates,Articles,Keywords,Summaries
London HIV patient becomes world's second AIDS cure hope,,,None,"London, Mar 5: An HIV-positive man in Britain has become the second known adult worldwide to be cleared of the AIDS virus after he received a bone marrow transplant from an HIV resistant donor, his doctors said.

Almost three years after receiving bone marrow stem cells from a donor with a rare genetic mutation that resists HIV infection - and more than 18 months after coming off antiretroviral drugs - highly sensitive tests still show no trace of the man's previous HIV infection. ""There is no virus there that we can measure. We can't detect anything,"" said Ravindra Gupta, a professor and HIV biologist who co-led a team of doctors treating the man. The case is a proof of the concept that scientists will one day be able to end AIDS, the doctors said, but does not mean a cure for HIV has been found. Gupta described his patient as ""functionally cured"" and ""in remission"", but cautioned: ""It's too early to say he's cured.""



The man is being called ""the London patient"", in part because his case is similar to the first known case of a functional cure of HIV - in an American man, Timothy Brown, who became known as the Berlin patient when he underwent similar treatment in Germany in 2007 which also cleared his HIV.

Brown, who had been living in Berlin, has since moved to the United States and, according to HIV experts, is still HIV-free.



Some 37 million people worldwide are currently infected with HIV and the AIDS pandemic has killed around 35 million people worldwide since it began in the 1980s. Scientific research into the complex virus has in recent years led to the development of drug combinations that can keep it at bay in most patients.

Gupta, now at Cambridge University, treated the London patient when he was working at University College London. The man had contracted HIV in 2003, Gupta said, and in 2012 was also diagnosed with a type of blood cancer called Hodgkin's Lymphoma.



In 2016, when he was very sick with cancer, doctors decided to seek a transplant match for him. ""This was really his last chance of survival,"" Gupta told Reuters in an interview.

The donor - who was unrelated - had a genetic mutation known as 'CCR5 delta 32', which confers resistance to HIV.

The transplant went relatively smoothly, Gupta said, but there were some side effects, including the patient suffering a period of ""graft-versus-host"" disease - a condition in which donor immune cells attack the recipient's immune cells.



Most experts say it is inconceivable such treatments could be a way of curing all patients. The procedure is expensive, complex and risky. To do this in others, exact match donors would have to be found in the tiny proportion of people - most of them of northern European descent - who have the CCR5 mutation that makes them resistant to the virus.



Specialists said it is also not yet clear whether the CCR5 resistance is the only key - or whether the graft versus host disease may have been just as important. Both the Berlin and London patients had this complication, which may have played a role in the loss of HIV-infected cells, Gupta said.

Sharon Lewin, an expert at Australia's Doherty Institute and co-chair of the International AIDS Society's cure research advisory board, told Reuters the London case points to new avenues for study. ""We haven't cured HIV, but (this) gives us hope that it's going to be feasible one day to eliminate the virus,"" she said.



Gupta said his team plans to use these findings to explore potential new HIV treatment strategies. ""We need to understand if we could knock out this (CCR5) receptor in people with HIV, which may be possible with gene therapy,"" he said. The London patient, whose case was set to be reported in the journal Nature and presented at a medical conference in Seattle on Tuesday, has asked his medical team not to reveal his name, age, nationality or other details. -REUTERS","['worlds', 'hiv', 'aids', 'patient', 'gupta', 'man', 'known', 'cure', 'donor', 'virus', 'hope', 'london', 'case', 'doctors', 'second']","We can't detect anything,"" said Ravindra Gupta, a professor and HIV biologist who co-led a team of doctors treating the man.
Gupta described his patient as ""functionally cured"" and ""in remission"", but cautioned: ""It's too early to say he's cured.""
Gupta, now at Cambridge University, treated the London patient when he was working at University College London.
Sharon Lewin, an expert at Australia's Doherty Institute and co-chair of the International AIDS Society's cure research advisory board, told Reuters the London case points to new avenues for study.
""We haven't cured HIV, but (this) gives us hope that it's going to be feasible one day to eliminate the virus,"" she said."
Daily Observer,"The Daily Observer is one of the most reliable and popular daily newspaper in Bangladesh, Observer provide latest news about various categories everyday. The main concern of the Daily Observer newspaper is to focus on people’s right. That is why its theme is We stand for people’s right.",,None,"London, Mar 5: An HIV-positive man in Britain has become the second known adult worldwide to be cleared of the ...","['cleared', 'daily', 'worldwide', 'mar', 'man', 'adult', 'known', 'observer', 'london', 'hivpositive', 'britain', 'second']","London, Mar 5: An HIV-positive man in Britain has become the second known adult worldwide to be cleared of the ..."
HIV used to cure 'bubble boy' disease,,,None,"HIV used to cure 'bubble boy' disease

Results of the research, developed at a Tennessee hospital, were published in the New England Journal of Medicine.

The babies, born with little to no immune protection, now have fully functional immune systems.

Untreated babies with this disorder have to live in completely sterile conditions and tend to die as infants.

The gene therapy involved collecting the babies' bone marrow and correcting the genetic defect in their DNA soon after their birth.

The ""correct"" gene - used to fix the defect - was inserted into an altered version of one of HIV, the virus that causes AIDS.

Researchers said most of the babies were discharged from the hospital within one month.

Dr Ewelina Mamcarz of St Jude, an author of the study, said in a statement: ""These patients are toddlers now, who are responding to vaccinations and have immune systems to make all immune cells they need for protection from infections as they explore the world and live normal lives.""

""This is a first for patients with SCID-X1,"" she added, referring to the most common type of SCID.

The patients were treated at St Jude Children's Research Hospital in Memphis and at UCSF Benioff Children's Hospital in San Francisco.

What is this syndrome?

The case of David Vetter is perhaps the most famous case of severe combined immunodeficiency (SCID), a disease that made it impossible for him to engage with the world outside a plastic chamber.

Nicknamed ""Bubble Boy"", Vetter was born in 1971 with the disease and died at the age of 12 after a failed bone marrow transplant.

Within 20 seconds of his birth at the Texas Children's Hospital in Houston, he was placed in a plastic isolation chamber, where he lived until the age of six when he was given a special plastic suit designed by Nasa, the US space agency.

His parents had already lost one child to the disease before he was born.

What are other treatment options?

Currently, the best treatment for SCID-XI is a bone marrow transplant with a tissue-matched sibling donor. But according to St Jude, more than 80% of these patients lack such donors and must rely on blood stem cells from other donors.

This process is less likely to cure the bubble boy disease, and is more likely to cause serious side effects as a result of treatment.

Previous advancements in gene therapy provided alternatives to a bone marrow transplant, but these treatments sometimes involved chemotherapy and had implications for a range of other diseases, including blood disorders, sickle cell anaemia and thalassaemia, and metabolic syndrome. -BBC













US scientists say they used HIV to make a gene therapy that cured eight infants of severe combined immunodeficiency, or ""bubble boy"" disease.Results of the research, developed at a Tennessee hospital, were published in the New England Journal of Medicine.The babies, born with little to no immune protection, now have fully functional immune systems.Untreated babies with this disorder have to live in completely sterile conditions and tend to die as infants.The gene therapy involved collecting the babies' bone marrow and correcting the genetic defect in their DNA soon after their birth.The ""correct"" gene - used to fix the defect - was inserted into an altered version of one of HIV, the virus that causes AIDS.Researchers said most of the babies were discharged from the hospital within one month.Dr Ewelina Mamcarz of St Jude, an author of the study, said in a statement: ""These patients are toddlers now, who are responding to vaccinations and have immune systems to make all immune cells they need for protection from infections as they explore the world and live normal lives.""""This is a first for patients with SCID-X1,"" she added, referring to the most common type of SCID.The patients were treated at St Jude Children's Research Hospital in Memphis and at UCSF Benioff Children's Hospital in San Francisco.What is this syndrome?The case of David Vetter is perhaps the most famous case of severe combined immunodeficiency (SCID), a disease that made it impossible for him to engage with the world outside a plastic chamber.Nicknamed ""Bubble Boy"", Vetter was born in 1971 with the disease and died at the age of 12 after a failed bone marrow transplant.Within 20 seconds of his birth at the Texas Children's Hospital in Houston, he was placed in a plastic isolation chamber, where he lived until the age of six when he was given a special plastic suit designed by Nasa, the US space agency.His parents had already lost one child to the disease before he was born.What are other treatment options?Currently, the best treatment for SCID-XI is a bone marrow transplant with a tissue-matched sibling donor. But according to St Jude, more than 80% of these patients lack such donors and must rely on blood stem cells from other donors.This process is less likely to cure the bubble boy disease, and is more likely to cause serious side effects as a result of treatment.Previous advancements in gene therapy provided alternatives to a bone marrow transplant, but these treatments sometimes involved chemotherapy and had implications for a range of other diseases, including blood disorders, sickle cell anaemia and thalassaemia, and metabolic syndrome. -BBC","['used', 'hiv', 'immune', 'bone', 'st', 'cure', 'disease', 'bubble', 'gene', 'patients', 'plastic', 'marrow', 'hospital', 'babies', 'boy']","HIV used to cure 'bubble boy' diseaseResults of the research, developed at a Tennessee hospital, were published in the New England Journal of Medicine.
The gene therapy involved collecting the babies' bone marrow and correcting the genetic defect in their DNA soon after their birth.
Nicknamed ""Bubble Boy"", Vetter was born in 1971 with the disease and died at the age of 12 after a failed bone marrow transplant.
Currently, the best treatment for SCID-XI is a bone marrow transplant with a tissue-matched sibling donor.
This process is less likely to cure the bubble boy disease, and is more likely to cause serious side effects as a result of treatment."
Some Rohingyas with HIV identified,,,None,"Many Rohingya refugee children and adults have been found infected with various contagious diseases including HIV/AIDs, Hepatitis B-C and Tuberculosis; posing serious threat to the health of the locals, experts said.

They also noted that Rohingyas driven out of Myanmar's Arakan State should be confined to a specific area so that this contagious diseases do not spread out.

Talking with different health experts, volunteers, government and non government officials, this correspondent came to know that besides facing many challenges like food, nutrition, shelter, water and sanitation, a good number of children are suffering from measles.

Already different news media reported that till now over 200 Rohingya children have died at Teknaf and Ukhiya upazilas in Cox's Bazar in the last week alone from malnutrition and a lack of medicare.

Of them, many children were suffering from diarrhea, fever, cold and skin diseases.

According to healthcare volunteers, a shortage of baby food and proper care, an inability of weakened mothers to breastfeed properly, and the spread of diseases have been causing these deaths in the Bangladesh-Myanmar border areas.

A 21-year-old Selina Begum who arrived in Cox's Bazar told this correspondent that her baby fell into the Naf river and drowned when the boat collided with another boat on Friday night.

Dr Puchanu, Superintendent of Cox's Bazar Sadar 250 Bed District Sadar Hospital said that a total of 14 patients suffering from infectious diseases were being treated at various hospitals Cox's Bazar, Chittagong, Teknaf and Ukhiya.

The measles affected three children were admitted to hospital in Ukhiya, five affected with Hepatitis B and C have been taken to Teknaf for treatment, six infected with tuberculosis were taking treatment at Teknaf and Cox's Bazar and one infected with HIV/AIDs has been removed to Chittagong, he said while talking over phone.

However, a rubella and polio vaccination campaign for 1.5 lakh Rohingya refugee children started in Ukhiya and Teknaf upazilas of Cox's Bazar on Saturday morning.

Dr Abdus Salam, Civil Surgeon of Cox's Bazar said all the children, aged between six months and 15 years, will be vaccinated for rubella (measles).

Children below five years will be administered polio vaccines while six-month-old to five-year-old children will be provided vitamin A capsules, the Civil Surgeon said.

When asked about the status of the Rohingya children, he said ""Most of the children we received here are either not vaccinated or poorly vaccinated. So we want a fresh start, he said.

He also confirmed the presence of rubella disease among Rohingya children.

Suman Baruya , Upazila Health and Family Welfare official of Cox's Bazar Sadar 250 Bed District Sadar Hospital noted that about 60 patients were admitted to the Teknaf 50-Bed Hospital. Of them, three are suffering from tuberculosis and jaundice.

Pronab Kumar Chowdhury, Chief of Child Health Department, Chittagong Medical College Hospital said that Myanmar did not provide Rohingyas any treatment facilities.

He also added that the two diseases measles and tuberculosis can spread out in the air through coughing, posing serious health threat to other children and refugees.

He noted that about 112 patients have received treatment from CMCH till August 26. Of them, about 90 people were hit by bullet and rest are burnt patients.

Till now two Rohingya refugees have died during receiving treatment, of them one was hit by bullet.

Besides such contagious diseases Rohingya refuges are also affected with HIV/AIDs diseases, health expert said.

Hafiz Ahmed, Divisional Coordinator of Ashar Alo Society (AAS), a non governmental organization gives HIV/AIDs treatment, said that about 508 patients have been admitted under this society. Of them about 37 are Rohingya refugees, who had been staying here for few years.

But recently one Rohingya refugee was identified as HIV/AIDs carrier, who crossed Myanmar border after August 25 violence.

Prof AQM Sirajul Islam, AIDS specialist, said as the number of Rohingya refugee increases they should be confined to a specific area so that it could be controlled.

However, Health Minister Mohammed Nasim said that Bangladesh government was contributing its best despite its limitation.

""Bangladesh is a small country with huge population. So continuing this aid to Rohingya refugee is difficult. So Myanmar government must take back their citizens,"" he said.

He made this comment during his visit to Rohingya Camp, in Ukhiya's Kutupalong under Cox's Bazar on Saturday.","['diseases', 'hiv', 'hospital', 'treatment', 'refugee', 'rohingyas', 'coxs', 'identified', 'teknaf', 'children', 'rohingya', 'bazar', 'health']","When asked about the status of the Rohingya children, he said ""Most of the children we received here are either not vaccinated or poorly vaccinated.
Besides such contagious diseases Rohingya refuges are also affected with HIV/AIDs diseases, health expert said.
But recently one Rohingya refugee was identified as HIV/AIDs carrier, who crossed Myanmar border after August 25 violence.
So continuing this aid to Rohingya refugee is difficult.
He made this comment during his visit to Rohingya Camp, in Ukhiya's Kutupalong under Cox's Bazar on Saturday."
"HIV's ability to cause AIDS is weakening over time, study finds","Rapid evolution of HIV, the human immunodeficiency virus, is slowing its ability to cause AIDS, according to a study of more than 2,000 women in Africa.Scientists said the research suggests a less virulent HIV could be one of several factors contributing to a turning of the deadly pandemic, eventually leading",,2014-12-02 00:00:00,"HIV's ability to cause AIDS is weakening over time, study finds Published : Tuesday, 2 December, 2014, Time : 4:12 PM, View Count : 22 Rapid evolution of HIV, the human immunodeficiency virus, is slowing its ability to cause AIDS, according to a study of more than 2,000 women in Africa.



Scientists said the research suggests a less virulent HIV could be one of several factors contributing to a turning of the deadly pandemic, eventually leading to the end of AIDS.



""Overall we are bringing down the ability of HIV to cause AIDS so quickly,"" Philip Goulder, a professor at Oxford University who led the study, said in a telephone interview.



""But it would be overstating it to say HIV has lost its potency -- it's still a virus you wouldn't want to have.""



Some 35 million people currently have HIV and AIDS has killed around 40 million people since it began spreading 30 years ago.



But campaigners noted on Monday that for the first time in the epidemic's history, the annual number of new HIV infections is lower than the number of HIV positive people being added to those receiving treatment, meaning a crucial tipping point has been reached in reducing deaths from AIDS.



Goulder's team conducted their study in Botswana and South Africa -- two countries badly hit by AIDS -- where they enrolled more than 2,000 women with HIV.



First they looked at whether the interaction between the body's natural immune response and HIV leads to the virus becoming less virulent or able to cause disease.



Previous research on HIV has shown that people with a gene known as HLA-B*57 can benefit from a protective effect against HIV and progress more slowly than usual to AIDS.



The scientists found that in Botswana, HIV has evolved to adapt to HLA-B*57 more than in South Africa, so patients no longer benefited from the protective effect. But they also found the cost of this adaptation for HIV is a reduced ability to replicate -- making it less virulent.



The scientists then analyzed the impact on HIV virulence of the wide use of AIDS drugs. Using a mathematical model, they found that treating the sickest HIV patients -- whose immune systems have been weakened by the infection -- accelerates the evolution of variants of HIV with a weaker ability to replicate.



""HIV adaptation to the most effective immune responses we can make against it comes at a significant cost to its ability to replicate,"" Goulder said. ""Anything we can do to increase the pressure on HIV in this way may allow scientists to reduce the destructive power of HIV over time.""



The study was published on Monday in the journal Proceedings of the National Academy of Sciences (PNAS).



QH Rapid evolution of HIV, the human immunodeficiency virus, is slowing its ability to cause AIDS, according to a study of more than 2,000 women in Africa.Scientists said the research suggests a less virulent HIV could be one of several factors contributing to a turning of the deadly pandemic, eventually leading to the end of AIDS.""Overall we are bringing down the ability of HIV to cause AIDS so quickly,"" Philip Goulder, a professor at Oxford University who led the study, said in a telephone interview.""But it would be overstating it to say HIV has lost its potency -- it's still a virus you wouldn't want to have.""Some 35 million people currently have HIV and AIDS has killed around 40 million people since it began spreading 30 years ago.But campaigners noted on Monday that for the first time in the epidemic's history, the annual number of new HIV infections is lower than the number of HIV positive people being added to those receiving treatment, meaning a crucial tipping point has been reached in reducing deaths from AIDS.Goulder's team conducted their study in Botswana and South Africa -- two countries badly hit by AIDS -- where they enrolled more than 2,000 women with HIV.First they looked at whether the interaction between the body's natural immune response and HIV leads to the virus becoming less virulent or able to cause disease.Previous research on HIV has shown that people with a gene known as HLA-B*57 can benefit from a protective effect against HIV and progress more slowly than usual to AIDS.The scientists found that in Botswana, HIV has evolved to adapt to HLA-B*57 more than in South Africa, so patients no longer benefited from the protective effect. But they also found the cost of this adaptation for HIV is a reduced ability to replicate -- making it less virulent.The scientists then analyzed the impact on HIV virulence of the wide use of AIDS drugs. Using a mathematical model, they found that treating the sickest HIV patients -- whose immune systems have been weakened by the infection -- accelerates the evolution of variants of HIV with a weaker ability to replicate.""HIV adaptation to the most effective immune responses we can make against it comes at a significant cost to its ability to replicate,"" Goulder said. ""Anything we can do to increase the pressure on HIV in this way may allow scientists to reduce the destructive power of HIV over time.""The study was published on Monday in the journal Proceedings of the National Academy of Sciences (PNAS).QH","['virulent', 'aids', 'hiv', 'cause', 'weakening', 'scientists', 'immune', 'ability', 'virus', 'hivs', 'women', 'study', 'finds']","HIV's ability to cause AIDS is weakening over time, study finds Published : Tuesday, 2 December, 2014, Time : 4:12 PM, View Count : 22 Rapid evolution of HIV, the human immunodeficiency virus, is slowing its ability to cause AIDS, according to a study of more than 2,000 women in Africa.
""Overall we are bringing down the ability of HIV to cause AIDS so quickly,"" Philip Goulder, a professor at Oxford University who led the study, said in a telephone interview.
Some 35 million people currently have HIV and AIDS has killed around 40 million people since it began spreading 30 years ago.
Goulder's team conducted their study in Botswana and South Africa -- two countries badly hit by AIDS -- where they enrolled more than 2,000 women with HIV.
""Overall we are bringing down the ability of HIV to cause AIDS so quickly,"" Philip Goulder, a professor at Oxford University who led the study, said in a telephone interview."
HIV patient gifts kidney,,,None,"WASHINGTON, Mar 29: The kidney of a 35-year-old HIV-positive woman has been transplanted into another patient with the virus that causes AIDS, US surgeons announced Thursday, in a major medical breakthrough.

The surgeons at Johns Hopkins University in Baltimore performed the operation on Monday, calling it the first in the world of its kind.

""I'm feeling good,"" said the donor, Nina Martinez, at a news conference on Thursday following the surgery.

The recipient, who has not been identified, is doing ""beautifully,"" said Christine Durand, associate professor of medicine and oncology at Johns Hopkins. -AFP","['johns', 'hiv', 'patient', 'washington', 'gifts', 'kidney', 'hopkins', 'surgeons', 'world', 'surgerythe', 'virus', 'transplanted', 'university', 'woman']","WASHINGTON, Mar 29: The kidney of a 35-year-old HIV-positive woman has been transplanted into another patient with the virus that causes AIDS, US surgeons announced Thursday, in a major medical breakthrough.
The surgeons at Johns Hopkins University in Baltimore performed the operation on Monday, calling it the first in the world of its kind.
""I'm feeling good,"" said the donor, Nina Martinez, at a news conference on Thursday following the surgery.
The recipient, who has not been identified, is doing ""beautifully,"" said Christine Durand, associate professor of medicine and oncology at Johns Hopkins."
63 Rohingyas infected with HIV: Nasim,,,None,"Sixty-three of the Rohingya people who have taken shelter in Bangladesh are HIV-infected patients, Health Minister Mohammed Nasim told Parliamenton Wednesday.

""Now there're 4,662 HIV-infected patients in our country. Of them, 63 are from the Rohingya community,"" he said replying to a tabled starred question from treasury bench MP Shamsul Hoque Chowdhury (Chattogram-12).

As of October 2017, 5,586 patients were detected with HIV positive and 924 of them have already died, the minister said.

Nasim said the government is now providing services to HIV-infected patients free of cost. The services include HIV test, free medicines and counselling.

Besides, different non-government organisations, national and international agencies provide services to HIV patients, he said.

The minister said the government has a plan to set up HIV Test Centres (HTC) in 23 prioratised districts, provide necessary basic trainings over HIV/AIDS and provide camp-based healthcare facilities. -UNB","['wednesdaynow', 'hiv', 'test', 'minister', 'services', 'infected', 'provide', 'nasim', 'free', 'rohingyas', 'patients', 'hivinfected', 'rohingya', '63']","Sixty-three of the Rohingya people who have taken shelter in Bangladesh are HIV-infected patients, Health Minister Mohammed Nasim told Parliamenton Wednesday.
""Now there're 4,662 HIV-infected patients in our country.
Nasim said the government is now providing services to HIV-infected patients free of cost.
The services include HIV test, free medicines and counselling.
Besides, different non-government organisations, national and international agencies provide services to HIV patients, he said."
HIV-positive Italian man jailed for infecting 30 women,,,None,"HIV-positive Italian man jailed for infecting 30 women



An Italian accountant has been jailed for 24 years after intentionally infecting 30 women with HIV.



Valentino Talluto is said to have had unprotected sex with at least 53 women after his HIV diagnosis in 2006, the youngest of whom was 14 at the relationship's start.



The accountant, using the pseudonym ""Hearty Style"", went on social networks and dating sites to find his victims.



On Friday, judges sentenced the 33-year-old to 24 years in prison.



Talluto's defence lawyers had argued their client's actions were ""imprudent, but not intentional"".



However, those who asked him to wear a condom were told he was either allergic, or had recently been tested for HIV, news agency AFP reported.



When some of the women confronted him after discovering they were infected, he denied he was a carrier of the potentially deadly virus, which can lead to Aids.



As a result of his actions, another four people contracted the virus on top of the women he directly infected: three men and one baby.



Prosecutor Elena Neri told the court last month: ""His actions were intended to sow death.""



However, Talluto - whose mother was an HIV-infected drug addict who died when he was four - told the court if that had been the case, he would not have gone to the effort of having actual relationships.



""Many of the girls know my friends and family,"" he said. ""They say that I wanted to infect as many people as possible. If that had been the case, I would have gone for casual sex in bars, I would not have brought them into my life.""



Judges in Rome deliberated over the sentence for more than 10 hours before announcing the verdict.



According to local media, victims wept as the sentence was read out. However, it fell short of the life term prosecutors had asked for.



BBC/TF An Italian accountant has been jailed for 24 years after intentionally infecting 30 women with HIV.Valentino Talluto is said to have had unprotected sex with at least 53 women after his HIV diagnosis in 2006, the youngest of whom was 14 at the relationship's start.The accountant, using the pseudonym ""Hearty Style"", went on social networks and dating sites to find his victims.On Friday, judges sentenced the 33-year-old to 24 years in prison.Talluto's defence lawyers had argued their client's actions were ""imprudent, but not intentional"".However, those who asked him to wear a condom were told he was either allergic, or had recently been tested for HIV, news agency AFP reported.When some of the women confronted him after discovering they were infected, he denied he was a carrier of the potentially deadly virus, which can lead to Aids.As a result of his actions, another four people contracted the virus on top of the women he directly infected: three men and one baby.Prosecutor Elena Neri told the court last month: ""His actions were intended to sow death.""However, Talluto - whose mother was an HIV-infected drug addict who died when he was four - told the court if that had been the case, he would not have gone to the effort of having actual relationships.""Many of the girls know my friends and family,"" he said. ""They say that I wanted to infect as many people as possible. If that had been the case, I would have gone for casual sex in bars, I would not have brought them into my life.""Judges in Rome deliberated over the sentence for more than 10 hours before announcing the verdict.According to local media, victims wept as the sentence was read out. However, it fell short of the life term prosecutors had asked for.BBC/TF","['30', 'actions', 'hiv', 'gone', 'talluto', 'man', 'told', 'jailed', 'infected', 'infecting', 'virus', 'sex', 'women', 'hivpositive', 'sentence', 'italian']","HIV-positive Italian man jailed for infecting 30 womenAn Italian accountant has been jailed for 24 years after intentionally infecting 30 women with HIV.
Valentino Talluto is said to have had unprotected sex with at least 53 women after his HIV diagnosis in 2006, the youngest of whom was 14 at the relationship's start.
The accountant, using the pseudonym ""Hearty Style"", went on social networks and dating sites to find his victims.
As a result of his actions, another four people contracted the virus on top of the women he directly infected: three men and one baby.
If that had been the case, I would have gone for casual sex in bars, I would not have brought them into my life."
Cows could hold key to beating HIV,,,None,"WASHINGTON, July 21: Cows have shown an ""insane"" and ""mind-blowing"" ability to tackle HIV which will help develop a vaccine, say US researchers.

In a first for immunisation, the animals rapidly produced special types of antibody that can neutralise HIV.

It is thought cows evolved a supreme immune defence due to their complex and bacteria-packed digestive system.

The US National Institutes of Health said the findings were of ""great interest"".

HIV is a slippery and nefarious opponent. It mutates so readily that every time a patient's immune system finds a way of attacking the virus, HIV shifts its appearance.

However, a small proportion of patients eventually develop ""broadly neutralising antibodies"" after years of infection. These attack parts the virus cannot change.

A vaccine that could train the immune system to make broadly neutralising antibodies should help prevent people being infected in the first place.

But no jab can do the job.

Then researchers at the International Aids Vaccine Initiative and the Scripps Research Institute tried immunising cows.

""The response blew our minds,"" Dr Devin Sok, one of the researchers, told the BBC News website.

The required antibodies were being produced by the cow's immune system in a matter of weeks.

Dr Sok added: ""It was just insane how good it looked, in humans it takes three-to-five years to develop the antibodies we're talking about.

""This is really important because we hadn't been able to do it period.

""Who would have thought cow biology was making a significant contribution to HIV.""

The results, published in the journal Nature, showed the cow's antibodies could neutralise 20% of HIV strains within 42 days.

By 381 days, they could neutralise 96% of strains tested in the lab.

Dr Dennis Burton, a fellow researcher, said: ""The potent responses in this study are remarkable.

""Unlike human antibodies, cattle antibodies are more likely to bear unique features and gain an edge over HIV.""

Unusually for human antibodies, the broadly neutralising ones have a long and loopy structure. Cow antibodies are inherently more long and loopy.

So the cow immune system finds making the antibodies easily.

It is thought the cow's ""ruminant"" digestive system which ferments grass in order to digest it is a Wild West of hostile bacteria. So the animals have developed the antibodies needed to keep them in check.

It means cattle could eventually become a source of drugs to make more effective vaginal microbicides to prevent HIV infection.

However, the real goal is to develop a vaccine that encourages the human immune system to make the antibodies it currently finds a struggle.

That remains a significant challenge, but the cattle study could help point the way.

Dr Anthony Fauci, the director of the US National Institute of Allergy and Infectious Diseases, said: ""From the early days of the epidemic, we have recognized that HIV is very good at evading immunity, so exceptional immune systems that naturally produce broadly neutralizing antibodies to HIV are of great interest - whether they belong to humans or cattle."" —BBC","['thought', 'beating', 'hiv', 'immune', 'antibodies', 'vaccine', 'system', 'develop', 'cattle', 'broadly', 'key', 'hold', 'cows']","It is thought cows evolved a supreme immune defence due to their complex and bacteria-packed digestive system.
It mutates so readily that every time a patient's immune system finds a way of attacking the virus, HIV shifts its appearance.
The required antibodies were being produced by the cow's immune system in a matter of weeks.
The results, published in the journal Nature, showed the cow's antibodies could neutralise 20% of HIV strains within 42 days.
""Unlike human antibodies, cattle antibodies are more likely to bear unique features and gain an edge over HIV."""
Common birth control drug ups risk of HIV,,,None,"Common birth control drug ups risk of HIV



Depot-medroxyprogesterone acetate (DMPA) is an injectable birth control shot administered every three months, which prevents the ovaries from releasing eggs and thickens the mucous layer around the cervix to block sperm from getting through.



According to researchers, transitioning away from DMPA could help protect women from becoming infected with HIV.



Human studies suggest DMPA use may raise the risk of HIV infection by 40 percent.



The findings suggest other forms of birth control should rapidly replace DMPA shots, the researchers noted.



The team wanted to review the underlying biological mechanisms that could contribute to increased risk of HIV infection for certain hormonal contraceptives but not others.



""To protect individual and public health, it is important to ensure women in areas with high rates of HIV infection have access to affordable contraceptive options,"" said first study author Janet P. Hapgood from the University of Cape Town in South Africa.



""Increasing availability of contraceptives that use a different form of the female hormone progestin than the one found in DMPA could help reduce the risk of HIV transmission,"" Hapgood added.



The team examined animal, cell and biochemical research on the form of progestin used in DMPA - medroxprogesterone acetate, or MPA.



MPA is used in birth control and as part of menopausal hormone therapy.



The analysis revealed MPA acts differently than other forms of progestin used in contraceptives.



MPA behaves like the stress hormone cortisol in the cells of the genital tract that can come in contact with HIV.



The researchers explained that the increased rate of HIV infection among women using DMPA contraceptive shots is likely due to multiple reasons, including decreases in immune function and the protective barrier function of the female genital tract.



""Studying the biology of MPA helps us understand what may be driving the increased rate of HIV infection seen in human research.



The research appears in journal of Endocrine Reviews.



Asian News International/SU









Women beware! A study has recently warned that a popular injectable contraceptive drug can increase the risk of HIV infection in women by 40 percent.Depot-medroxyprogesterone acetate (DMPA) is an injectable birth control shot administered every three months, which prevents the ovaries from releasing eggs and thickens the mucous layer around the cervix to block sperm from getting through.According to researchers, transitioning away from DMPA could help protect women from becoming infected with HIV.Human studies suggest DMPA use may raise the risk of HIV infection by 40 percent.The findings suggest other forms of birth control should rapidly replace DMPA shots, the researchers noted.The team wanted to review the underlying biological mechanisms that could contribute to increased risk of HIV infection for certain hormonal contraceptives but not others.""To protect individual and public health, it is important to ensure women in areas with high rates of HIV infection have access to affordable contraceptive options,"" said first study author Janet P. Hapgood from the University of Cape Town in South Africa.""Increasing availability of contraceptives that use a different form of the female hormone progestin than the one found in DMPA could help reduce the risk of HIV transmission,"" Hapgood added.The team examined animal, cell and biochemical research on the form of progestin used in DMPA - medroxprogesterone acetate, or MPA.MPA is used in birth control and as part of menopausal hormone therapy.The analysis revealed MPA acts differently than other forms of progestin used in contraceptives.MPA behaves like the stress hormone cortisol in the cells of the genital tract that can come in contact with HIV.The researchers explained that the increased rate of HIV infection among women using DMPA contraceptive shots is likely due to multiple reasons, including decreases in immune function and the protective barrier function of the female genital tract.""Studying the biology of MPA helps us understand what may be driving the increased rate of HIV infection seen in human research.The research appears in journal of Endocrine Reviews.Asian News International/SU","['used', 'ups', 'infection', 'hiv', 'dmpa', 'common', 'researchers', 'control', 'risk', 'progestin', 'women', 'drug', 'birth']","Common birth control drug ups risk of HIVDepot-medroxyprogesterone acetate (DMPA) is an injectable birth control shot administered every three months, which prevents the ovaries from releasing eggs and thickens the mucous layer around the cervix to block sperm from getting through.
Human studies suggest DMPA use may raise the risk of HIV infection by 40 percent.
The findings suggest other forms of birth control should rapidly replace DMPA shots, the researchers noted.
The team wanted to review the underlying biological mechanisms that could contribute to increased risk of HIV infection for certain hormonal contraceptives but not others.
""Studying the biology of MPA helps us understand what may be driving the increased rate of HIV infection seen in human research."
